------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=12&areatype=county&cancer=003&race=00&sex=0&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '12', 'areatype': 'county', 'cancer': '003', 'race': '00', 'sex': '0', 'age': '001', 'type': 'incd', 'file_name': 'incidencerates_016.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=12&areatype=county&cancer=003&race=00&sex=0&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Incidence Rate Report for Florida by County

"Oral Cavity & Pharynx (All Stages^), 2012-2016"

"All Races (includes Hispanic), Both Sexes, All Ages"

Sorted by Rate

County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Florida(6,10)",12000,***,13.6 ,13.4, 13.8,3660,stable,-0.6 ,-3.1, 2.0
"US (SEER+NPCR)(1,10)",00000,***,11.7 ,11.7, 11.8,43864,stable,0.5 ,-0.7, 1.6
"Union County(6,10)",12125,***,88.2 ,69.5, 110.7,16,stable,-0.9 ,-14.9, 15.4
"Dixie County(6,10)",12029,***,24.4 ,16, 36.2,6,stable,-4.8 ,-31.7, 32.6
"Citrus County(6,10)",12017,***,20.6 ,17.8, 23.7,53,stable,3.7 ,-23.9, 41.4
"Monroe County(6,10)",12087,***,20.1 ,16.6, 24.4,25,stable,-5.6 ,-16.6, 6.7
"Gulf County(6,10)",12045,***,20 ,12.4, 31.3,4,stable,-20.0 ,-65.3, 84.6
"Suwannee County(6,10)",12121,***,19.6 ,14.7, 25.7,12,stable,16.0 ,-17.8, 63.7
"Hardee County(6,10)",12049,***,19.3 ,12.8, 28.1,6,stable,-7.6 ,-39.7, 41.5
"Columbia County(6,10)",12023,***,18.9 ,15.1, 23.5,18,stable,-3.5 ,-37.4, 48.9
"Nassau County(6,10)",12089,***,18.6 ,14.9, 22.9,20,stable,12.3 ,-21.3, 60.2
"Franklin County(6,10)",12037,***,18 ,10.1, 30.9,3,*,*,*,*
"Walton County(6,10)",12131,***,17.2 ,13.3, 22,14,stable,3.1 ,-39.4, 75.2
"Levy County(6,10)",12075,***,17 ,12.4, 23,11,falling,-19.3 ,-31.6, -4.7
"Okeechobee County(6,10)",12093,***,16.8 ,12, 22.8,9,stable,4.7 ,-24.9, 46.0
"Hendry County(6,10)",12051,***,16.7 ,11.5, 23.4,7,stable,1.2 ,-35.6, 59.0
"Pasco County(6,10)",12101,***,16.3 ,14.9, 17.8,114,stable,-0.3 ,-3.8, 3.3
"Volusia County(6,10)",12127,***,16.3 ,15, 17.7,127,stable,-3.0 ,-8.4, 2.7
"Jefferson County(6,10)",12065,***,16.2 ,9, 27.5,3,*,*,*,*
"Polk County(6,10)",12105,***,16.2 ,14.9, 17.5,137,stable,-4.4 ,-9.8, 1.3
"Lake County(6,10)",12069,***,16.2 ,14.5, 17.9,80,stable,6.4 ,-2.8, 16.4
