------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '13', 'areatype': 'county', 'topic': 'ed', 'demo': '00004', 'race': '00', 'sex': '0', 'age': '081', 'type': 'manyareacensus', 'file_name': 'demographics_001.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Georgia by County
Education: Less than 9th grade
Population Ages 25+
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Education: Less Than 9th Grade),Rank within US
"Georgia",13000,5.0,336288,"36 of 52"
"United States",00000,5.4,11759554,"N/A"
"Oconee County",13219,1.5,356,"145 of 3141"
"Fayette County",13113,1.9,1400,"274 of 3141"
"Chattahoochee County",13053,2.1,103,"366 of 3141"
"Camden County",13039,2.2,719,"440 of 3141"
"Lee County",13177,2.4,460,"520 of 3141"
"Bryan County",13029,2.4,538,"541 of 3141"
"Union County",13291,2.7,461,"662 of 3141"
"Houston County",13153,2.7,2599,"665 of 3141"
"Walton County",13297,2.7,1585,"707 of 3141"
"Columbia County",13073,2.7,2569,"710 of 3141"
"Harris County",13145,2.7,630,"718 of 3141"
"Catoosa County",13047,2.7,1235,"722 of 3141"
"Fulton County",13121,2.7,18528,"726 of 3141"
"Liberty County",13179,2.8,996,"768 of 3141"
"Henry County",13151,2.9,3994,"819 of 3141"
"Pike County",13231,3.0,363,"887 of 3141"
"Paulding County",13223,3.0,2945,"915 of 3141"
"Chatham County",13051,3.0,5749,"921 of 3141"
"Jones County",13169,3.1,604,"953 of 3141"
"Glynn County",13127,3.1,1790,"957 of 3141"
"Lamar County",13171,3.3,381,"1042 of 3141"
"White County",13311,3.4,673,"1097 of 3141"
"Cherokee County",13057,3.4,5344,"1134 of 3141"
"Forsyth County",13117,3.5,4768,"1178 of 3141"
"Morgan County",13211,3.6,440,"1209 of 3141"
"Monroe County",13207,3.6,685,"1243 of 3141"
"Coweta County",13077,3.7,3361,"1272 of 3141"
"Effingham County",13103,3.7,1365,"1294 of 3141"
"Douglas County",13097,3.7,3353,"1299 of 3141"
"Dodge County",13091,3.8,563,"1336 of 3141"
"Putnam County",13237,3.8,600,"1366 of 3141"
"Long County",13183,3.9,429,"1413 of 3141"
"Bulloch County",13031,4.1,1641,"1459 of 3141"
"Muscogee County",13215,4.1,5299,"1507 of 3141"
"Newton County",13217,4.2,2815,"1534 of 3141"
"Cobb County",13067,4.3,21121,"1572 of 3141"
"Bibb County",13021,4.3,4292,"1576 of 3141"
