------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=ed&demo=00005&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '13', 'areatype': 'county', 'topic': 'ed', 'demo': '00005', 'race': '00', 'sex': '0', 'age': '081', 'type': 'manyareacensus', 'file_name': 'demographics_002.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=ed&demo=00005&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Georgia by County
Education: Less than High School
Population Ages 25+
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People(Education: Less Than High School),Rank within US
"United States",00000,12.7,27437114,"N/A"
"Georgia",13000,13.7,919657,"40 of 52"
"Fayette County",13113,5.1,3761,"108 of 3141"
"Oconee County",13219,5.7,1329,"162 of 3141"
"Chattahoochee County",13053,7.3,359,"392 of 3141"
"Forsyth County",13117,7.5,10147,"441 of 3141"
"Columbia County",13073,7.7,7278,"504 of 3141"
"Fulton County",13121,8.3,55797,"634 of 3141"
"Camden County",13039,8.5,2741,"667 of 3141"
"Bryan County",13029,8.5,1875,"681 of 3141"
"Cobb County",13067,8.8,43036,"737 of 3141"
"Liberty County",13179,9.1,3241,"813 of 3141"
"Cherokee County",13057,9.2,14303,"819 of 3141"
"Houston County",13153,9.3,9058,"864 of 3141"
"Henry County",13151,9.9,13690,"993 of 3141"
"Paulding County",13223,9.9,9669,"1017 of 3141"
"Chatham County",13051,10.7,20256,"1203 of 3141"
"Harris County",13145,10.9,2514,"1245 of 3141"
"Towns County",13281,10.9,888,"1254 of 3141"
"Coweta County",13077,11.0,10087,"1278 of 3141"
"Pike County",13231,11.0,1341,"1279 of 3141"
"Lee County",13177,11.1,2131,"1302 of 3141"
"DeKalb County",13089,11.3,56165,"1339 of 3141"
"Union County",13291,11.3,1969,"1344 of 3141"
"Jones County",13169,11.7,2270,"1419 of 3141"
"Douglas County",13097,11.8,10595,"1436 of 3141"
"Glynn County",13127,11.9,6867,"1473 of 3141"
