------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=inc&demo=00011&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '13', 'areatype': 'county', 'topic': 'inc', 'demo': '00011', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_005.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=inc&demo=00011&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Georgia by County
Income: Median household income
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Dollars),Rank within US
"Georgia",13000,52977.000000000,"33 of 52"
"United States",00000,57652.000000000,"N/A"
"Clinch County",13065,21838.000000000,"3134 of 3141"
"Stewart County",13259,22413.000000000,"3131 of 3141"
"Clay County",13061,23315.000000000,"3127 of 3141"
"Quitman County",13239,26750.000000000,"3100 of 3141"
"Jenkins County",13165,27197.000000000,"3093 of 3141"
"Telfair County",13271,28044.000000000,"3087 of 3141"
"Wheeler County",13309,28490.000000000,"3083 of 3141"
"Hancock County",13141,29268.000000000,"3073 of 3141"
"Early County",13099,29493.000000000,"3069 of 3141"
"Calhoun County",13037,29617.000000000,"3067 of 3141"
"Jefferson County",13163,29640.000000000,"3065 of 3141"
"Taylor County",13269,29875.000000000,"3061 of 3141"
"Taliaferro County",13265,30500.000000000,"3047 of 3141"
"Twiggs County",13289,30629.000000000,"3045 of 3141"
"Randolph County",13243,30640.000000000,"3044 of 3141"
"Macon County",13193,30851.000000000,"3038 of 3141"
"Lanier County",13173,31109.000000000,"3030 of 3141"
"Terrell County",13273,32219.000000000,"2988 of 3141"
"Ben Hill County",13017,32344.000000000,"2982 of 3141"
"Warren County",13301,32860.000000000,"2964 of 3141"
"Atkinson County",13003,33063.000000000,"2956 of 3141"
"Emanuel County",13107,33089.000000000,"2955 of 3141"
"Candler County",13043,33125.000000000,"2951 of 3141"
"Crisp County",13081,33194.000000000,"2950 of 3141"
"Dooly County",13093,33389.000000000,"2945 of 3141"
"Seminole County",13253,33999.000000000,"2918 of 3141"
"Mitchell County",13205,34122.000000000,"2912 of 3141"
"Sumter County",13261,34219.000000000,"2911 of 3141"
"Wilkes County",13317,34234.000000000,"2910 of 3141"
"Echols County",13101,34315.000000000,"2906 of 3141"
"Colquitt County",13071,34503.000000000,"2901 of 3141"
"Dougherty County",13095,34541.000000000,"2900 of 3141"
"Clarke County",13059,34557.000000000,"2896 of 3141"
"Irwin County",13155,34677.000000000,"2891 of 3141"
"Brooks County",13027,34890.000000000,"2880 of 3141"
"Laurens County",13175,35202.000000000,"2864 of 3141"
"Elbert County",13105,35207.000000000,"2863 of 3141"
"Dodge County",13091,35290.000000000,"2853 of 3141"
"Upson County",13293,35375.000000000,"2847 of 3141"
"Wilcox County",13315,35457.000000000,"2839 of 3141"
"Cook County",13075,35539.000000000,"2836 of 3141"
"Chattooga County",13055,35718.000000000,"2823 of 3141"
"Toombs County",13279,35750.000000000,"2821 of 3141"
"Tattnall County",13267,36355.000000000,"2777 of 3141"
"Meriwether County",13199,36368.000000000,"2776 of 3141"
"Johnson County",13167,36423.000000000,"2770 of 3141"
"Screven County",13251,36556.000000000,"2757 of 3141"
"Coffee County",13069,36572.000000000,"2755 of 3141"
"Webster County",13307,36658.000000000,"2750 of 3141"
"Brantley County",13025,36812.000000000,"2735 of 3141"
"Decatur County",13087,36934.000000000,"2730 of 3141"
"Ware County",13299,36962.000000000,"2727 of 3141"
"Baldwin County",13009,37008.000000000,"2722 of 3141"
"Appling County",13001,37089.000000000,"2717 of 3141"
"Talbot County",13263,37226.000000000,"2701 of 3141"
"Miller County",13201,37255.000000000,"2699 of 3141"
"Jeff Davis County",13161,37267.000000000,"2697 of 3141"
"Lincoln County",13181,37711.000000000,"2660 of 3141"
"Washington County",13303,38097.000000000,"2629 of 3141"
"Bibb County",13021,38183.000000000,"2621 of 3141"
"Berrien County",13019,38297.000000000,"2611 of 3141"
"Burke County",13033,38707.000000000,"2594 of 3141"
"Wilkinson County",13319,38711.000000000,"2593 of 3141"
"Tift County",13277,38728.000000000,"2589 of 3141"
"Evans County",13109,38736.000000000,"2588 of 3141"
"Pulaski County",13235,38750.000000000,"2586 of 3141"
"Bacon County",13005,38824.000000000,"2579 of 3141"
"Marion County",13197,39015.000000000,"2557 of 3141"
"Franklin County",13119,39246.000000000,"2540 of 3141"
"Rabun County",13241,39297.000000000,"2531 of 3141"
"Bulloch County",13031,39305.000000000,"2530 of 3141"
"Treutlen County",13283,39375.000000000,"2523 of 3141"
"Richmond County",13245,39430.000000000,"2517 of 3141"
"Grady County",13131,39462.000000000,"2512 of 3141"
"Butts County",13035,39655.000000000,"2495 of 3141"
"Stephens County",13257,39756.000000000,"2486 of 3141"
"Pierce County",13229,39863.000000000,"2479 of 3141"
"Lowndes County",13185,39911.000000000,"2477 of 3141"
"Montgomery County",13209,40308.000000000,"2450 of 3141"
"Worth County",13321,40369.000000000,"2443 of 3141"
"McDuffie County",13189,40469.000000000,"2431 of 3141"
"Polk County",13233,40652.000000000,"2409 of 3141"
"Bleckley County",13023,40688.000000000,"2405 of 3141"
"Crawford County",13079,41032.000000000,"2372 of 3141"
"Lamar County",13171,41157.000000000,"2349 of 3141"
"Towns County",13281,41182.000000000,"2347 of 3141"
"Hart County",13147,41216.000000000,"2340 of 3141"
"Schley County",13249,41267.000000000,"2331 of 3141"
"Thomas County",13275,41336.000000000,"2325 of 3141"
"Wayne County",13305,41534.000000000,"2300 of 3141"
"Murray County",13213,41617.000000000,"2290 of 3141"
"Jasper County",13159,42067.000000000,"2239 of 3141"
"Banks County",13011,42182.000000000,"2220 of 3141"
"Spalding County",13255,42398.000000000,"2203 of 3141"
"Turner County",13287,42622.000000000,"2180 of 3141"
"Union County",13291,42767.000000000,"2167 of 3141"
"Lumpkin County",13187,43039.000000000,"2140 of 3141"
"Dade County",13083,43163.000000000,"2130 of 3141"
"Muscogee County",13215,43239.000000000,"2124 of 3141"
"Charlton County",13049,43257.000000000,"2119 of 3141"
"McIntosh County",13191,43285.000000000,"2116 of 3141"
"Fannin County",13111,43344.000000000,"2106 of 3141"
"Gordon County",13129,43452.000000000,"2096 of 3141"
"Liberty County",13179,43493.000000000,"2088 of 3141"
"Walker County",13295,43581.000000000,"2078 of 3141"
"Troup County",13285,43597.000000000,"2075 of 3141"
"Peach County",13225,43645.000000000,"2071 of 3141"
"Haralson County",13143,43663.000000000,"2070 of 3141"
