------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=mob&demo=00019&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '13', 'areatype': 'county', 'topic': 'mob', 'demo': '00019', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_010.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=mob&demo=00019&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Georgia by County
"Mobility: Moved, different county this state (in past year)"
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Moved From Different County In Same State),Rank within US
"United States",00000,3.2,10247779,"N/A"
"Georgia",13000,4.6,468374,"49 of 51"
"Telfair County",13271,1.1,178,"60 of 3140"
"Charlton County",13049,1.6,212,"195 of 3140"
"Pierce County",13229,1.8,335,"242 of 3140"
"Chattooga County",13055,1.8,453,"260 of 3140"
"Rabun County",13241,1.8,299,"265 of 3140"
"Elbert County",13105,1.9,354,"267 of 3140"
"Early County",13099,1.9,195,"280 of 3140"
"Wheeler County",13309,2.0,160,"338 of 3140"
"Glascock County",13125,2.1,62,"355 of 3140"
"Webster County",13307,2.1,56,"414 of 3140"
"Laurens County",13175,2.2,1013,"428 of 3140"
"Ben Hill County",13017,2.3,385,"474 of 3140"
"Whitfield County",13313,2.3,2363,"502 of 3140"
"Irwin County",13155,2.5,225,"587 of 3140"
"Dade County",13083,2.5,397,"595 of 3140"
"Taliaferro County",13265,2.5,45,"596 of 3140"
"Tift County",13277,2.5,986,"617 of 3140"
"Wayne County",13305,2.6,759,"675 of 3140"
"Warren County",13301,2.6,138,"678 of 3140"
"Columbia County",13073,2.6,3682,"701 of 3140"
"Atkinson County",13003,2.6,215,"709 of 3140"
"Lincoln County",13181,2.7,204,"742 of 3140"
"Echols County",13101,2.7,107,"755 of 3140"
"Catoosa County",13047,2.7,1753,"758 of 3140"
"Twiggs County",13289,2.7,224,"786 of 3140"
"Wilkinson County",13319,2.8,249,"803 of 3140"
"Upson County",13293,2.8,714,"816 of 3140"
"Miller County",13201,2.8,163,"840 of 3140"
"Seminole County",13253,2.8,236,"844 of 3140"
"Quitman County",13239,2.9,60,"876 of 3140"
"Burke County",13033,2.9,648,"914 of 3140"
"Murray County",13213,2.9,1133,"920 of 3140"
"Towns County",13281,3.0,325,"946 of 3140"
"Grady County",13131,3.0,735,"950 of 3140"
"Coffee County",13069,3.0,1286,"988 of 3140"
"Colquitt County",13071,3.1,1392,"1017 of 3140"
"Gwinnett County",13135,3.1,27008,"1020 of 3140"
"Appling County",13001,3.1,566,"1041 of 3140"
"Jeff Davis County",13161,3.1,456,"1047 of 3140"
"Richmond County",13245,3.1,6230,"1073 of 3140"
"Baker County",13007,3.1,101,"1074 of 3140"
"Decatur County",13087,3.3,872,"1175 of 3140"
"Clay County",13061,3.3,98,"1187 of 3140"
"Greene County",13133,3.3,547,"1209 of 3140"
"Brooks County",13027,3.4,525,"1245 of 3140"
"Wilkes County",13317,3.5,338,"1304 of 3140"
"Berrien County",13019,3.5,652,"1312 of 3140"
"Muscogee County",13215,3.5,6908,"1370 of 3140"
"Hart County",13147,3.5,896,"1373 of 3140"
"Toombs County",13279,3.6,955,"1402 of 3140"
"Camden County",13039,3.6,1837,"1411 of 3140"
"Troup County",13285,3.6,2461,"1428 of 3140"
"Houston County",13153,3.6,5346,"1431 of 3140"
"Walker County",13295,3.6,2451,"1442 of 3140"
"Chatham County",13051,3.6,10212,"1445 of 3140"
"Union County",13291,3.6,808,"1464 of 3140"
"Fannin County",13111,3.7,887,"1473 of 3140"
"Lowndes County",13185,3.7,4120,"1477 of 3140"
"Floyd County",13115,3.7,3509,"1484 of 3140"
"Walton County",13297,3.7,3277,"1533 of 3140"
"Fayette County",13113,3.8,4120,"1545 of 3140"
"Banks County",13011,3.8,698,"1599 of 3140"
"Gordon County",13129,3.8,2149,"1606 of 3140"
"Hall County",13139,3.9,7468,"1655 of 3140"
"Jenkins County",13165,3.9,345,"1671 of 3140"
"Effingham County",13103,4.0,2220,"1677 of 3140"
"Meriwether County",13199,4.0,829,"1680 of 3140"
"Jackson County",13157,4.0,2519,"1694 of 3140"
"Worth County",13321,4.1,844,"1748 of 3140"
"Screven County",13251,4.1,568,"1764 of 3140"
"Barrow County",13013,4.1,3050,"1768 of 3140"
"Candler County",13043,4.1,444,"1773 of 3140"
"Thomas County",13275,4.1,1826,"1779 of 3140"
"Dodge County",13091,4.2,868,"1805 of 3140"
"Coweta County",13077,4.2,5761,"1840 of 3140"
"Johnson County",13167,4.3,421,"1887 of 3140"
"Cook County",13075,4.4,735,"1902 of 3140"
"McDuffie County",13189,4.4,943,"1958 of 3140"
"Talbot County",13263,4.5,285,"1967 of 3140"
"Polk County",13233,4.5,1832,"1977 of 3140"
"Cherokee County",13057,4.5,10465,"1990 of 3140"
"Crawford County",13079,4.5,552,"2002 of 3140"
"Cobb County",13067,4.5,33109,"2011 of 3140"
"Morgan County",13211,4.6,823,"2034 of 3140"
"Habersham County",13137,4.6,1992,"2038 of 3140"
"Glynn County",13127,4.6,3780,"2039 of 3140"
"Stephens County",13257,4.6,1168,"2043 of 3140"
"Gilmer County",13123,4.6,1346,"2046 of 3140"
"Putnam County",13237,4.7,990,"2072 of 3140"
"Forsyth County",13117,4.7,9816,"2090 of 3140"
"Spalding County",13255,4.7,2984,"2108 of 3140"
"Oconee County",13219,4.7,1679,"2114 of 3140"
"Pulaski County",13235,4.8,540,"2132 of 3140"
"Fulton County",13121,4.8,47503,"2139 of 3140"
"Jones County",13169,4.8,1365,"2170 of 3140"
"Bibb County",13021,4.9,7366,"2184 of 3140"
"Bartow County",13015,4.9,4929,"2190 of 3140"
"Jefferson County",13163,5.0,790,"2272 of 3140"
"Dougherty County",13095,5.1,4562,"2290 of 3140"
"Newton County",13217,5.1,5260,"2291 of 3140"
"Paulding County",13223,5.1,7707,"2314 of 3140"
"Randolph County",13243,5.1,363,"2316 of 3140"
"Turner County",13287,5.2,417,"2356 of 3140"
"Ware County",13299,5.3,1857,"2387 of 3140"
"Pickens County",13227,5.3,1599,"2401 of 3140"
"Sumter County",13261,5.3,1614,"2414 of 3140"
"Marion County",13197,5.3,452,"2415 of 3140"
"White County",13311,5.4,1512,"2422 of 3140"
"Crisp County",13081,5.4,1225,"2424 of 3140"
"Oglethorpe County",13221,5.4,780,"2436 of 3140"
"Mitchell County",13205,5.4,1200,"2440 of 3140"
"Douglas County",13097,5.4,7518,"2458 of 3140"
"DeKalb County",13089,5.5,39612,"2464 of 3140"
"Brantley County",13025,5.5,999,"2492 of 3140"
"Henry County",13151,5.5,11930,"2499 of 3140"
"Harris County",13145,5.6,1832,"2506 of 3140"
"Lee County",13177,5.7,1637,"2537 of 3140"
"Franklin County",13119,5.7,1256,"2549 of 3140"
"Rockdale County",13247,5.7,4991,"2554 of 3140"
"Liberty County",13179,5.7,3471,"2559 of 3140"
"McIntosh County",13191,5.7,803,"2574 of 3140"
"Bacon County",13005,5.8,650,"2599 of 3140"
"Madison County",13195,5.9,1668,"2611 of 3140"
"Jasper County",13159,6.0,821,"2637 of 3140"
"Macon County",13193,6.1,826,"2651 of 3140"
"Clinch County",13065,6.1,411,"2663 of 3140"
