------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=pop&demo=00002&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '13', 'areatype': 'county', 'topic': 'pop', 'demo': '00002', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_013.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=pop&demo=00002&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Georgia by County
Population: Age under 18
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Age Under 18),Rank within US
"United States",00000,22.9,73601279,"N/A"
"Georgia",13000,24.5,2499203,"9 of 52"
"Towns County",13281,13.6,1521,"3121 of 3141"
"Stewart County",13259,14.3,832,"3113 of 3141"
"Hancock County",13141,14.4,1245,"3111 of 3141"
"Taliaferro County",13265,16.1,296,"3054 of 3141"
"Union County",13291,16.2,3605,"3050 of 3141"
"Wheeler County",13309,16.9,1347,"2991 of 3141"
"Pulaski County",13235,17.0,1940,"2988 of 3141"
"Clarke County",13059,17.4,21455,"2965 of 3141"
"Fannin County",13111,17.4,4256,"2962 of 3141"
"Quitman County",13239,17.4,373,"2956 of 3141"
"Rabun County",13241,17.4,2851,"2955 of 3141"
"Telfair County",13271,17.5,2856,"2953 of 3141"
"Talbot County",13263,17.7,1135,"2931 of 3141"
"McIntosh County",13191,17.7,2493,"2925 of 3141"
"Calhoun County",13037,18.1,1177,"2883 of 3141"
"Lumpkin County",13187,18.5,5843,"2815 of 3141"
"Dooly County",13093,18.7,2622,"2798 of 3141"
"Dade County",13083,19.2,3124,"2702 of 3141"
"Twiggs County",13289,19.2,1597,"2700 of 3141"
"Greene County",13133,19.3,3228,"2678 of 3141"
"Baldwin County",13009,19.3,8788,"2673 of 3141"
"Wilcox County",13315,19.4,1722,"2659 of 3141"
"Lincoln County",13181,19.4,1506,"2650 of 3141"
"Macon County",13193,19.5,2662,"2631 of 3141"
"Charlton County",13049,19.5,2527,"2620 of 3141"
"Putnam County",13237,19.7,4223,"2566 of 3141"
"Bulloch County",13031,20.1,14819,"2460 of 3141"
"Baker County",13007,20.1,655,"2448 of 3141"
"Gilmer County",13123,20.3,6010,"2403 of 3141"
"Johnson County",13167,20.4,1998,"2372 of 3141"
"Pickens County",13227,20.4,6204,"2346 of 3141"
"Dodge County",13091,20.5,4311,"2337 of 3141"
"Wilkes County",13317,20.6,2039,"2308 of 3141"
"Monroe County",13207,20.8,5579,"2223 of 3141"
"Tattnall County",13267,20.8,5295,"2219 of 3141"
"White County",13311,20.9,5971,"2184 of 3141"
"Lamar County",13171,21.0,3845,"2146 of 3141"
"Taylor County",13269,21.1,1744,"2123 of 3141"
"Hart County",13147,21.1,5395,"2108 of 3141"
"Butts County",13035,21.1,4978,"2104 of 3141"
"Bleckley County",13023,21.2,2707,"2091 of 3141"
"Warren County",13301,21.2,1148,"2084 of 3141"
"Treutlen County",13283,21.3,1435,"2069 of 3141"
"Dawson County",13085,21.3,4980,"2049 of 3141"
"Crawford County",13079,21.4,2654,"2006 of 3141"
"Montgomery County",13209,21.6,1936,"1947 of 3141"
"Seminole County",13253,21.7,1855,"1912 of 3141"
"Brooks County",13027,21.7,3397,"1896 of 3141"
"Peach County",13225,21.8,5885,"1873 of 3141"
"Oglethorpe County",13221,21.8,3194,"1861 of 3141"
"Marion County",13197,21.9,1878,"1793 of 3141"
"Chatham County",13051,22.0,62772,"1780 of 3141"
"Meriwether County",13199,22.0,4657,"1763 of 3141"
"Elbert County",13105,22.0,4248,"1757 of 3141"
"Irwin County",13155,22.1,2047,"1746 of 3141"
"Harris County",13145,22.1,7352,"1706 of 3141"
"Screven County",13251,22.1,3109,"1702 of 3141"
"Franklin County",13119,22.2,4952,"1686 of 3141"
"Chattahoochee County",13053,22.3,2471,"1644 of 3141"
"Walker County",13295,22.3,15289,"1628 of 3141"
"Upson County",13293,22.4,5878,"1578 of 3141"
"Stephens County",13257,22.5,5762,"1544 of 3141"
"Washington County",13303,22.5,4623,"1525 of 3141"
"Chattooga County",13055,22.7,5638,"1472 of 3141"
"Fulton County",13121,22.8,230550,"1403 of 3141"
"Glynn County",13127,22.8,19054,"1396 of 3141"
"Habersham County",13137,22.8,10022,"1390 of 3141"
"Morgan County",13211,22.9,4129,"1356 of 3141"
"Randolph County",13243,23.0,1654,"1339 of 3141"
"Glascock County",13125,23.1,698,"1287 of 3141"
"Miller County",13201,23.1,1358,"1278 of 3141"
"Madison County",13195,23.1,6606,"1270 of 3141"
"Wilkinson County",13319,23.2,2119,"1246 of 3141"
"Heard County",13149,23.2,2694,"1221 of 3141"
"Banks County",13011,23.3,4271,"1206 of 3141"
"Worth County",13321,23.4,4869,"1144 of 3141"
"Richmond County",13245,23.4,47236,"1128 of 3141"
"Floyd County",13115,23.5,22662,"1105 of 3141"
"Sumter County",13261,23.5,7212,"1100 of 3141"
"Catoosa County",13047,23.5,15488,"1098 of 3141"
"Mitchell County",13205,23.5,5311,"1091 of 3141"
"DeKalb County",13089,23.5,173298,"1082 of 3141"
"Clay County",13061,23.5,712,"1081 of 3141"
"Webster County",13307,23.6,621,"1038 of 3141"
"Jasper County",13159,23.7,3260,"1000 of 3141"
"Fayette County",13113,23.8,26215,"985 of 3141"
"Ware County",13299,23.9,8514,"941 of 3141"
"Jones County",13169,23.9,6822,"926 of 3141"
"Jefferson County",13163,23.9,3815,"921 of 3141"
"Lowndes County",13185,24.0,27298,"900 of 3141"
"Berrien County",13019,24.0,4565,"874 of 3141"
"Haralson County",13143,24.2,6943,"801 of 3141"
"Thomas County",13275,24.2,10858,"796 of 3141"
"Spalding County",13255,24.2,15521,"794 of 3141"
"Terrell County",13273,24.2,2172,"788 of 3141"
"Jenkins County",13165,24.2,2162,"778 of 3141"
"Carroll County",13045,24.2,27860,"769 of 3141"
"Pike County",13231,24.3,4361,"739 of 3141"
"Cobb County",13067,24.4,180436,"712 of 3141"
"Brantley County",13025,24.5,4507,"693 of 3141"
"Coffee County",13069,24.6,10586,"660 of 3141"
"Dougherty County",13095,24.7,22599,"635 of 3141"
"Wayne County",13305,24.7,7367,"634 of 3141"
"Decatur County",13087,24.7,6682,"622 of 3141"
"Camden County",13039,24.8,12937,"617 of 3141"
"Crisp County",13081,24.8,5705,"606 of 3141"
"Early County",13099,24.8,2582,"598 of 3141"
"Laurens County",13175,24.8,11781,"592 of 3141"
"Muscogee County",13215,24.9,49389,"581 of 3141"
"Turner County",13287,24.9,1998,"580 of 3141"
"Bibb County",13021,24.9,38357,"564 of 3141"
"Tift County",13277,24.9,10111,"557 of 3141"
"Bartow County",13015,25.0,25616,"556 of 3141"
"Appling County",13001,25.1,4635,"519 of 3141"
"Troup County",13285,25.2,17483,"502 of 3141"
"Grady County",13131,25.2,6311,"497 of 3141"
"Pierce County",13229,25.2,4823,"496 of 3141"
