------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=pop&demo=00103&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '13', 'areatype': 'county', 'topic': 'pop', 'demo': '00103', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_015.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=pop&demo=00103&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Georgia by County
Population: Age 40-64
"Age N/A, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Age 40-64),Rank within US
"United States",00000,32.4,104105673,"N/A"
"Georgia",13000,32.4,3310287,"25 of 52"
"Chattahoochee County",13053,14.3,1583,"1 of 3141"
"Clarke County",13059,22.8,28110,"20 of 3141"
"Liberty County",13179,24.6,15272,"39 of 3141"
"Bulloch County",13031,25.6,18892,"65 of 3141"
"Lowndes County",13185,26.5,30244,"96 of 3141"
"Long County",13183,28.1,5021,"197 of 3141"
"Towns County",13281,28.3,3158,"209 of 3141"
"Camden County",13039,28.9,15104,"269 of 3141"
"Muscogee County",13215,29.4,58417,"313 of 3141"
"Sumter County",13261,29.5,9045,"321 of 3141"
"Chatham County",13051,29.5,84183,"322 of 3141"
"Quitman County",13239,29.5,632,"330 of 3141"
"Richmond County",13245,29.6,59736,"339 of 3141"
"Lanier County",13173,29.9,3107,"385 of 3141"
"Randolph County",13243,30.0,2164,"401 of 3141"
"Dougherty County",13095,30.0,27486,"402 of 3141"
"Baldwin County",13009,30.2,13759,"433 of 3141"
"Toombs County",13279,30.3,8222,"446 of 3141"
"Jeff Davis County",13161,30.3,4546,"450 of 3141"
"Evans County",13109,30.4,3272,"473 of 3141"
"Bleckley County",13023,30.5,3902,"493 of 3141"
"Peach County",13225,30.6,8275,"508 of 3141"
"Carroll County",13045,30.7,35221,"516 of 3141"
"Colquitt County",13071,30.7,14090,"530 of 3141"
"Tift County",13277,30.8,12498,"561 of 3141"
"Lamar County",13171,30.9,5653,"582 of 3141"
"Lumpkin County",13187,31.0,9780,"592 of 3141"
"Stewart County",13259,31.0,1808,"596 of 3141"
"Cook County",13075,31.0,5331,"599 of 3141"
"Whitfield County",13313,31.0,32273,"604 of 3141"
"Schley County",13249,31.1,1607,"621 of 3141"
"Bibb County",13021,31.2,47975,"639 of 3141"
"Jefferson County",13163,31.2,4974,"640 of 3141"
"Clayton County",13063,31.3,85691,"659 of 3141"
"Houston County",13153,31.3,47042,"669 of 3141"
"Hall County",13139,31.3,60377,"674 of 3141"
"Candler County",13043,31.3,3415,"689 of 3141"
"Turner County",13287,31.4,2520,"693 of 3141"
"Laurens County",13175,31.4,14888,"699 of 3141"
"Greene County",13133,31.4,5252,"702 of 3141"
"McDuffie County",13189,31.4,6751,"712 of 3141"
"Habersham County",13137,31.4,13796,"724 of 3141"
"Miller County",13201,31.5,1851,"728 of 3141"
"Bryan County",13029,31.5,10982,"734 of 3141"
"Clay County",13061,31.5,954,"754 of 3141"
