------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=pop&demo=00029&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '13', 'areatype': 'county', 'topic': 'pop', 'demo': '00029', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_017.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=pop&demo=00029&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Georgia by County
Population: Age 50 and over
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Age 50 And Over),Rank within US
"Georgia",13000,31.5,3216035,"48 of 52"
"United States",00000,34.5,110609456,"N/A"
"Chattahoochee County",13053,9.9,1100,"3141 of 3141"
"Liberty County",13179,22.0,13677,"3126 of 3141"
"Clarke County",13059,23.0,28448,"3116 of 3141"
"Long County",13183,25.5,4549,"3092 of 3141"
"Clayton County",13063,25.7,70495,"3082 of 3141"
"Bulloch County",13031,25.7,18977,"3081 of 3141"
"Lowndes County",13185,26.7,30441,"3052 of 3141"
"Gwinnett County",13135,27.1,240980,"3043 of 3141"
"Bryan County",13029,27.1,9452,"3041 of 3141"
"Paulding County",13223,27.5,41941,"3016 of 3141"
"Fulton County",13121,28.5,287911,"2967 of 3141"
"Barrow County",13013,29.1,21869,"2939 of 3141"
"Forsyth County",13117,29.1,61545,"2938 of 3141"
"Camden County",13039,29.3,15325,"2927 of 3141"
"DeKalb County",13089,29.3,215937,"2925 of 3141"
"Douglas County",13097,29.5,41348,"2912 of 3141"
"Henry County",13151,29.6,64473,"2900 of 3141"
"Muscogee County",13215,29.8,59235,"2893 of 3141"
"Effingham County",13103,29.9,17077,"2884 of 3141"
"Lee County",13177,30.0,8754,"2878 of 3141"
"Cobb County",13067,30.0,221528,"2877 of 3141"
"Lanier County",13173,30.2,3142,"2863 of 3141"
"Newton County",13217,30.3,31813,"2859 of 3141"
"Carroll County",13045,30.3,34841,"2856 of 3141"
"Whitfield County",13313,30.6,31767,"2834 of 3141"
"Houston County",13153,30.6,46037,"2830 of 3141"
"Echols County",13101,30.9,1239,"2814 of 3141"
"Atkinson County",13003,31.0,2577,"2808 of 3141"
"Coffee County",13069,31.3,13469,"2786 of 3141"
"Columbia County",13073,31.3,45047,"2783 of 3141"
"Tattnall County",13267,31.5,8009,"2766 of 3141"
"Richmond County",13245,31.5,63581,"2765 of 3141"
"Hall County",13139,31.6,60943,"2762 of 3141"
"Cherokee County",13057,31.9,75282,"2737 of 3141"
"Chatham County",13051,31.9,91162,"2734 of 3141"
"Wheeler County",13309,32.2,2558,"2702 of 3141"
"Colquitt County",13071,32.2,14768,"2700 of 3141"
"Tift County",13277,32.3,13090,"2691 of 3141"
"Coweta County",13077,32.4,44766,"2677 of 3141"
"Dougherty County",13095,32.7,29932,"2651 of 3141"
"Bartow County",13015,32.7,33588,"2647 of 3141"
"Murray County",13213,32.8,12947,"2638 of 3141"
"Jackson County",13157,32.9,21023,"2625 of 3141"
"Troup County",13285,33.0,22879,"2622 of 3141"
"Gordon County",13129,33.0,18646,"2611 of 3141"
"Cook County",13075,33.2,5702,"2600 of 3141"
"Jeff Davis County",13161,33.3,4992,"2590 of 3141"
"Polk County",13233,33.5,13865,"2576 of 3141"
"Schley County",13249,33.6,1734,"2563 of 3141"
"Rockdale County",13247,33.6,29726,"2555 of 3141"
"Bibb County",13021,33.7,51809,"2543 of 3141"
"Baldwin County",13009,33.7,15341,"2540 of 3141"
"Stewart County",13259,33.9,1976,"2522 of 3141"
"Wayne County",13305,33.9,10113,"2516 of 3141"
"Clinch County",13065,33.9,2302,"2512 of 3141"
"Sumter County",13261,33.9,10408,"2511 of 3141"
"Toombs County",13279,34.1,9262,"2479 of 3141"
"Walton County",13297,34.2,30330,"2470 of 3141"
"Bacon County",13005,34.2,3859,"2466 of 3141"
"Peach County",13225,34.5,9329,"2434 of 3141"
"Calhoun County",13037,34.5,2246,"2432 of 3141"
"Oconee County",13219,34.6,12432,"2431 of 3141"
"Butts County",13035,34.7,8175,"2406 of 3141"
"Emanuel County",13107,34.8,7833,"2386 of 3141"
"Evans County",13109,34.8,3746,"2383 of 3141"
"Pike County",13231,35.0,6272,"2355 of 3141"
"Mitchell County",13205,35.0,7905,"2351 of 3141"
"Floyd County",13115,35.1,33820,"2343 of 3141"
"Burke County",13033,35.1,7949,"2333 of 3141"
"Decatur County",13087,35.1,9488,"2330 of 3141"
"Montgomery County",13209,35.1,3147,"2329 of 3141"
"Haralson County",13143,35.5,10201,"2279 of 3141"
"Laurens County",13175,35.7,16963,"2238 of 3141"
"Lamar County",13171,35.8,6539,"2236 of 3141"
"Ware County",13299,35.8,12765,"2235 of 3141"
"Bleckley County",13023,35.9,4594,"2198 of 3141"
"Catoosa County",13047,35.9,23680,"2198 of 3141"
"Pierce County",13229,36.1,6907,"2188 of 3141"
"Candler County",13043,36.1,3933,"2183 of 3141"
"Wilcox County",13315,36.1,3214,"2181 of 3141"
"Spalding County",13255,36.1,23202,"2180 of 3141"
"Ben Hill County",13017,36.1,6243,"2179 of 3141"
"Irwin County",13155,36.2,3363,"2158 of 3141"
"Lumpkin County",13187,36.4,11476,"2138 of 3141"
"Telfair County",13271,36.5,5964,"2118 of 3141"
"McDuffie County",13189,36.6,7860,"2107 of 3141"
"Berrien County",13019,36.6,6957,"2105 of 3141"
"Brantley County",13025,36.7,6759,"2083 of 3141"
"Chattooga County",13055,36.7,9134,"2082 of 3141"
"Habersham County",13137,36.7,16116,"2077 of 3141"
"Grady County",13131,36.7,9204,"2074 of 3141"
"Charlton County",13049,36.8,4769,"2066 of 3141"
"Dodge County",13091,36.8,7755,"2058 of 3141"
"Banks County",13011,37.1,6805,"2004 of 3141"
"Jones County",13169,37.1,10598,"1984 of 3141"
"Jenkins County",13165,37.2,3323,"1969 of 3141"
"Crisp County",13081,37.3,8582,"1951 of 3141"
"Madison County",13195,37.3,10676,"1946 of 3141"
"Jefferson County",13163,37.3,5957,"1940 of 3141"
"Appling County",13001,37.4,6907,"1922 of 3141"
"Thomas County",13275,37.4,16815,"1909 of 3141"
"Washington County",13303,37.6,7709,"1871 of 3141"
"Johnson County",13167,37.7,3691,"1858 of 3141"
"Macon County",13193,37.8,5173,"1827 of 3141"
"Turner County",13287,38.0,3050,"1796 of 3141"
"Jasper County",13159,38.0,5212,"1795 of 3141"
