------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=pop&demo=00014&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '13', 'areatype': 'county', 'topic': 'pop', 'demo': '00014', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_022.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=pop&demo=00014&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Georgia by County
Population: Foreign born
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Foreign Born),Rank within US
"Georgia",13000,10.0,1023235,"17 of 51"
"United States",00000,13.4,43028127,"N/A"
"Miller County",13201,0.1,8,"3113 of 3140"
"Clay County",13061,0.3,9,"3071 of 3140"
"Glascock County",13125,0.5,14,"3010 of 3140"
"Johnson County",13167,0.6,59,"2940 of 3140"
"Terrell County",13273,0.7,59,"2895 of 3140"
"Webster County",13307,0.8,20,"2815 of 3140"
"Irwin County",13155,0.8,76,"2775 of 3140"
"Jones County",13169,0.9,268,"2692 of 3140"
"Heard County",13149,1.0,113,"2669 of 3140"
"Meriwether County",13199,1.1,230,"2579 of 3140"
"Wheeler County",13309,1.2,92,"2529 of 3140"
"Taylor County",13269,1.2,96,"2527 of 3140"
"Talbot County",13263,1.2,76,"2502 of 3140"
"Lincoln County",13181,1.2,96,"2450 of 3140"
"Twiggs County",13289,1.2,103,"2449 of 3140"
"Screven County",13251,1.2,174,"2444 of 3140"
"Worth County",13321,1.2,260,"2438 of 3140"
"Walker County",13295,1.3,866,"2422 of 3140"
"Seminole County",13253,1.3,108,"2420 of 3140"
"Brantley County",13025,1.3,242,"2382 of 3140"
"Wilkinson County",13319,1.4,125,"2345 of 3140"
"Pike County",13231,1.4,247,"2335 of 3140"
"Haralson County",13143,1.4,399,"2326 of 3140"
"Schley County",13249,1.4,74,"2302 of 3140"
"Morgan County",13211,1.5,277,"2221 of 3140"
"Dodge County",13091,1.6,328,"2205 of 3140"
"McIntosh County",13191,1.7,238,"2114 of 3140"
"Pulaski County",13235,1.7,194,"2110 of 3140"
"Lanier County",13173,1.7,178,"2100 of 3140"
"Burke County",13033,1.9,426,"1992 of 3140"
"Washington County",13303,2.0,405,"1942 of 3140"
"Fannin County",13111,2.0,485,"1938 of 3140"
"Emanuel County",13107,2.0,446,"1937 of 3140"
"Laurens County",13175,2.0,943,"1936 of 3140"
"Bleckley County",13023,2.0,255,"1931 of 3140"
"Randolph County",13243,2.0,146,"1919 of 3140"
"Crawford County",13079,2.0,253,"1912 of 3140"
"Hancock County",13141,2.1,181,"1873 of 3140"
"Upson County",13293,2.1,551,"1866 of 3140"
"Harris County",13145,2.2,715,"1836 of 3140"
"Dade County",13083,2.2,352,"1828 of 3140"
"Wilcox County",13315,2.2,194,"1818 of 3140"
"Oglethorpe County",13221,2.2,324,"1801 of 3140"
"Stephens County",13257,2.2,575,"1782 of 3140"
"Catoosa County",13047,2.3,1496,"1765 of 3140"
"McDuffie County",13189,2.3,495,"1744 of 3140"
"Pierce County",13229,2.3,445,"1736 of 3140"
"Jefferson County",13163,2.3,373,"1731 of 3140"
"Baldwin County",13009,2.4,1074,"1727 of 3140"
"Taliaferro County",13265,2.5,46,"1674 of 3140"
"Elbert County",13105,2.5,482,"1672 of 3140"
"Hart County",13147,2.5,641,"1664 of 3140"
"Union County",13291,2.5,565,"1658 of 3140"
"Dougherty County",13095,2.5,2329,"1653 of 3140"
"Early County",13099,2.5,265,"1651 of 3140"
"White County",13311,2.6,731,"1641 of 3140"
"Cook County",13075,2.6,446,"1622 of 3140"
"Thomas County",13275,2.6,1176,"1614 of 3140"
"Towns County",13281,2.6,293,"1613 of 3140"
"Monroe County",13207,2.6,707,"1603 of 3140"
"Turner County",13287,2.7,219,"1554 of 3140"
"Decatur County",13087,2.7,737,"1552 of 3140"
"Macon County",13193,2.7,374,"1543 of 3140"
"Ware County",13299,2.7,977,"1542 of 3140"
"Mitchell County",13205,2.7,620,"1538 of 3140"
"Crisp County",13081,2.8,633,"1535 of 3140"
"Warren County",13301,2.8,151,"1518 of 3140"
"Lamar County",13171,2.8,515,"1508 of 3140"
"Marion County",13197,2.8,242,"1502 of 3140"
"Clinch County",13065,2.8,193,"1494 of 3140"
"Dawson County",13085,2.9,668,"1489 of 3140"
"Chattooga County",13055,2.9,713,"1485 of 3140"
"Pickens County",13227,2.9,888,"1461 of 3140"
"Effingham County",13103,2.9,1676,"1455 of 3140"
"Wayne County",13305,2.9,878,"1451 of 3140"
"Butts County",13035,2.9,694,"1448 of 3140"
"Jasper County",13159,3.0,409,"1431 of 3140"
"Ben Hill County",13017,3.0,518,"1422 of 3140"
"Franklin County",13119,3.1,700,"1380 of 3140"
"Spalding County",13255,3.2,2068,"1347 of 3140"
"Bulloch County",13031,3.3,2446,"1314 of 3140"
"Sumter County",13261,3.4,1031,"1304 of 3140"
"Berrien County",13019,3.4,647,"1290 of 3140"
"Lee County",13177,3.5,1019,"1259 of 3140"
"Bibb County",13021,3.5,5381,"1256 of 3140"
"Treutlen County",13283,3.5,239,"1247 of 3140"
"Richmond County",13245,3.6,7356,"1218 of 3140"
"Lumpkin County",13187,3.7,1167,"1203 of 3140"
"Evans County",13109,3.8,407,"1185 of 3140"
"Baker County",13007,3.8,125,"1167 of 3140"
"Dooly County",13093,3.9,543,"1160 of 3140"
"Carroll County",13045,3.9,4450,"1155 of 3140"
"Brooks County",13027,3.9,613,"1143 of 3140"
"Troup County",13285,4.0,2744,"1136 of 3140"
"Camden County",13039,4.0,2100,"1109 of 3140"
"Appling County",13001,4.1,749,"1097 of 3140"
"Madison County",13195,4.1,1161,"1096 of 3140"
"Calhoun County",13037,4.1,267,"1085 of 3140"
"Jenkins County",13165,4.2,371,"1079 of 3140"
"Bryan County",13029,4.2,1458,"1070 of 3140"
"Wilkes County",13317,4.2,415,"1066 of 3140"
"Quitman County",13239,4.2,90,"1058 of 3140"
"Walton County",13297,4.3,3829,"1035 of 3140"
"Lowndes County",13185,4.3,4935,"1032 of 3140"
"Tattnall County",13267,4.5,1142,"1012 of 3140"
"Jeff Davis County",13161,4.6,696,"983 of 3140"
"Greene County",13133,4.8,802,"953 of 3140"
"Banks County",13011,4.9,896,"939 of 3140"
"Candler County",13043,5.1,560,"894 of 3140"
"Bacon County",13005,5.2,581,"892 of 3140"
"Bartow County",13015,5.2,5337,"886 of 3140"
"Jackson County",13157,5.2,3342,"881 of 3140"
"Peach County",13225,5.2,1415,"880 of 3140"
"Paulding County",13223,5.4,8183,"855 of 3140"
"Glynn County",13127,5.5,4632,"822 of 3140"
"Rabun County",13241,5.6,913,"813 of 3140"
"Houston County",13153,5.6,8432,"806 of 3140"
"Muscogee County",13215,5.7,11250,"795 of 3140"
"Grady County",13131,5.8,1456,"770 of 3140"
"Liberty County",13179,5.9,3646,"759 of 3140"
"Newton County",13217,5.9,6214,"754 of 3140"
"Oconee County",13219,5.9,2128,"754 of 3140"
"Montgomery County",13209,6.1,546,"733 of 3140"
"Putnam County",13237,6.2,1322,"720 of 3140"
"Coweta County",13077,6.2,8565,"718 of 3140"
"Chatham County",13051,6.4,18282,"687 of 3140"
"Chattahoochee County",13053,6.5,719,"675 of 3140"
"Coffee County",13069,6.5,2796,"674 of 3140"
"Tift County",13277,6.5,2641,"669 of 3140"
"Toombs County",13279,6.6,1779,"665 of 3140"
