------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=pop&demo=00101&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '13', 'areatype': 'county', 'topic': 'pop', 'demo': '00101', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_024.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=pop&demo=00101&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Georgia by County
Population: Non-Hispanic (Origin Recode)
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Non-Hispanic [Origin Recode]),Rank within US
"United States",00000,82.4,264493836,"N/A"
"Georgia",13000,90.7,9251255,"26 of 52"
"Whitfield County",13313,65.8,68447,"193 of 3141"
"Hall County",13139,72.2,139221,"249 of 3141"
"Echols County",13101,73.3,2942,"267 of 3141"
"Atkinson County",13003,75.4,6265,"294 of 3141"
"Gwinnett County",13135,79.3,705333,"365 of 3141"
"Stewart County",13259,79.7,4650,"373 of 3141"
"Colquitt County",13071,81.1,37207,"405 of 3141"
"Gordon County",13129,84.6,47734,"499 of 3141"
"Chattahoochee County",13053,84.7,9397,"505 of 3141"
"Murray County",13213,85.7,33786,"534 of 3141"
"Habersham County",13137,85.8,37668,"545 of 3141"
"Clayton County",13063,86.8,237982,"573 of 3141"
"Polk County",13233,87.0,36041,"575 of 3141"
"Cobb County",13067,87.2,644667,"582 of 3141"
"Liberty County",13179,87.5,54386,"602 of 3141"
"Evans County",13109,88.2,9491,"636 of 3141"
"Telfair County",13271,88.4,14438,"643 of 3141"
"Toombs County",13279,88.4,24020,"645 of 3141"
"Gilmer County",13123,88.5,26210,"646 of 3141"
"Candler County",13043,88.5,9643,"647 of 3141"
