------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=pop&demo=00025&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '13', 'areatype': 'county', 'topic': 'pop', 'demo': '00025', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_025.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=pop&demo=00025&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Georgia by County
Population: White
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (White),Rank within US
"Georgia",13000,59.4,6061821,"48 of 52"
"United States",00000,73.0,234370202,"N/A"
"Clayton County",13063,18.6,51044,"3123 of 3141"
"Hancock County",13141,24.5,2121,"3108 of 3141"
"Dougherty County",13095,27.6,25240,"3097 of 3141"
"Stewart County",13259,27.7,1618,"3096 of 3141"
"Clay County",13061,30.3,915,"3087 of 3141"
"Calhoun County",13037,33.8,2200,"3076 of 3141"
"DeKalb County",13089,34.6,254989,"3071 of 3141"
"Macon County",13193,34.9,4778,"3070 of 3141"
"Terrell County",13273,36.4,3268,"3061 of 3141"
"Randolph County",13243,36.7,2646,"3060 of 3141"
"Taliaferro County",13265,37.0,683,"3058 of 3141"
"Warren County",13301,37.2,2012,"3056 of 3141"
"Richmond County",13245,38.2,77064,"3053 of 3141"
"Bibb County",13021,41.4,63796,"3029 of 3141"
"Rockdale County",13247,42.1,37221,"3024 of 3141"
"Talbot County",13263,42.1,2702,"3023 of 3141"
"Sumter County",13261,42.2,12955,"3020 of 3141"
"Quitman County",13239,42.5,909,"3019 of 3141"
"Jefferson County",13163,43.3,6913,"3010 of 3141"
"Dooly County",13093,43.8,6158,"3009 of 3141"
"Muscogee County",13215,44.5,88471,"3005 of 3141"
"Washington County",13303,45.0,9218,"3000 of 3141"
"Fulton County",13121,45.0,454897,"2999 of 3141"
"Early County",13099,46.2,4807,"2986 of 3141"
"Liberty County",13179,46.8,29100,"2979 of 3141"
"Douglas County",13097,48.3,67714,"2967 of 3141"
"Burke County",13033,48.4,10955,"2966 of 3141"
"Peach County",13225,48.5,13121,"2963 of 3141"
"Mitchell County",13205,49.3,11125,"2959 of 3141"
"Webster County",13307,49.4,1299,"2956 of 3141"
"Gwinnett County",13135,50.7,450971,"2949 of 3141"
"Henry County",13151,50.8,110446,"2948 of 3141"
"Newton County",13217,52.0,54606,"2935 of 3141"
"Decatur County",13087,52.4,14159,"2928 of 3141"
"Wilkes County",13317,52.8,5231,"2924 of 3141"
"Chatham County",13051,52.9,150913,"2923 of 3141"
"Crisp County",13081,53.5,12313,"2916 of 3141"
"Baldwin County",13009,54.2,24653,"2907 of 3141"
"Telfair County",13271,54.6,8914,"2902 of 3141"
"McDuffie County",13189,54.8,11772,"2901 of 3141"
"Twiggs County",13289,55.3,4602,"2893 of 3141"
"Turner County",13287,55.4,4449,"2891 of 3141"
"Screven County",13251,55.8,7829,"2887 of 3141"
"Baker County",13007,55.9,1817,"2885 of 3141"
"Wheeler County",13309,57.3,4556,"2864 of 3141"
"Taylor County",13269,57.5,4753,"2862 of 3141"
"Meriwether County",13199,57.7,12215,"2851 of 3141"
"Lowndes County",13185,57.9,66027,"2847 of 3141"
"Wilkinson County",13319,58.8,5380,"2838 of 3141"
"Troup County",13285,59.0,40955,"2836 of 3141"
"Greene County",13133,59.0,9877,"2835 of 3141"
"Evans County",13109,59.1,6356,"2833 of 3141"
"Marion County",13197,59.6,5099,"2826 of 3141"
"Laurens County",13175,59.8,28363,"2823 of 3141"
"Cobb County",13067,59.9,442931,"2820 of 3141"
"Brooks County",13027,60.0,9371,"2819 of 3141"
"Tattnall County",13267,60.0,15232,"2818 of 3141"
"Thomas County",13275,60.0,26958,"2817 of 3141"
"Ben Hill County",13017,60.0,10369,"2816 of 3141"
"Jenkins County",13165,61.2,5461,"2800 of 3141"
"Houston County",13153,61.7,92820,"2786 of 3141"
"Emanuel County",13107,61.8,13901,"2785 of 3141"
"Seminole County",13253,61.8,5282,"2784 of 3141"
"McIntosh County",13191,62.3,8756,"2771 of 3141"
"Wilcox County",13315,62.5,5562,"2763 of 3141"
"Toombs County",13279,62.7,17039,"2758 of 3141"
"Spalding County",13255,62.9,40377,"2755 of 3141"
"Pulaski County",13235,63.4,7226,"2743 of 3141"
