------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=pop&demo=00105&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '13', 'areatype': 'county', 'topic': 'pop', 'demo': '00105', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_026.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=pop&demo=00105&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Georgia by County
Population: Sex - Female
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Female),Rank within US
"United States",00000,50.8,162985654,"N/A"
"Georgia",13000,51.3,5232748,"41 of 52"
"Chattahoochee County",13053,32.8,3641,"4 of 3141"
"Wheeler County",13309,35.5,2820,"12 of 3141"
"Stewart County",13259,38.0,2214,"22 of 3141"
"Hancock County",13141,39.3,3409,"31 of 3141"
"Calhoun County",13037,39.8,2588,"36 of 3141"
"Wilcox County",13315,41.0,3648,"47 of 3141"
"Tattnall County",13267,41.4,10510,"50 of 3141"
"Telfair County",13271,41.7,6807,"56 of 3141"
"Charlton County",13049,43.0,5570,"71 of 3141"
"Johnson County",13167,44.1,4324,"90 of 3141"
"Macon County",13193,44.7,6112,"109 of 3141"
"Dooly County",13093,45.7,6422,"142 of 3141"
"Butts County",13035,47.1,11092,"253 of 3141"
"Dodge County",13091,47.7,10039,"307 of 3141"
"Mitchell County",13205,48.0,10826,"354 of 3141"
"Irwin County",13155,48.6,4511,"485 of 3141"
"Coffee County",13069,48.7,20943,"493 of 3141"
"Camden County",13039,48.7,25431,"502 of 3141"
"Montgomery County",13209,48.8,4369,"519 of 3141"
"Chattooga County",13055,48.8,12150,"550 of 3141"
"Wayne County",13305,49.0,14627,"613 of 3141"
"Crawford County",13079,49.1,6082,"637 of 3141"
"Taliaferro County",13265,49.1,906,"647 of 3141"
"Liberty County",13179,49.3,30654,"738 of 3141"
"Webster County",13307,49.4,1298,"780 of 3141"
"Gilmer County",13123,49.5,14664,"825 of 3141"
"Washington County",13303,49.6,10163,"846 of 3141"
"Pierce County",13229,49.6,9501,"897 of 3141"
"Banks County",13011,49.7,9118,"916 of 3141"
"Monroe County",13207,49.7,13320,"949 of 3141"
"Baldwin County",13009,49.7,22634,"958 of 3141"
"Treutlen County",13283,49.7,3358,"969 of 3141"
"Harris County",13145,49.7,16512,"973 of 3141"
"Clinch County",13065,49.7,3377,"982 of 3141"
"Oglethorpe County",13221,49.8,7292,"989 of 3141"
"Echols County",13101,49.8,1999,"1064 of 3141"
"Madison County",13195,49.8,14255,"1067 of 3141"
"Ware County",13299,49.8,17788,"1068 of 3141"
"Lanier County",13173,49.9,5180,"1090 of 3141"
"Hall County",13139,50.2,96762,"1353 of 3141"
"Lee County",13177,50.3,14692,"1455 of 3141"
"Emanuel County",13107,50.3,11319,"1471 of 3141"
"Colquitt County",13071,50.3,23084,"1473 of 3141"
"Rabun County",13241,50.3,8228,"1484 of 3141"
"Heard County",13149,50.4,5845,"1525 of 3141"
"Bacon County",13005,50.4,5680,"1528 of 3141"
"Forsyth County",13117,50.4,106414,"1532 of 3141"
"Bryan County",13029,50.4,17570,"1539 of 3141"
"Whitfield County",13313,50.4,52397,"1571 of 3141"
"Randolph County",13243,50.4,3632,"1573 of 3141"
"Bartow County",13015,50.4,51735,"1582 of 3141"
"Pickens County",13227,50.4,15297,"1584 of 3141"
"Effingham County",13103,50.5,28827,"1679 of 3141"
"Gordon County",13129,50.5,28511,"1708 of 3141"
"Atkinson County",13003,50.5,4201,"1716 of 3141"
"Clay County",13061,50.6,1529,"1757 of 3141"
"Walker County",13295,50.6,34698,"1770 of 3141"
