------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=pov&demo=00007&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '13', 'areatype': 'county', 'topic': 'pov', 'demo': '00007', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_028.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=pov&demo=00007&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Georgia by County
Poverty: Families below poverty
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),Families (Below Poverty),Rank within US
"United States",00000,10.5,8253388,"N/A"
"Georgia",13000,12.8,317733,"43 of 52"
"Forsyth County",13117,4.9,2805,"224 of 3141"
"Fayette County",13113,5.2,1584,"271 of 3141"
"Harris County",13145,5.4,521,"306 of 3141"
"Oconee County",13219,5.7,578,"356 of 3141"
"Pickens County",13227,5.8,497,"375 of 3141"
"Columbia County",13073,5.9,2089,"389 of 3141"
"Effingham County",13103,7.0,1030,"636 of 3141"
"Cherokee County",13057,7.1,4380,"667 of 3141"
"Cobb County",13067,7.5,14128,"767 of 3141"
"Paulding County",13223,7.6,3091,"805 of 3141"
"Catoosa County",13047,8.1,1462,"918 of 3141"
"Lee County",13177,8.4,667,"986 of 3141"
"Dawson County",13085,8.9,572,"1134 of 3141"
"Walton County",13297,9.1,2167,"1163 of 3141"
"Union County",13291,9.1,565,"1164 of 3141"
"Henry County",13151,9.1,5148,"1176 of 3141"
"Pike County",13231,9.4,419,"1248 of 3141"
"Coweta County",13077,9.5,3633,"1290 of 3141"
"Towns County",13281,9.6,292,"1315 of 3141"
"Gwinnett County",13135,9.6,20698,"1321 of 3141"
"Jackson County",13157,9.7,1589,"1323 of 3141"
"Putnam County",13237,9.7,613,"1334 of 3141"
"Glascock County",13125,9.9,69,"1377 of 3141"
"Barrow County",13013,10.0,1826,"1398 of 3141"
"Monroe County",13207,10.1,670,"1442 of 3141"
"Lumpkin County",13187,10.1,754,"1446 of 3141"
"Bryan County",13029,10.6,1033,"1557 of 3141"
"Jones County",13169,10.7,838,"1564 of 3141"
"Bartow County",13015,10.9,2907,"1638 of 3141"
"Morgan County",13211,11.0,573,"1665 of 3141"
"Camden County",13039,11.0,1585,"1678 of 3141"
"Chattahoochee County",13053,11.4,209,"1762 of 3141"
"Stephens County",13257,11.6,751,"1802 of 3141"
"Hall County",13139,11.7,5462,"1830 of 3141"
"Fulton County",13121,11.7,24817,"1833 of 3141"
"Fannin County",13111,11.8,797,"1848 of 3141"
