------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/deathrates/index.php?stateFIPS=18&areatype=county&cancer=001&race=00&sex=1&age=001&type=death&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '18', 'areatype': 'county', 'cancer': '001', 'race': '00', 'sex': '1', 'age': '001', 'type': 'death', 'file_name': 'deathrates_031.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/deathrates/index.php?stateFIPS=18&areatype=county&cancer=001&race=00&sex=1&age=001&type=death&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Death Rate Report for Indiana by County

"All Cancer Sites, 2012-2016"

"All Races (includes Hispanic), Male, All Ages"

Sorted by Rate

County, FIPS,Met Healthy People Objective of 161.4?,"Age-Adjusted Death Rate(†) - deaths per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Death Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Indiana",18000,No,217.8 ,215.5, 220.2,7139,falling,-1.6 ,-1.7, -1.4
"United States",00000,No,193.1 ,192.8, 193.4,310576,falling,-1.8 ,-1.8, -1.8
"Jackson County",18071,No,286.4 ,255.4, 320.1,65,stable,-5.7 ,-13.9, 3.2
"Owen County",18119,No,277.6 ,236.1, 324.7,36,stable,0.3 ,-0.7, 1.2
"Martin County",18101,No,274.5 ,219.5, 340.1,18,stable,-1.3 ,-2.8, 0.1
"Starke County",18149,No,273.3 ,235.5, 315.8,39,stable,-0.7 ,-1.6, 0.3
"Jay County",18075,No,269.3 ,228.1, 315.9,31,stable,0.0 ,-0.9, 0.9
"Sullivan County",18153,No,268.5 ,227, 315.4,31,stable,0.0 ,-0.8, 0.8
"Orange County",18117,No,266.3 ,225.4, 312.8,32,stable,-0.8 ,-1.8, 0.2
"Clay County",18021,No,263.5 ,227.4, 303.8,40,falling,-1.5 ,-2.4, -0.6
"Jasper County",18073,No,253 ,220.6, 289,46,stable,-0.7 ,-1.4, 0.0
"Perry County",18123,No,251.2 ,211.2, 297,29,stable,-0.4 ,-1.4, 0.6
"Grant County",18053,No,250.5 ,228.4, 274.3,99,falling,-0.7 ,-1.2, -0.2
"Fountain County",18045,No,249.9 ,208.5, 297.7,26,falling,-1.2 ,-2.1, -0.2
"Jennings County",18079,No,247.2 ,210.3, 288.8,36,stable,-1.0 ,-2.1, 0.1
"Washington County",18175,No,243.8 ,209.5, 282.3,38,falling,-1.2 ,-2.0, -0.4
"Rush County",18139,No,241.6 ,200.4, 289.2,25,falling,-1.3 ,-2.2, -0.4
"Fayette County",18041,No,241.6 ,206.9, 280.8,36,falling,-1.0 ,-1.8, -0.2
"Morgan County",18109,No,238.5 ,215.3, 263.6,86,falling,-1.0 ,-1.6, -0.4
"Knox County",18083,No,237.9 ,208.5, 270.3,50,falling,-1.1 ,-1.8, -0.4
"Clinton County",18023,No,237.8 ,205.9, 273.3,41,stable,-0.2 ,-1.1, 0.7
"Lawrence County",18093,No,237.2 ,211.8, 265,67,falling,-0.9 ,-1.5, -0.2
"Randolph County",18135,No,236.7 ,203.5, 274,38,stable,-0.1 ,-1.2, 1.0
"Wayne County",18177,No,235 ,213.8, 257.8,93,falling,-0.8 ,-1.5, -0.2
"Marion County",18097,No,234.1 ,227, 241.4,883,falling,-1.5 ,-1.7, -1.3
"LaPorte County",18091,No,233.8 ,216.6, 252.1,145,falling,-1.0 ,-1.3, -0.6
"Scott County",18143,No,233.7 ,197.1, 275.3,31,falling,-1.6 ,-2.9, -0.3
"Greene County",18055,No,232.2 ,202.9, 264.7,47,stable,-0.6 ,-1.5, 0.3
"Harrison County",18061,No,231.5 ,203, 263,52,stable,-1.0 ,-1.9, 0.0
"Brown County",18013,No,231.3 ,190.3, 279.6,25,stable,-0.2 ,-1.4, 1.0
"Benton County",18007,No,230.8 ,173.3, 301.8,11,stable,-0.8 ,-2.2, 0.6
"Madison County",18095,No,230.4 ,214.9, 246.8,170,falling,-1.2 ,-1.5, -0.9
"DeKalb County",18033,No,229.7 ,201.7, 260.6,52,stable,-0.4 ,-1.1, 0.4
"Clark County",18019,No,229.2 ,211.2, 248.3,130,falling,-1.4 ,-1.9, -1.0
"Fulton County",18049,No,228 ,191, 270.5,28,falling,-1.3 ,-2.3, -0.3
"Wabash County",18169,No,227.7 ,198.5, 260.3,45,stable,-0.7 ,-1.6, 0.1
"Switzerland County",18155,No,227.2 ,174.5, 291.2,14,stable,-1.6 ,-3.4, 0.2
"Shelby County",18145,No,226.9 ,199.9, 256.5,55,stable,-0.7 ,-1.7, 0.2
"Union County",18161,No,226.7 ,163.2, 307.4,9,stable,-0.1 ,-1.5, 1.3
"Vigo County",18167,No,226.6 ,208.3, 246,120,falling,-1.2 ,-1.7, -0.6
"Ripley County",18137,No,226.4 ,194, 262.9,36,stable,-0.6 ,-1.5, 0.3
"Blackford County",18009,No,225.9 ,180.7, 279.9,18,falling,-1.5 ,-2.5, -0.5
"Delaware County",18035,No,224.8 ,208.1, 242.5,139,falling,-1.2 ,-1.7, -0.6
