------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=18&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '18', 'areatype': 'county', 'topic': 'ed', 'demo': '00004', 'race': '00', 'sex': '0', 'age': '081', 'type': 'manyareacensus', 'file_name': 'demographics_001.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=18&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Indiana by County
Education: Less than 9th grade
Population Ages 25+
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Education: Less Than 9th Grade),Rank within US
"Indiana",18000,3.8,167020,"23 of 52"
"United States",00000,5.4,11759554,"N/A"
"Hamilton County",18057,1.1,2219,"60 of 3141"
"Hancock County",18059,1.3,620,"81 of 3141"
"Posey County",18129,1.5,271,"147 of 3141"
"Hendricks County",18063,1.7,1754,"201 of 3141"
"Warrick County",18173,1.9,787,"269 of 3141"
"Wells County",18179,2.0,370,"314 of 3141"
"Porter County",18127,2.0,2253,"317 of 3141"
"Johnson County",18081,2.0,1999,"329 of 3141"
"Boone County",18011,2.1,856,"361 of 3141"
"Benton County",18007,2.1,125,"396 of 3141"
"Monroe County",18105,2.2,1808,"435 of 3141"
"Harrison County",18061,2.2,614,"443 of 3141"
"Clay County",18021,2.2,406,"444 of 3141"
"Brown County",18013,2.2,251,"445 of 3141"
"Jasper County",18073,2.3,504,"459 of 3141"
"Huntington County",18069,2.4,590,"507 of 3141"
"Montgomery County",18107,2.4,626,"532 of 3141"
"Morgan County",18109,2.6,1221,"607 of 3141"
"DeKalb County",18033,2.6,735,"623 of 3141"
"Spencer County",18147,2.6,375,"636 of 3141"
"Union County",18161,2.6,130,"640 of 3141"
"Vanderburgh County",18163,2.6,3242,"647 of 3141"
"Madison County",18095,2.7,2428,"698 of 3141"
"Whitley County",18183,2.7,626,"705 of 3141"
"Dearborn County",18029,2.8,943,"741 of 3141"
"Knox County",18083,2.8,688,"744 of 3141"
"Delaware County",18035,2.8,1993,"763 of 3141"
"Tippecanoe County",18157,2.9,2944,"813 of 3141"
"Vermillion County",18165,2.9,317,"826 of 3141"
"Warren County",18171,2.9,170,"827 of 3141"
"Shelby County",18145,2.9,899,"851 of 3141"
"Vigo County",18167,3.0,2081,"907 of 3141"
"LaPorte County",18091,3.0,2338,"917 of 3141"
"Gibson County",18051,3.0,693,"922 of 3141"
"Wabash County",18169,3.0,663,"926 of 3141"
"Tipton County",18159,3.1,334,"940 of 3141"
"Decatur County",18031,3.1,549,"949 of 3141"
"Steuben County",18151,3.1,732,"956 of 3141"
"Bartholomew County",18005,3.1,1723,"972 of 3141"
"Henry County",18065,3.1,1085,"979 of 3141"
"Floyd County",18043,3.1,1639,"980 of 3141"
"Pike County",18125,3.2,279,"988 of 3141"
"Jefferson County",18077,3.2,703,"995 of 3141"
"Grant County",18053,3.2,1421,"1005 of 3141"
"Howard County",18067,3.2,1842,"1022 of 3141"
"Blackford County",18009,3.3,288,"1092 of 3141"
"Greene County",18055,3.4,769,"1113 of 3141"
"Newton County",18111,3.4,334,"1116 of 3141"
"Clark County",18019,3.4,2711,"1139 of 3141"
"Carroll County",18015,3.4,479,"1147 of 3141"
"Putnam County",18133,3.5,858,"1157 of 3141"
"Sullivan County",18153,3.5,519,"1160 of 3141"
"Ripley County",18137,3.5,676,"1188 of 3141"
