------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=18&areatype=county&topic=lang&demo=00015&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '18', 'areatype': 'county', 'topic': 'lang', 'demo': '00015', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_007.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=18&areatype=county&topic=lang&demo=00015&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Indiana by County
Non-English Language: Language isolation
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),Households (language Isolation),Rank within US
"Indiana",18000,1.7,43854,"18 of 51"
"United States",00000,4.5,5305440,"N/A"
"Brown County",18013,0.0,0,"1 of 3140"
"Martin County",18101,0.0,0,"1 of 3140"
"Ohio County",18115,0.0,0,"1 of 3140"
"Scott County",18143,0.0,0,"1 of 3140"
"Switzerland County",18155,0.0,0,"1 of 3140"
"Union County",18161,0.0,0,"1 of 3140"
"Whitley County",18183,0.0,2,"295 of 3140"
"Greene County",18055,0.0,3,"301 of 3140"
"Sullivan County",18153,0.1,4,"333 of 3140"
"Orange County",18117,0.1,5,"354 of 3140"
"Dearborn County",18029,0.1,12,"355 of 3140"
"Clay County",18021,0.1,8,"371 of 3140"
"Blackford County",18009,0.1,4,"375 of 3140"
"Morgan County",18109,0.1,20,"376 of 3140"
"Franklin County",18047,0.1,10,"422 of 3140"
"Crawford County",18025,0.1,5,"444 of 3140"
"Pulaski County",18131,0.1,7,"463 of 3140"
"Henry County",18065,0.1,27,"488 of 3140"
"Fayette County",18041,0.2,15,"517 of 3140"
"Lawrence County",18093,0.2,30,"525 of 3140"
"Washington County",18175,0.2,18,"540 of 3140"
"Perry County",18123,0.2,14,"565 of 3140"
"Wells County",18179,0.2,21,"575 of 3140"
"Harrison County",18061,0.3,40,"729 of 3140"
"Gibson County",18051,0.3,39,"766 of 3140"
"Grant County",18053,0.3,78,"784 of 3140"
"Jefferson County",18077,0.3,40,"807 of 3140"
"Floyd County",18043,0.3,92,"808 of 3140"
"Benton County",18007,0.3,11,"823 of 3140"
"Warrick County",18173,0.3,77,"825 of 3140"
"Owen County",18119,0.3,28,"829 of 3140"
"Decatur County",18031,0.3,34,"832 of 3140"
"Jennings County",18079,0.3,36,"847 of 3140"
"Hancock County",18059,0.3,93,"851 of 3140"
"Pike County",18125,0.4,18,"886 of 3140"
"Warren County",18171,0.4,12,"888 of 3140"
"Spencer County",18147,0.4,30,"918 of 3140"
"Putnam County",18133,0.4,53,"979 of 3140"
"Miami County",18103,0.4,55,"991 of 3140"
"Posey County",18129,0.4,44,"1038 of 3140"
"Delaware County",18035,0.4,203,"1049 of 3140"
"Huntington County",18069,0.4,65,"1055 of 3140"
"Wabash County",18169,0.4,58,"1063 of 3140"
"Fountain County",18045,0.5,34,"1107 of 3140"
"Ripley County",18137,0.5,57,"1146 of 3140"
"Knox County",18083,0.5,80,"1177 of 3140"
"Boone County",18011,0.6,137,"1224 of 3140"
"Howard County",18067,0.6,196,"1232 of 3140"
"Carroll County",18015,0.6,45,"1239 of 3140"
"Starke County",18149,0.6,51,"1248 of 3140"
"DeKalb County",18033,0.6,95,"1251 of 3140"
"Jay County",18075,0.6,48,"1257 of 3140"
"Tipton County",18159,0.6,38,"1279 of 3140"
"Wayne County",18177,0.6,160,"1293 of 3140"
"Vermillion County",18165,0.7,43,"1358 of 3140"
"Madison County",18095,0.7,353,"1392 of 3140"
"Rush County",18139,0.7,47,"1417 of 3140"
"Vanderburgh County",18163,0.7,554,"1463 of 3140"
"Steuben County",18151,0.7,103,"1471 of 3140"
"Johnson County",18081,0.8,449,"1551 of 3140"
"Jasper County",18073,0.9,104,"1589 of 3140"
"Clark County",18019,0.9,375,"1595 of 3140"
"Porter County",18127,0.9,558,"1612 of 3140"
"Vigo County",18167,0.9,370,"1628 of 3140"
"Fulton County",18049,0.9,72,"1638 of 3140"
"Randolph County",18135,0.9,96,"1644 of 3140"
"Hendricks County",18063,1.0,579,"1730 of 3140"
"LaPorte County",18091,1.0,438,"1737 of 3140"
"Shelby County",18145,1.0,182,"1755 of 3140"
"Adams County",18001,1.2,152,"1900 of 3140"
"Newton County",18111,1.2,69,"1917 of 3140"
"Hamilton County",18057,1.3,1436,"1924 of 3140"
"White County",18181,1.4,132,"1991 of 3140"
"Montgomery County",18107,1.4,215,"2041 of 3140"
"Kosciusko County",18085,1.5,467,"2116 of 3140"
"St. Joseph County",18141,1.6,1636,"2175 of 3140"
"Daviess County",18027,1.9,221,"2300 of 3140"
"Noble County",18113,2.0,370,"2340 of 3140"
"Dubois County",18037,2.1,349,"2366 of 3140"
"Allen County",18003,2.3,3292,"2444 of 3140"
"Marshall County",18099,2.4,413,"2478 of 3140"
"Bartholomew County",18005,2.4,757,"2483 of 3140"
"Jackson County",18071,2.4,399,"2484 of 3140"
"Lake County",18089,2.4,4524,"2492 of 3140"
"Parke County",18121,2.5,151,"2503 of 3140"
"Monroe County",18105,2.7,1507,"2574 of 3140"
"Clinton County",18023,2.9,341,"2608 of 3140"
"Tippecanoe County",18157,3.2,2229,"2678 of 3140"
"Elkhart County",18039,3.6,2567,"2726 of 3140"
"Marion County",18097,4.0,14567,"2772 of 3140"
"Cass County",18017,4.2,630,"2795 of 3140"
"LaGrange County",18087,7.1,855,"2973 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:16 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Non-English Language: Language isolation, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#non-english."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
A "limited English speaking household" is one in which no member 14 years old and over (1) speaks only English or (2) speaks a non-English language and speaks English "very well."
Data for United States does not include Puerto Rico.
