------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=19&areatype=county&cancer=001&race=00&sex=1&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '19', 'areatype': 'county', 'cancer': '001', 'race': '00', 'sex': '1', 'age': '001', 'type': 'incd', 'file_name': 'incidencerates_032.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=19&areatype=county&cancer=001&race=00&sex=1&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Incidence Rate Report for Iowa by County

"All Cancer Sites (All Stages^), 2012-2016"

"All Races (includes Hispanic), Male, All Ages"

Sorted by Rate

County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Iowa(7,8)",19000,***,521 ,516.1, 525.9,9122,falling,-1.0 ,-1.4, -0.7
"US (SEER+NPCR)(1,10)",00000,***,488.8 ,488.3, 489.3,824195,falling,-1.4 ,-2.1, -0.7
"Palo Alto County(7,8)",19147,***,718.5 ,620.4, 828.4,43,stable,0.3 ,-0.6, 1.2
"Greene County(7,8)",19073,***,651.5 ,562.5, 752,41,rising,1.2 ,0.2, 2.2
"Floyd County(7,8)",19067,***,633.5 ,566.2, 707.1,69,stable,0.1 ,-0.7, 0.8
"Dickinson County(7,8)",19059,***,625.4 ,563.3, 693.2,82,stable,-0.1 ,-0.6, 0.5
"Decatur County(7,8)",19053,***,619.9 ,519.8, 734.3,30,stable,0.0 ,-1.0, 1.1
"Hardin County(7,8)",19083,***,607.2 ,543.9, 676.4,72,stable,-0.3 ,-0.9, 0.2
"Page County(7,8)",19145,***,602.1 ,537.3, 673.2,65,stable,-1.0 ,-2.5, 0.5
"Henry County(7,8)",19087,***,597.2 ,536, 663.9,73,stable,0.2 ,-0.4, 0.8
"Ringgold County(7,8)",19159,***,597.2 ,482.9, 732.9,21,stable,0.4 ,-0.8, 1.6
"Clay County(7,8)",19041,***,596.9 ,532, 668.2,65,stable,-0.2 ,-0.9, 0.6
"Carroll County(7,8)",19027,***,590 ,531.2, 654,78,stable,-0.5 ,-1.2, 0.2
"Adams County(7,8)",19003,***,588.1 ,461.8, 741.9,17,stable,0.9 ,-0.3, 2.1
"Ida County(7,8)",19093,***,587.2 ,495.8, 692.7,31,stable,0.6 ,-0.5, 1.7
"Hamilton County(7,8)",19079,***,585.4 ,518, 659.7,58,stable,-0.8 ,-1.6, 0.1
"Monona County(7,8)",19133,***,585.3 ,504.1, 677.7,40,stable,-0.4 ,-1.3, 0.5
"Pocahontas County(7,8)",19151,***,584.2 ,493.5, 689.3,32,stable,8.0 ,-0.2, 16.9
"Monroe County(7,8)",19135,***,582.1 ,492.1, 685.3,31,stable,0.1 ,-0.7, 0.9
"Emmet County(7,8)",19063,***,581.2 ,499, 674.1,38,stable,-0.2 ,-1.0, 0.7
"Audubon County(7,8)",19009,***,578.8 ,477.6, 698.1,25,stable,0.4 ,-0.5, 1.4
"Cass County(7,8)",19029,***,577.3 ,509.7, 652.4,56,stable,0.5 ,-0.3, 1.3
"Jackson County(7,8)",19097,***,574.6 ,516.9, 637.7,76,stable,-0.1 ,-0.8, 0.6
"Cerro Gordo County(7,8)",19033,***,574.6 ,534.6, 617,164,stable,0.1 ,-0.4, 0.6
"Clarke County(7,8)",19039,***,573.5 ,485.4, 673.5,32,stable,0.1 ,-0.9, 1.2
"Des Moines County(7,8)",19057,***,564.1 ,522.6, 608.2,145,stable,-0.4 ,-1.0, 0.2
"Franklin County(7,8)",19069,***,560.7 ,483.7, 647.6,40,stable,0.7 ,-0.1, 1.6
"Montgomery County(7,8)",19137,***,557.1 ,480.4, 643.8,40,stable,-0.4 ,-1.2, 0.5
"Calhoun County(7,8)",19025,***,556.5 ,479.3, 643.6,41,stable,0.1 ,-0.8, 1.1
"Dubuque County(7,8)",19061,***,554.9 ,526.7, 584.3,303,falling,-0.8 ,-1.2, -0.5
"Marshall County(7,8)",19127,***,552.9 ,511.3, 597.2,137,falling,-0.8 ,-1.2, -0.3
"Fremont County(7,8)",19071,***,551.6 ,460.5, 657.5,28,stable,0.1 ,-0.7, 1.0
"Butler County(7,8)",19023,***,551.5 ,487, 622.8,57,stable,0.0 ,-0.9, 0.9
"Boone County(7,8)",19015,***,550.3 ,499, 605.7,90,stable,-0.3 ,-1.0, 0.4
"Cherokee County(7,8)",19035,***,550 ,481.7, 626.6,50,stable,-0.4 ,-1.3, 0.5
"Wapello County(7,8)",19179,***,544.1 ,499.5, 591.8,115,stable,-0.4 ,-0.9, 0.1
"Muscatine County(7,8)",19139,***,542.8 ,500.6, 587.7,130,stable,-0.5 ,-1.0, 0.0
"Hancock County(7,8)",19081,***,542.1 ,469.2, 624.3,43,stable,-0.8 ,-2.2, 0.6
"Webster County(7,8)",19187,***,542 ,499.3, 587.6,124,falling,-0.8 ,-1.4, -0.3
"Woodbury County(7,8)",19193,***,541.2 ,512.4, 571.2,278,falling,-0.8 ,-1.2, -0.4
"Kossuth County(7,8)",19109,***,539 ,478.9, 605.5,63,stable,-0.2 ,-0.9, 0.5
"Tama County(7,8)",19171,***,538.5 ,478.1, 605,61,stable,-0.5 ,-1.2, 0.2
"Story County(7,8)",19169,***,533.3 ,499.9, 568.3,200,stable,-0.3 ,-0.8, 0.2
"Scott County(7,8)",19163,***,532.8 ,511, 555.3,478,falling,-0.4 ,-0.8, -0.1
"Shelby County(7,8)",19165,***,530.2 ,459.8, 609.4,45,stable,0.4 ,-0.5, 1.3
"Black Hawk County(7,8)",19013,***,529.9 ,505.5, 555.2,372,stable,-0.5 ,-1.1, 0.0
"Van Buren County(7,8)",19177,***,529.4 ,443.2, 629.3,28,stable,-0.6 ,-1.5, 0.4
"Sac County(7,8)",19161,***,524.9 ,448.3, 612,37,stable,0.1 ,-0.7, 0.9
"Fayette County(7,8)",19065,***,524.7 ,471, 583.3,73,falling,-0.7 ,-1.2, -0.2
"Buchanan County(7,8)",19019,***,522 ,464.9, 584.5,63,falling,-1.0 ,-1.8, -0.2
"O'Brien County(7,8)",19141,***,521.5 ,457.6, 592.6,51,falling,-0.9 ,-1.7, -0.1
"Marion County(7,8)",19125,***,521 ,475.7, 569.6,101,stable,0.1 ,-0.4, 0.5
"Delaware County(7,8)",19055,***,519.4 ,459.5, 585.5,58,stable,7.9 ,-9.0, 28.0
"Cedar County(7,8)",19031,***,518.8 ,460.4, 583.1,61,stable,0.0 ,-0.9, 0.9
"Osceola County(7,8)",19143,***,517.9 ,423.5, 628.9,22,stable,-0.5 ,-1.6, 0.6
"Clinton County(7,8)",19045,***,514.7 ,478, 553.5,154,falling,-0.8 ,-1.3, -0.4
"Polk County(7,8)",19153,***,513.8 ,499.5, 528.3,1062,falling,-0.7 ,-1.0, -0.5
"Winnebago County(7,8)",19189,***,513.7 ,438.7, 598.9,36,stable,-0.3 ,-1.1, 0.6
