------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=21&areatype=county&topic=inc&demo=00011&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '21', 'areatype': 'county', 'topic': 'inc', 'demo': '00011', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_005.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=21&areatype=county&topic=inc&demo=00011&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Kentucky by County
Income: Median household income
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Dollars),Rank within US
"Kentucky",21000,46535.000000000,"47 of 52"
"United States",00000,57652.000000000,"N/A"
"McCreary County",21147,19264.000000000,"3141 of 3141"
"Wolfe County",21237,21999.000000000,"3132 of 3141"
"Owsley County",21189,22736.000000000,"3130 of 3141"
"Lee County",21129,23297.000000000,"3128 of 3141"
"Bell County",21013,23558.000000000,"3124 of 3141"
"Harlan County",21095,24451.000000000,"3123 of 3141"
"Clay County",21051,24596.000000000,"3122 of 3141"
"Breathitt County",21025,25861.000000000,"3114 of 3141"
"Knox County",21121,26061.000000000,"3110 of 3141"
"Leslie County",21131,27861.000000000,"3089 of 3141"
"Fulton County",21075,28274.000000000,"3086 of 3141"
"Elliott County",21063,29043.000000000,"3078 of 3141"
"Martin County",21159,29239.000000000,"3074 of 3141"
"Magoffin County",21153,29578.000000000,"3068 of 3141"
"Letcher County",21133,30293.000000000,"3053 of 3141"
"Knott County",21119,30503.000000000,"3046 of 3141"
"Estill County",21065,30692.000000000,"3043 of 3141"
"Robertson County",21201,30694.000000000,"3042 of 3141"
"Clinton County",21053,31130.000000000,"3028 of 3141"
"Floyd County",21071,31196.000000000,"3026 of 3141"
"Perry County",21193,31820.000000000,"3010 of 3141"
"Lewis County",21135,32054.000000000,"2998 of 3141"
"Jackson County",21109,32055.000000000,"2997 of 3141"
"Lawrence County",21127,32703.000000000,"2969 of 3141"
"Pike County",21195,32972.000000000,"2961 of 3141"
"Casey County",21045,33031.000000000,"2958 of 3141"
"Morgan County",21175,33523.000000000,"2941 of 3141"
"Wayne County",21231,33715.000000000,"2927 of 3141"
"Whitley County",21235,34103.000000000,"2914 of 3141"
"Powell County",21197,34647.000000000,"2894 of 3141"
"Russell County",21207,34660.000000000,"2892 of 3141"
"Pulaski County",21199,35022.000000000,"2872 of 3141"
"Carter County",21043,35095.000000000,"2868 of 3141"
"Cumberland County",21057,35449.000000000,"2840 of 3141"
"Metcalfe County",21169,35594.000000000,"2829 of 3141"
"Johnson County",21115,35629.000000000,"2828 of 3141"
"Monroe County",21171,35665.000000000,"2825 of 3141"
"Rockcastle County",21203,35888.000000000,"2815 of 3141"
"Grayson County",21085,35944.000000000,"2805 of 3141"
"Rowan County",21205,36411.000000000,"2772 of 3141"
"Taylor County",21217,36455.000000000,"2767 of 3141"
"Adair County",21001,36575.000000000,"2753 of 3141"
"Laurel County",21125,37235.000000000,"2700 of 3141"
"Hart County",21099,37315.000000000,"2691 of 3141"
"Green County",21087,37388.000000000,"2686 of 3141"
"Lincoln County",21137,37930.000000000,"2643 of 3141"
"Hickman County",21105,38036.000000000,"2634 of 3141"
"Todd County",21219,38248.000000000,"2616 of 3141"
"Bath County",21011,38763.000000000,"2584 of 3141"
"Carlisle County",21039,38860.000000000,"2574 of 3141"
"Nicholas County",21181,38900.000000000,"2569 of 3141"
"Calloway County",21035,39269.000000000,"2537 of 3141"
"Webster County",21233,39273.000000000,"2536 of 3141"
"Butler County",21031,39362.000000000,"2526 of 3141"
"Barren County",21009,39658.000000000,"2494 of 3141"
"Menifee County",21165,39688.000000000,"2490 of 3141"
"Marion County",21155,40005.000000000,"2471 of 3141"
"Muhlenberg County",21177,40037.000000000,"2470 of 3141"
"Graves County",21083,40369.000000000,"2443 of 3141"
"Bracken County",21023,40458.000000000,"2433 of 3141"
"Allen County",21003,40598.000000000,"2417 of 3141"
"Logan County",21141,40982.000000000,"2378 of 3141"
"Fleming County",21069,41095.000000000,"2365 of 3141"
"Crittenden County",21055,41114.000000000,"2357 of 3141"
"Edmonson County",21061,41114.000000000,"2357 of 3141"
"Ohio County",21183,41470.000000000,"2310 of 3141"
"Larue County",21123,41720.000000000,"2276 of 3141"
"Christian County",21047,41849.000000000,"2263 of 3141"
"Union County",21225,42139.000000000,"2232 of 3141"
"Montgomery County",21173,42172.000000000,"2226 of 3141"
"McCracken County",21145,42894.000000000,"2151 of 3141"
"Ballard County",21007,42988.000000000,"2147 of 3141"
"Boyle County",21021,43076.000000000,"2137 of 3141"
"Mason County",21161,43082.000000000,"2136 of 3141"
"Carroll County",21041,43345.000000000,"2105 of 3141"
"Henderson County",21101,43458.000000000,"2095 of 3141"
"Livingston County",21139,43472.000000000,"2091 of 3141"
"Grant County",21081,43881.000000000,"2051 of 3141"
"Owen County",21187,44031.000000000,"2033 of 3141"
"Hopkins County",21107,44048.000000000,"2031 of 3141"
"Breckinridge County",21027,44057.000000000,"2029 of 3141"
"McLean County",21149,44242.000000000,"2014 of 3141"
"Harrison County",21097,44620.000000000,"1974 of 3141"
"Simpson County",21213,44989.000000000,"1922 of 3141"
"Boyd County",21019,45543.000000000,"1864 of 3141"
"Caldwell County",21033,46182.000000000,"1790 of 3141"
"Madison County",21151,46674.000000000,"1716 of 3141"
"Trigg County",21221,47259.000000000,"1657 of 3141"
"Greenup County",21089,47517.000000000,"1624 of 3141"
"Mercer County",21167,47574.000000000,"1615 of 3141"
"Washington County",21229,47843.000000000,"1596 of 3141"
"Bourbon County",21017,47886.000000000,"1589 of 3141"
"Garrard County",21079,47906.000000000,"1584 of 3141"
"Daviess County",21059,48371.000000000,"1531 of 3141"
"Marshall County",21157,49126.000000000,"1456 of 3141"
"Hancock County",21091,49135.000000000,"1454 of 3141"
"Warren County",21227,49508.000000000,"1420 of 3141"
"Pendleton County",21191,49706.000000000,"1396 of 3141"
"Gallatin County",21077,50250.000000000,"1331 of 3141"
"Lyon County",21143,50268.000000000,"1328 of 3141"
"Henry County",21103,50787.000000000,"1262 of 3141"
"Trimble County",21223,50998.000000000,"1229 of 3141"
"Clark County",21049,51547.000000000,"1168 of 3141"
"Anderson County",21005,51681.000000000,"1155 of 3141"
"Hardin County",21093,51923.000000000,"1129 of 3141"
"Jefferson County",21111,52237.000000000,"1092 of 3141"
"Fayette County",21067,53013.000000000,"1018 of 3141"
"Franklin County",21073,53539.000000000,"977 of 3141"
"Meade County",21163,53732.000000000,"954 of 3141"
"Nelson County",21179,55182.000000000,"827 of 3141"
"Jessamine County",21113,55450.000000000,"805 of 3141"
"Campbell County",21037,57208.000000000,"687 of 3141"
"Kenton County",21117,58674.000000000,"591 of 3141"
"Bullitt County",21029,59917.000000000,"526 of 3141"
"Woodford County",21239,60604.000000000,"491 of 3141"
"Shelby County",21211,63171.000000000,"371 of 3141"
"Scott County",21209,65598.000000000,"300 of 3141"
"Spencer County",21215,68916.000000000,"232 of 3141"
"Boone County",21015,72731.000000000,"184 of 3141"
"Oldham County",21185,92237.000000000,"39 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:16 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Income: Median household income, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#income."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
"Median Incomes over 250,000 have been coded to 250,001 by the Census Bureau. [ http://www2.census.gov/acs2012_5yr/summaryfile/ACS_2008-2012_SF_Tech_Doc.pdf ]"
Data for United States does not include Puerto Rico.
