------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=22&areatype=county&topic=inc&demo=00010&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '22', 'areatype': 'county', 'topic': 'inc', 'demo': '00010', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_004.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=22&areatype=county&topic=inc&demo=00010&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Louisiana by Parish
Income: Median family income
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

Parish, FIPS,Value (Dollars),Rank within US
"Louisiana",22000,60064.000000000,"45 of 52"
"United States",00000,70850.000000000,"N/A"
"East Carroll Parish",22035,27949.000000000,"3132 of 3141"
"Tensas Parish",22107,32072.000000000,"3118 of 3141"
"Madison Parish",22065,36082.000000000,"3088 of 3141"
"Claiborne Parish",22027,37813.000000000,"3067 of 3141"
"Winn Parish",22127,40945.000000000,"3002 of 3141"
"Morehouse Parish",22067,41326.000000000,"2987 of 3141"
"Webster Parish",22119,41420.000000000,"2979 of 3141"
"Evangeline Parish",22039,41445.000000000,"2977 of 3141"
"La Salle Parish",22059,41638.000000000,"2968 of 3141"
"Concordia Parish",22029,41889.000000000,"2964 of 3141"
"St. Landry Parish",22097,42632.000000000,"2937 of 3141"
"St. Helena Parish",22091,43150.000000000,"2917 of 3141"
"Washington Parish",22117,43785.000000000,"2894 of 3141"
"Bienville Parish",22013,44940.000000000,"2839 of 3141"
"Caldwell Parish",22021,46163.000000000,"2765 of 3141"
"Richland Parish",22083,46436.000000000,"2743 of 3141"
"Natchitoches Parish",22069,46669.000000000,"2727 of 3141"
"Franklin Parish",22041,47182.000000000,"2698 of 3141"
"Jackson Parish",22049,47901.000000000,"2651 of 3141"
"Avoyelles Parish",22009,49396.000000000,"2558 of 3141"
"West Carroll Parish",22123,49567.000000000,"2542 of 3141"
"Red River Parish",22081,50298.000000000,"2483 of 3141"
"Grant Parish",22043,50789.000000000,"2426 of 3141"
"St. Mary Parish",22101,51043.000000000,"2404 of 3141"
"St. Bernard Parish",22087,51364.000000000,"2378 of 3141"
"Ouachita Parish",22073,51821.000000000,"2338 of 3141"
"Iberia Parish",22045,51852.000000000,"2334 of 3141"
"Acadia Parish",22001,52085.000000000,"2306 of 3141"
"De Soto Parish",22031,52701.000000000,"2234 of 3141"
"Vernon Parish",22115,53471.000000000,"2183 of 3141"
"Caddo Parish",22017,53523.000000000,"2176 of 3141"
"Rapides Parish",22079,53734.000000000,"2155 of 3141"
"East Feliciana Parish",22037,53985.000000000,"2138 of 3141"
"Sabine Parish",22085,53989.000000000,"2137 of 3141"
"Jefferson Davis Parish",22053,54059.000000000,"2133 of 3141"
"Union Parish",22111,54217.000000000,"2123 of 3141"
"Orleans Parish",22071,54339.000000000,"2110 of 3141"
"Lincoln Parish",22061,54653.000000000,"2086 of 3141"
"Catahoula Parish",22025,54706.000000000,"2082 of 3141"
"Allen Parish",22003,54821.000000000,"2071 of 3141"
"St. Martin Parish",22099,55127.000000000,"2045 of 3141"
"Iberville Parish",22047,55855.000000000,"1972 of 3141"
"Pointe Coupee Parish",22077,57324.000000000,"1832 of 3141"
"Tangipahoa Parish",22105,57472.000000000,"1815 of 3141"
"Terrebonne Parish",22109,58214.000000000,"1738 of 3141"
"Vermilion Parish",22113,59144.000000000,"1648 of 3141"
"Calcasieu Parish",22019,59330.000000000,"1630 of 3141"
"St. John the Baptist Parish",22095,59670.000000000,"1589 of 3141"
"Assumption Parish",22007,60968.000000000,"1440 of 3141"
"Beauregard Parish",22011,61910.000000000,"1352 of 3141"
"Plaquemines Parish",22075,62736.000000000,"1268 of 3141"
"St. James Parish",22093,63345.000000000,"1205 of 3141"
"LaFourche Parish",22057,63373.000000000,"1202 of 3141"
"Jefferson Parish",22051,64058.000000000,"1149 of 3141"
"Bossier Parish",22015,66275.000000000,"971 of 3141"
"East Baton Rouge Parish",22033,68774.000000000,"795 of 3141"
"Livingston Parish",22063,70264.000000000,"708 of 3141"
"Lafayette Parish",22055,71320.000000000,"657 of 3141"
"West Baton Rouge Parish",22121,73782.000000000,"508 of 3141"
"Cameron Parish",22023,74063.000000000,"491 of 3141"
"St. Charles Parish",22089,77261.000000000,"381 of 3141"
"St. Tammany Parish",22103,79154.000000000,"334 of 3141"
"West Feliciana Parish",22125,83917.000000000,"237 of 3141"
"Ascension Parish",22005,86570.000000000,"202 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:18 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Income: Median family income, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#income."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
"Median Incomes over 250,000 have been coded to 250,001 by the Census Bureau. [ http://www2.census.gov/acs2012_5yr/summaryfile/ACS_2008-2012_SF_Tech_Doc.pdf ]"
Data for United States does not include Puerto Rico.
