------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=22&areatype=county&topic=ins&demo=00043&race=00&sex=0&age=006&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '22', 'areatype': 'county', 'topic': 'ins', 'demo': '00043', 'race': '00', 'sex': '0', 'age': '006', 'type': 'manyareacensus', 'file_name': 'demographics_006.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=22&areatype=county&topic=ins&demo=00043&race=00&sex=0&age=006&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Louisiana by Parish
"Insurance: Percent uninsured in demographic group, people at or below 138% of poverty"
"Ages <65, All Races (includes Hispanic), Both Sexes"
2017 Small Area Health Insurance Estimates Data
Sorted by Value

Parish, FIPS,Value (Percent),People (Uninsured),Rank within US
"Louisiana",22000,13.9,147473,"24 of 51"
"East Carroll Parish",22035,9.0,235,"236 of 3139"
"Madison Parish",22065,10.3,416,"539 of 3139"
"Morehouse Parish",22067,10.7,890,"614 of 3139"
"Ouachita Parish",22073,10.7,4596,"614 of 3139"
"Caddo Parish",22017,10.8,7197,"631 of 3139"
"Vernon Parish",22115,11.0,1233,"684 of 3139"
"St. Landry Parish",22097,11.8,2976,"825 of 3139"
"Webster Parish",22119,12.0,1303,"859 of 3139"
"Iberville Parish",22047,12.2,810,"898 of 3139"
"Red River Parish",22081,12.3,265,"907 of 3139"
"Avoyelles Parish",22009,12.4,1314,"922 of 3139"
"Concordia Parish",22029,12.5,753,"933 of 3139"
"Natchitoches Parish",22069,12.5,1418,"933 of 3139"
"Tensas Parish",22107,12.5,197,"933 of 3139"
"Bienville Parish",22013,12.6,463,"954 of 3139"
"Evangeline Parish",22039,12.7,1269,"966 of 3139"
"Richland Parish",22083,12.7,723,"966 of 3139"
"Orleans Parish",22071,12.8,14339,"983 of 3139"
"St. James Parish",22093,13.0,504,"1003 of 3139"
"West Feliciana Parish",22125,13.0,211,"1003 of 3139"
"Allen Parish",22003,13.2,643,"1030 of 3139"
"Rapides Parish",22079,13.2,4222,"1030 of 3139"
"Tangipahoa Parish",22105,13.2,4498,"1030 of 3139"
"West Baton Rouge Parish",22121,13.2,645,"1030 of 3139"
"Winn Parish",22127,13.2,437,"1030 of 3139"
"De Soto Parish",22031,13.3,910,"1050 of 3139"
"Iberia Parish",22045,13.3,2524,"1050 of 3139"
"Washington Parish",22117,13.3,1832,"1050 of 3139"
"Calcasieu Parish",22019,13.4,5484,"1067 of 3139"
"East Baton Rouge Parish",22033,13.7,13509,"1101 of 3139"
"East Feliciana Parish",22037,13.7,470,"1101 of 3139"
"Jackson Parish",22049,13.7,538,"1101 of 3139"
"Acadia Parish",22001,13.8,2192,"1117 of 3139"
"Catahoula Parish",22025,13.9,331,"1126 of 3139"
"Franklin Parish",22041,13.9,893,"1126 of 3139"
"Claiborne Parish",22027,14.1,544,"1148 of 3139"
"Grant Parish",22043,14.1,617,"1148 of 3139"
"St. Mary Parish",22101,14.1,1842,"1148 of 3139"
"St. Bernard Parish",22087,14.2,1778,"1155 of 3139"
"St. John the Baptist Parish",22095,14.2,1358,"1155 of 3139"
"St. Helena Parish",22091,14.3,407,"1171 of 3139"
"St. Martin Parish",22099,14.3,1755,"1171 of 3139"
"Pointe Coupee Parish",22077,14.4,638,"1183 of 3139"
"Union Parish",22111,14.4,798,"1183 of 3139"
"West Carroll Parish",22123,14.4,393,"1183 of 3139"
"Lincoln Parish",22061,14.5,1885,"1195 of 3139"
"Bossier Parish",22015,14.6,3604,"1209 of 3139"
"Jefferson Davis Parish",22053,14.6,1053,"1209 of 3139"
"Beauregard Parish",22011,15.0,1105,"1247 of 3139"
"Caldwell Parish",22021,15.2,354,"1273 of 3139"
"Livingston Parish",22063,15.3,3505,"1286 of 3139"
"Vermilion Parish",22113,15.4,2052,"1303 of 3139"
"Ascension Parish",22005,15.7,2489,"1340 of 3139"
"St. Charles Parish",22089,15.7,1264,"1340 of 3139"
"Sabine Parish",22085,16.0,853,"1374 of 3139"
"Terrebonne Parish",22109,16.1,4198,"1385 of 3139"
"Assumption Parish",22007,16.4,750,"1420 of 3139"
"Lafayette Parish",22055,16.6,8107,"1442 of 3139"
"St. Tammany Parish",22103,17.0,6013,"1483 of 3139"
"Jefferson Parish",22051,17.4,15106,"1555 of 3139"
"LaFourche Parish",22057,17.8,3244,"1623 of 3139"
"La Salle Parish",22059,17.9,546,"1636 of 3139"
"Cameron Parish",22023,18.3,172,"1695 of 3139"
"Plaquemines Parish",22075,19.4,803,"1859 of 3139"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:18 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & Small Area Health Insurance Estimates (https://www.census.gov/programs-surveys/sahie.html).
"For more information about Insurance: Percent uninsured in demographic group, people at or below 138% of poverty, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#insurance."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
