------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=22&areatype=county&topic=pop&demo=00105&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '22', 'areatype': 'county', 'topic': 'pop', 'demo': '00105', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_026.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=22&areatype=county&topic=pop&demo=00105&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Louisiana by Parish
Population: Sex - Female
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

Parish, FIPS,Value (Percent),People (Female),Rank within US
"United States",00000,50.8,162985654,"N/A"
"Louisiana",22000,51.1,2382222,"36 of 52"
"West Feliciana Parish",22125,33.6,5166,"5 of 3141"
"East Carroll Parish",22035,39.8,2909,"35 of 3141"
"Claiborne Parish",22027,42.6,6936,"67 of 3141"
"Grant Parish",22043,43.2,9636,"74 of 3141"
"Allen Parish",22003,43.3,11125,"78 of 3141"
"East Feliciana Parish",22037,45.4,8886,"134 of 3141"
"Catahoula Parish",22025,46.6,4685,"211 of 3141"
"Vernon Parish",22115,46.8,24292,"223 of 3141"
"Caldwell Parish",22021,46.9,4687,"231 of 3141"
"Winn Parish",22127,47.3,6919,"269 of 3141"
"La Salle Parish",22059,48.5,7239,"457 of 3141"
"Evangeline Parish",22039,48.9,16518,"585 of 3141"
"Concordia Parish",22029,48.9,9892,"587 of 3141"
"Beauregard Parish",22011,49.1,17967,"632 of 3141"
"Jackson Parish",22049,49.3,7866,"717 of 3141"
"Iberville Parish",22047,49.4,16350,"751 of 3141"
"West Carroll Parish",22123,49.5,5578,"807 of 3141"
"Avoyelles Parish",22009,49.6,20402,"906 of 3141"
"Madison Parish",22065,50.2,5830,"1368 of 3141"
"Union Parish",22111,50.3,11325,"1422 of 3141"
"St. Mary Parish",22101,50.3,26425,"1432 of 3141"
"Sabine Parish",22085,50.3,12148,"1487 of 3141"
"West Baton Rouge Parish",22121,50.5,12887,"1685 of 3141"
"Bossier Parish",22015,50.5,63484,"1689 of 3141"
"Washington Parish",22117,50.6,23505,"1804 of 3141"
"St. Bernard Parish",22087,50.6,22811,"1824 of 3141"
"Terrebonne Parish",22109,50.7,57273,"1887 of 3141"
"St. Martin Parish",22099,50.7,27164,"1911 of 3141"
"Ascension Parish",22005,50.7,60411,"1954 of 3141"
"LaFourche Parish",22057,50.8,49877,"2092 of 3141"
"Jefferson Davis Parish",22053,50.9,15974,"2124 of 3141"
"St. Charles Parish",22089,50.9,26827,"2135 of 3141"
"Franklin Parish",22041,51.0,10397,"2245 of 3141"
"Livingston Parish",22063,51.0,69937,"2255 of 3141"
"St. John the Baptist Parish",22095,51.1,22280,"2393 of 3141"
"Lafayette Parish",22055,51.2,121869,"2404 of 3141"
"Lincoln Parish",22061,51.2,24330,"2433 of 3141"
"Iberia Parish",22045,51.2,37555,"2449 of 3141"
"Calcasieu Parish",22019,51.2,101847,"2481 of 3141"
"Plaquemines Parish",22075,51.3,12001,"2522 of 3141"
"Tensas Parish",22107,51.3,2449,"2549 of 3141"
"St. Tammany Parish",22103,51.3,127933,"2553 of 3141"
"Richland Parish",22083,51.4,10591,"2565 of 3141"
"Acadia Parish",22001,51.4,32174,"2586 of 3141"
"Jefferson Parish",22051,51.4,224712,"2604 of 3141"
"Tangipahoa Parish",22105,51.5,66302,"2630 of 3141"
"Webster Parish",22119,51.5,20608,"2634 of 3141"
"Vermilion Parish",22113,51.5,30820,"2654 of 3141"
"Bienville Parish",22013,51.5,7114,"2673 of 3141"
"St. Helena Parish",22091,51.5,5416,"2679 of 3141"
"Assumption Parish",22007,51.6,11796,"2688 of 3141"
"De Soto Parish",22031,51.6,14010,"2702 of 3141"
"Rapides Parish",22079,51.6,68192,"2732 of 3141"
"Cameron Parish",22023,51.7,3517,"2760 of 3141"
"St. James Parish",22093,51.9,11145,"2858 of 3141"
"Red River Parish",22081,51.9,4531,"2875 of 3141"
"St. Landry Parish",22097,52.0,43436,"2883 of 3141"
"Pointe Coupee Parish",22077,52.0,11579,"2891 of 3141"
"East Baton Rouge Parish",22033,52.0,232094,"2898 of 3141"
"Ouachita Parish",22073,52.0,81414,"2903 of 3141"
"Orleans Parish",22071,52.3,203119,"2971 of 3141"
"Natchitoches Parish",22069,52.3,20441,"2976 of 3141"
"Morehouse Parish",22067,52.4,13785,"2995 of 3141"
"Caddo Parish",22017,52.5,131834,"3007 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:18 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Sex - Female, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
