------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=22&areatype=county&topic=work&demo=00012&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '22', 'areatype': 'county', 'topic': 'work', 'demo': '00012', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_031.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=22&areatype=county&topic=work&demo=00012&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Louisiana by Parish
Workforce: Unemployed
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

Parish, FIPS,Value (Percent),People (Unemployed),Rank within US
"United States",00000,6.6,10560305,"N/A"
"Louisiana",22000,7.2,157186,"38 of 52"
"Plaquemines Parish",22075,3.0,303,"313 of 3141"
"Cameron Parish",22023,3.0,97,"325 of 3141"
"West Feliciana Parish",22125,4.5,260,"833 of 3141"
"Red River Parish",22081,4.7,165,"899 of 3141"
"Lafayette Parish",22055,5.1,6432,"1099 of 3141"
"St. Landry Parish",22097,5.5,1793,"1309 of 3141"
"Catahoula Parish",22025,5.6,218,"1332 of 3141"
"West Baton Rouge Parish",22121,5.7,743,"1395 of 3141"
"Bossier Parish",22015,5.8,3361,"1429 of 3141"
"Livingston Parish",22063,5.8,3847,"1465 of 3141"
"Jefferson Parish",22051,5.9,13118,"1474 of 3141"
"Winn Parish",22127,6.0,323,"1559 of 3141"
"La Salle Parish",22059,6.1,311,"1570 of 3141"
"Morehouse Parish",22067,6.1,607,"1573 of 3141"
"Terrebonne Parish",22109,6.1,3072,"1599 of 3141"
"East Feliciana Parish",22037,6.1,451,"1603 of 3141"
"Jackson Parish",22049,6.2,372,"1622 of 3141"
"Ascension Parish",22005,6.3,3841,"1678 of 3141"
"St. Martin Parish",22099,6.4,1645,"1770 of 3141"
"St. Tammany Parish",22103,6.4,7964,"1772 of 3141"
"Webster Parish",22119,6.5,1076,"1829 of 3141"
"Union Parish",22111,6.6,594,"1869 of 3141"
"Calcasieu Parish",22019,6.6,6426,"1887 of 3141"
"East Carroll Parish",22035,6.9,125,"1989 of 3141"
"East Baton Rouge Parish",22033,6.9,15944,"1992 of 3141"
"Assumption Parish",22007,6.9,692,"1998 of 3141"
"Ouachita Parish",22073,7.0,4802,"2035 of 3141"
"Caddo Parish",22017,7.0,7913,"2042 of 3141"
"Richland Parish",22083,7.0,611,"2057 of 3141"
"LaFourche Parish",22057,7.0,3249,"2064 of 3141"
"Vermilion Parish",22113,7.3,1964,"2152 of 3141"
"St. Charles Parish",22089,7.3,1932,"2153 of 3141"
"St. John the Baptist Parish",22095,7.3,1525,"2158 of 3141"
"Bienville Parish",22013,7.4,401,"2183 of 3141"
"Beauregard Parish",22011,7.4,1136,"2201 of 3141"
"Iberville Parish",22047,7.5,1038,"2231 of 3141"
"Rapides Parish",22079,7.7,4475,"2332 of 3141"
"Avoyelles Parish",22009,7.7,1238,"2336 of 3141"
"Grant Parish",22043,7.9,622,"2394 of 3141"
"St. James Parish",22093,8.2,819,"2473 of 3141"
"Pointe Coupee Parish",22077,8.3,851,"2509 of 3141"
"St. Mary Parish",22101,8.5,1947,"2554 of 3141"
"Vernon Parish",22115,8.7,1655,"2607 of 3141"
"Orleans Parish",22071,8.7,16953,"2608 of 3141"
"Franklin Parish",22041,8.8,700,"2620 of 3141"
"Lincoln Parish",22061,8.8,2055,"2637 of 3141"
"Tangipahoa Parish",22105,8.9,5421,"2643 of 3141"
"Acadia Parish",22001,8.9,2435,"2647 of 3141"
"Jefferson Davis Parish",22053,9.1,1223,"2697 of 3141"
"Concordia Parish",22029,9.2,689,"2715 of 3141"
"Caldwell Parish",22021,9.4,357,"2743 of 3141"
"Claiborne Parish",22027,9.4,551,"2750 of 3141"
"Allen Parish",22003,9.4,894,"2761 of 3141"
"Sabine Parish",22085,9.5,902,"2767 of 3141"
"West Carroll Parish",22123,10.2,433,"2879 of 3141"
"De Soto Parish",22031,10.6,1218,"2922 of 3141"
"St. Bernard Parish",22087,10.7,2214,"2939 of 3141"
"Iberia Parish",22045,11.2,3808,"2958 of 3141"
"Evangeline Parish",22039,11.9,1571,"3011 of 3141"
"Washington Parish",22117,12.3,2282,"3025 of 3141"
"Madison Parish",22065,12.3,530,"3026 of 3141"
"Natchitoches Parish",22069,13.6,2041,"3059 of 3141"
"Tensas Parish",22107,15.3,273,"3095 of 3141"
"St. Helena Parish",22091,15.7,678,"3099 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:18 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Workforce: Unemployed, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#workforce."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
