------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=22&areatype=county&cancer=516&race=00&sex=0&age=016&type=incd&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '22', 'areatype': 'county', 'cancer': '516', 'race': '00', 'sex': '0', 'age': '016', 'type': 'incd', 'file_name': 'incidencerates_006.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=22&areatype=county&cancer=516&race=00&sex=0&age=016&type=incd&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Incidence Rate Report for Louisiana by Parish

"Childhood (Ages <15, All Sites) (All Stages^), 2012-2016"

"All Races (includes Hispanic), Both Sexes, Ages <15"

Sorted by Rate

Parish, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Louisiana(7)",22000,***,16.3 ,15.1, 17.5,152,*,*,*,*
"US (SEER+NPCR)(1,10)",00000,***,17.3 ,17.2, 17.5,10605,stable,0.9 ,-0.3, 2.0
"St. Tammany Parish(7)",22103,***,22.5 ,16.9, 29.3,11,*,*,*,*
"Lafayette Parish(7)",22055,***,19.9 ,14.6, 26.4,9,*,*,*,*
"Calcasieu Parish(7)",22019,***,19.3 ,13.8, 26.3,8,*,*,*,*
"St. Landry Parish(7)",22097,***,18.9 ,11.2, 29.9,4,*,*,*,*
"Tangipahoa Parish(7)",22105,***,18.8 ,12.1, 27.7,5,*,*,*,*
"Livingston Parish(7)",22063,***,18.7 ,12.4, 27.1,6,*,*,*,*
"Ascension Parish(7)",22005,***,17.9 ,11.4, 26.6,5,*,*,*,*
"Ouachita Parish(7)",22073,***,16.2 ,10.7, 23.5,5,*,*,*,*
"East Baton Rouge Parish(7)",22033,***,15.2 ,11.8, 19.4,13,*,*,*,*
"Rapides Parish(7)",22079,***,14.5 ,8.8, 22.3,4,*,*,*,*
"Jefferson Parish(7)",22051,***,14.4 ,11, 18.6,12,*,*,*,*
"Terrebonne Parish(7)",22109,***,13.8 ,8, 22.1,3,*,*,*,*
"Caddo Parish(7)",22017,***,13.3 ,9.2, 18.6,7,*,*,*,*
"Orleans Parish(7)",22071,***,12.7 ,9.2, 17.1,9,*,*,*,*
"Bossier Parish(7)",22015,***,11.8 ,6.8, 19.2,3,*,*,*,*
"Acadia Parish(7)",22001,***,* ,*, *,3 or fewer,*,*,*,*
"Allen Parish(7)",22003,***,* ,*, *,3 or fewer,*,*,*,*
"Assumption Parish(7)",22007,***,* ,*, *,3 or fewer,*,*,*,*
"Avoyelles Parish(7)",22009,***,* ,*, *,3 or fewer,*,*,*,*
"Beauregard Parish(7)",22011,***,* ,*, *,3 or fewer,*,*,*,*
"Bienville Parish(7)",22013,***,* ,*, *,3 or fewer,*,*,*,*
"Caldwell Parish(7)",22021,***,* ,*, *,3 or fewer,*,*,*,*
"Cameron Parish(7)",22023,***,* ,*, *,3 or fewer,*,*,*,*
"Catahoula Parish(7)",22025,***,* ,*, *,3 or fewer,*,*,*,*
"Claiborne Parish(7)",22027,***,* ,*, *,3 or fewer,*,*,*,*
"Concordia Parish(7)",22029,***,* ,*, *,3 or fewer,*,*,*,*
"De Soto Parish(7)",22031,***,* ,*, *,3 or fewer,*,*,*,*
"East Carroll Parish(7)",22035,***,* ,*, *,3 or fewer,*,*,*,*
"East Feliciana Parish(7)",22037,***,* ,*, *,3 or fewer,*,*,*,*
"Evangeline Parish(7)",22039,***,* ,*, *,3 or fewer,*,*,*,*
"Franklin Parish(7)",22041,***,* ,*, *,3 or fewer,*,*,*,*
"Grant Parish(7)",22043,***,* ,*, *,3 or fewer,*,*,*,*
"Iberia Parish(7)",22045,***,* ,*, *,3 or fewer,*,*,*,*
"Iberville Parish(7)",22047,***,* ,*, *,3 or fewer,*,*,*,*
"Jackson Parish(7)",22049,***,* ,*, *,3 or fewer,*,*,*,*
"Jefferson Davis Parish(7)",22053,***,* ,*, *,3 or fewer,*,*,*,*
"La Salle Parish(7)",22059,***,* ,*, *,3 or fewer,*,*,*,*
"LaFourche Parish(7)",22057,***,* ,*, *,3 or fewer,*,*,*,*
"Lincoln Parish(7)",22061,***,* ,*, *,3 or fewer,*,*,*,*
"Madison Parish(7)",22065,***,* ,*, *,3 or fewer,*,*,*,*
"Morehouse Parish(7)",22067,***,* ,*, *,3 or fewer,*,*,*,*
"Natchitoches Parish(7)",22069,***,* ,*, *,3 or fewer,*,*,*,*
"Plaquemines Parish(7)",22075,***,* ,*, *,3 or fewer,*,*,*,*
"Pointe Coupee Parish(7)",22077,***,* ,*, *,3 or fewer,*,*,*,*
"Red River Parish(7)",22081,***,* ,*, *,3 or fewer,*,*,*,*
"Richland Parish(7)",22083,***,* ,*, *,3 or fewer,*,*,*,*
