------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=23&areatype=county&topic=pov&demo=00009&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '23', 'areatype': 'county', 'topic': 'pov', 'demo': '00009', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_030.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=23&areatype=county&topic=pov&demo=00009&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Maine by County
Poverty: Persons below 150% of poverty
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (<150% Of Poverty),Rank within US
"Maine",23000,22.1,286456,"24 of 52"
"United States",00000,23.7,74202606,"N/A"
"York County",23031,15.4,30537,"259 of 3141"
"Cumberland County",23005,16.9,47699,"383 of 3141"
"Sagadahoc County",23023,19.4,6755,"649 of 3141"
"Knox County",23013,19.5,7515,"678 of 3141"
"Hancock County",23009,20.6,10929,"826 of 3141"
"Lincoln County",23015,21.4,7157,"939 of 3141"
"Androscoggin County",23001,24.2,25208,"1318 of 3141"
"Kennebec County",23011,24.3,28557,"1330 of 3141"
"Waldo County",23027,24.9,9538,"1423 of 3141"
"Penobscot County",23019,26.2,38100,"1602 of 3141"
"Franklin County",23007,26.6,7714,"1686 of 3141"
"Oxford County",23017,27.9,15735,"1866 of 3141"
"Aroostook County",23003,30.7,20516,"2222 of 3141"
"Somerset County",23025,30.8,15479,"2239 of 3141"
"Washington County",23029,31.7,9759,"2326 of 3141"
"Piscataquis County",23021,31.7,5258,"2329 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:17 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Poverty: Persons below 150% of poverty, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#poverty."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
