------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=24&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '24', 'areatype': 'county', 'topic': 'crowd', 'demo': '00027', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_000.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=24&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Maryland by County
Crowding: Households with >1 person per room
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),Households (with >1 Person Per Room),Rank within US
"Maryland",24000,2.2,47490,"26 of 52"
"United States",00000,3.3,3975282,"N/A"
"Talbot County",24041,0.4,65,"3034 of 3141"
"Kent County",24029,0.4,34,"3015 of 3141"
"Dorchester County",24019,0.8,105,"2804 of 3141"
"Carroll County",24013,0.9,540,"2717 of 3141"
"Calvert County",24009,0.9,291,"2684 of 3141"
"Garrett County",24023,1.0,115,"2649 of 3141"
"Allegany County",24001,1.0,275,"2622 of 3141"
"Harford County",24025,1.1,980,"2555 of 3141"
"Frederick County",24021,1.1,982,"2522 of 3141"
"Somerset County",24039,1.1,94,"2473 of 3141"
"Charles County",24017,1.1,632,"2438 of 3141"
"St. Marys County",24037,1.2,490,"2323 of 3141"
"Worcester County",24047,1.3,283,"2210 of 3141"
"Queen Annes County",24035,1.4,256,"2114 of 3141"
"Anne Arundel County",24003,1.6,3268,"1927 of 3141"
"Caroline County",24011,1.6,196,"1875 of 3141"
"Baltimore County",24005,1.7,5243,"1833 of 3141"
"Washington County",24043,1.7,968,"1776 of 3141"
"Howard County",24027,1.9,2094,"1611 of 3141"
"Cecil County",24015,2.0,749,"1479 of 3141"
"Baltimore City",24510,2.1,4932,"1443 of 3141"
"Wicomico County",24045,3.0,1115,"751 of 3141"
"Montgomery County",24031,3.2,11693,"648 of 3141"
"Prince Georges County",24033,3.9,12090,"392 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:18 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Crowding: Households with >1 person per room, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#crowding."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
