------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=24&areatype=county&cancer=001&race=00&sex=0&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '24', 'areatype': 'county', 'cancer': '001', 'race': '00', 'sex': '0', 'age': '001', 'type': 'incd', 'file_name': 'incidencerates_000.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=24&areatype=county&cancer=001&race=00&sex=0&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Incidence Rate Report for Maryland by County

"All Cancer Sites (All Stages^), 2012-2016"

"All Races (includes Hispanic), Both Sexes, All Ages"

Sorted by Rate

County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Maryland(6,10)",24000,***,450.5 ,448.2, 452.8,30444,stable,-0.6 ,-2.1, 1.0
"US (SEER+NPCR)(1,10)",00000,***,448 ,447.7, 448.4,1638110,falling,-0.9 ,-1.6, -0.1
"Wicomico County(6,10)",24045,***,521.3 ,502.2, 541,592,stable,0.5 ,-6.6, 8.1
"Cecil County(6,10)",24015,***,521 ,502.1, 540.5,609,stable,1.4 ,-2.4, 5.5
"Harford County(6,10)",24025,***,502.1 ,490.4, 514,1483,stable,0.8 ,-1.9, 3.5
"Allegany County(6,10)",24001,***,498.7 ,478.8, 519.3,501,stable,2.3 ,-3.6, 8.6
"Dorchester County(6,10)",24019,***,491.7 ,462.1, 522.8,225,stable,-1.8 ,-6.9, 3.5
"Somerset County(6,10)",24039,***,487.1 ,451.8, 524.5,148,stable,2.1 ,-2.7, 7.2
"Baltimore City(6,10)",24510,***,486.7 ,479, 494.5,3219,falling,-1.0 ,-1.8, -0.1
"Carroll County(6,10)",24013,***,486 ,472.2, 500.2,994,stable,-1.3 ,-4.1, 1.6
"Worcester County(6,10)",24047,***,485.1 ,462.5, 508.7,413,stable,1.0 ,-5.8, 8.2
"Baltimore County(6,10)",24005,***,483.3 ,477.1, 489.6,4877,stable,-1.2 ,-5.1, 2.8
"Caroline County(6,10)",24011,***,482.6 ,451.7, 515.2,190,falling,-4.9 ,-8.7, -0.9
"Washington County(6,10)",24043,***,476.4 ,462.1, 491.1,868,stable,0.1 ,-5.3, 5.7
"Kent County(6,10)",24029,***,474.8 ,438.8, 513.4,153,stable,0.8 ,-4.9, 6.9
"Queen Annes County(6,10)",24035,***,468.6 ,444.2, 494,298,stable,4.0 ,-6.2, 15.2
"Anne Arundel County(6,10)",24003,***,465.5 ,457.8, 473.4,2897,stable,-0.3 ,-1.9, 1.3
"Calvert County(6,10)",24009,***,459.6 ,440.5, 479.3,471,stable,-3.3 ,-10.6, 4.6
"Talbot County(6,10)",24041,***,455.6 ,430.3, 482.2,291,stable,0.2 ,-4.6, 5.3
"Frederick County(6,10)",24021,***,451.4 ,439.8, 463.2,1213,stable,0.9 ,-4.8, 6.8
"Charles County(6,10)",24017,***,446.6 ,431.3, 462.4,691,stable,-0.1 ,-3.0, 3.0
"St. Marys County(6,10)",24037,***,440 ,422.5, 458,503,stable,-3.8 ,-10.9, 3.9
"Garrett County(6,10)",24023,***,408.2 ,380.5, 437.6,175,stable,2.1 ,-7.3, 12.6
"Prince Georges County(6,10)",24033,***,406.1 ,400, 412.2,3695,stable,-0.8 ,-3.8, 2.2
