------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=24&areatype=county&cancer=072&race=00&sex=0&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '24', 'areatype': 'county', 'cancer': '072', 'race': '00', 'sex': '0', 'age': '001', 'type': 'incd', 'file_name': 'incidencerates_010.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=24&areatype=county&cancer=072&race=00&sex=0&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Incidence Rate Report for Maryland by County

"Kidney & Renal Pelvis (All Stages^), 2012-2016"

"All Races (includes Hispanic), Both Sexes, All Ages"

Sorted by Rate

County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Maryland(6,10)",24000,***,14.9 ,14.5, 15.3,1009,stable,1.7 ,-1.5, 5.0
"US (SEER+NPCR)(1,10)",00000,***,16.6 ,16.5, 16.7,60674,rising,0.9 ,0.1, 1.6
"Harford County(6,10)",24025,***,19.1 ,16.9, 21.6,56,stable,3.7 ,-6.3, 14.8
"Allegany County(6,10)",24001,***,18.7 ,14.9, 23.1,18,stable,14.1 ,-0.4, 30.7
"Washington County(6,10)",24043,***,18.6 ,15.8, 21.7,34,stable,-3.4 ,-8.5, 1.9
"Calvert County(6,10)",24009,***,18.3 ,14.7, 22.7,19,stable,-6.5 ,-19.0, 8.0
"Wicomico County(6,10)",24045,***,17.9 ,14.4, 22,19,stable,13.5 ,-9.6, 42.5
"Baltimore City(6,10)",24510,***,17.8 ,16.4, 19.4,116,stable,3.0 ,-4.3, 10.8
"Cecil County(6,10)",24015,***,17.5 ,14.3, 21.3,22,stable,4.9 ,-10.2, 22.7
"Baltimore County(6,10)",24005,***,17.2 ,16, 18.4,168,stable,-0.2 ,-6.6, 6.5
"Somerset County(6,10)",24039,***,16.8 ,10.6, 25.4,5,stable,-16.1 ,-41.8, 20.9
"Frederick County(6,10)",24021,***,16.7 ,14.5, 19.1,46,stable,10.4 ,-11.8, 38.3
"Caroline County(6,10)",24011,***,16.4 ,11.1, 23.5,6,stable,-26.6 ,-47.5, 2.6
"Dorchester County(6,10)",24019,***,16.3 ,11.4, 22.9,8,stable,25.6 ,-18.8, 94.4
"Garrett County(6,10)",24023,***,16.1 ,11.1, 22.8,7,stable,12.2 ,-9.7, 39.3
"Worcester County(6,10)",24047,***,16 ,12, 21,14,stable,8.4 ,-13.6, 36.1
"Charles County(6,10)",24017,***,15.7 ,13, 18.7,26,stable,15.5 ,0.0, 33.4
"Carroll County(6,10)",24013,***,15.2 ,12.8, 17.8,32,stable,0.6 ,-17.0, 21.8
"Queen Annes County(6,10)",24035,***,15 ,11.1, 20.1,10,stable,22.4 ,-12.4, 71.1
"St. Marys County(6,10)",24037,***,14.9 ,11.8, 18.5,17,stable,-7.0 ,-35.4, 33.8
"Anne Arundel County(6,10)",24003,***,13.6 ,12.3, 15,85,stable,2.9 ,-4.5, 10.8
"Talbot County(6,10)",24041,***,13.2 ,9.6, 18.2,9,stable,5.9 ,-32.7, 66.8
"Kent County(6,10)",24029,***,13.1 ,8, 21,4,stable,-1.3 ,-24.2, 28.5
"Prince Georges County(6,10)",24033,***,12.8 ,11.8, 13.9,122,stable,0.5 ,-11.7, 14.3
"Howard County(6,10)",24027,***,11.8 ,10.2, 13.7,39,stable,-5.8 ,-13.5, 2.5
"Montgomery County(6,10)",24031,***,10.6 ,9.8, 11.5,124,stable,-0.3 ,-7.6, 7.5

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:18 pm.

*** No Healthy People 2020 Objective for this cancer.

State Cancer Registries may provide more current or more local data.
"† Incidence rates (cases per 100,000 population per year) are age-adjusted to the 2000 US standard population [http://www.seer.cancer.gov/stdpopulations/stdpop.19ages.html] (19 age groups: <1, 1-4, 5-9, ... , 80-84, 85+). Rates are for invasive cancer only (except for bladder cancer which is invasive and in situ) or unless otherwise specified. Rates calculated using SEER*Stat. Population counts for denominators are based on Census populations as modified [https://seer.cancer.gov/popdata/] by NCI. The 1969-2016 US Population Data File [https://seer.cancer.gov/popdata/] is used for SEER and NPCR incidence rates."
"‡ Incidence data come from different sources. Due to different years of data availability, most of the trends are AAPCs based on APCs but some are APCs calculated in SEER*Stat. Please refer to the source for each area for additional information."

Rates and trends are computed using different standards for malignancy. For more information see malignant.html.

"^ All Stages refers to any stage in the Surveillance, Epidemiology, and End Results (SEER) summary stage [ https://seer.cancer.gov/tools/ssm/ ]."
Healthy People 2020 Objectives [ https://www.healthypeople.gov/ ]provided by the Centers for Disease Control and Prevention [ https://www.cdc.gov ]. 

"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."

