------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=26&areatype=county&topic=ins&demo=00043&race=00&sex=0&age=006&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '26', 'areatype': 'county', 'topic': 'ins', 'demo': '00043', 'race': '00', 'sex': '0', 'age': '006', 'type': 'manyareacensus', 'file_name': 'demographics_006.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=26&areatype=county&topic=ins&demo=00043&race=00&sex=0&age=006&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Michigan by County
"Insurance: Percent uninsured in demographic group, people at or below 138% of poverty"
"Ages <65, All Races (includes Hispanic), Both Sexes"
2017 Small Area Health Insurance Estimates Data
Sorted by Value

County, FIPS,Value (Percent),People (Uninsured),Rank within US
"Michigan",26000,9.4,168891,"5 of 51"
"Muskegon County",26121,6.9,2626,"24 of 3139"
"Jackson County",26075,7.7,2203,"59 of 3139"
"Calhoun County",26025,8.0,2227,"79 of 3139"
"Saginaw County",26145,8.1,3210,"99 of 3139"
"Gratiot County",26057,8.2,613,"112 of 3139"
"Otsego County",26137,8.4,371,"138 of 3139"
"Shiawassee County",26155,8.4,1011,"138 of 3139"
"Mason County",26105,8.5,460,"144 of 3139"
"Tuscola County",26157,8.5,843,"144 of 3139"
"Ionia County",26067,8.6,896,"156 of 3139"
"Ogemaw County",26129,8.6,407,"156 of 3139"
"Wayne County",26163,8.6,39818,"156 of 3139"
"Genesee County",26049,8.7,8200,"168 of 3139"
"Lenawee County",26091,8.7,1362,"168 of 3139"
"Mecosta County",26107,8.7,858,"168 of 3139"
"St. Clair County",26147,8.7,2304,"168 of 3139"
"Wexford County",26165,8.7,675,"168 of 3139"
"Alpena County",26007,8.8,474,"186 of 3139"
"Bay County",26017,8.8,1635,"186 of 3139"
"Marquette County",26103,8.8,1011,"186 of 3139"
"Allegan County",26005,8.9,1477,"215 of 3139"
"Monroe County",26115,8.9,1817,"215 of 3139"
"Crawford County",26039,9.0,248,"236 of 3139"
"Kalamazoo County",26077,9.0,4586,"236 of 3139"
"Barry County",26015,9.1,717,"265 of 3139"
"Lake County",26085,9.1,280,"265 of 3139"
"Montcalm County",26117,9.1,1191,"265 of 3139"
"Delta County",26041,9.3,568,"309 of 3139"
"Washtenaw County",26161,9.4,5057,"327 of 3139"
"Clinton County",26037,9.5,853,"350 of 3139"
"Ingham County",26065,9.5,6231,"350 of 3139"
"Luce County",26095,9.5,99,"350 of 3139"
"Clare County",26035,9.6,762,"368 of 3139"
"Roscommon County",26143,9.6,481,"368 of 3139"
"Missaukee County",26113,9.7,304,"392 of 3139"
"Baraga County",26013,9.8,150,"418 of 3139"
"Charlevoix County",26029,9.8,387,"418 of 3139"
"Dickinson County",26043,9.8,408,"418 of 3139"
"Hillsdale County",26059,9.8,905,"418 of 3139"
"Huron County",26063,9.8,507,"418 of 3139"
"Montmorency County",26119,9.8,174,"418 of 3139"
"Newaygo County",26123,9.8,954,"418 of 3139"
"Ottawa County",26139,9.8,3230,"418 of 3139"
"Iron County",26071,9.9,193,"446 of 3139"
"Menominee County",26109,9.9,377,"446 of 3139"
"Cass County",26027,10.0,835,"475 of 3139"
"Iosco County",26069,10.1,510,"497 of 3139"
