------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=26&areatype=county&topic=pop&demo=00014&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '26', 'areatype': 'county', 'topic': 'pop', 'demo': '00014', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_022.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=26&areatype=county&topic=pop&demo=00014&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Michigan by County
Population: Foreign born
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Foreign Born),Rank within US
"Michigan",26000,6.6,653196,"28 of 51"
"United States",00000,13.4,43028127,"N/A"
"Montmorency County",26119,0.8,78,"2762 of 3140"
"Ontonagon County",26131,0.8,51,"2761 of 3140"
"Gladwin County",26051,0.9,217,"2750 of 3140"
"Tuscola County",26157,0.9,467,"2739 of 3140"
"Schoolcraft County",26153,0.9,76,"2693 of 3140"
"Shiawassee County",26155,1.0,678,"2653 of 3140"
"Osceola County",26133,1.0,230,"2650 of 3140"
"Alger County",26003,1.0,94,"2634 of 3140"
"Menominee County",26109,1.0,240,"2626 of 3140"
"Keweenaw County",26083,1.0,22,"2622 of 3140"
"Gratiot County",26057,1.0,427,"2618 of 3140"
"Hillsdale County",26059,1.1,501,"2578 of 3140"
"Gogebic County",26053,1.1,172,"2561 of 3140"
"Arenac County",26011,1.1,170,"2554 of 3140"
"Delta County",26041,1.2,444,"2462 of 3140"
"Dickinson County",26043,1.2,316,"2455 of 3140"
"Cheboygan County",26031,1.3,320,"2431 of 3140"
"Alpena County",26007,1.3,362,"2424 of 3140"
"Presque Isle County",26141,1.3,164,"2409 of 3140"
"Lake County",26085,1.3,151,"2393 of 3140"
"Ogemaw County",26129,1.3,281,"2365 of 3140"
"Wexford County",26165,1.3,443,"2361 of 3140"
"Montcalm County",26117,1.3,849,"2359 of 3140"
"Oscoda County",26135,1.4,113,"2350 of 3140"
"Iron County",26071,1.4,155,"2339 of 3140"
"Ionia County",26067,1.4,891,"2327 of 3140"
"Cass County",26027,1.5,749,"2280 of 3140"
"Clare County",26035,1.5,456,"2256 of 3140"
"Bay County",26017,1.5,1578,"2251 of 3140"
"Roscommon County",26143,1.5,359,"2247 of 3140"
"Kalkaska County",26079,1.5,261,"2243 of 3140"
"Huron County",26063,1.5,478,"2241 of 3140"
"Manistee County",26101,1.6,380,"2208 of 3140"
"Otsego County",26137,1.6,390,"2173 of 3140"
"Alcona County",26001,1.6,168,"2170 of 3140"
"Missaukee County",26113,1.6,243,"2166 of 3140"
"Jackson County",26075,1.6,2579,"2165 of 3140"
"Benzie County",26019,1.6,284,"2161 of 3140"
"Muskegon County",26121,1.7,2856,"2140 of 3140"
"Barry County",26015,1.7,1027,"2092 of 3140"
"Mecosta County",26107,1.7,744,"2092 of 3140"
"Sanilac County",26151,1.7,718,"2086 of 3140"
"Baraga County",26013,1.7,150,"2066 of 3140"
"Luce County",26095,1.7,112,"2065 of 3140"
"Marquette County",26103,1.8,1236,"2022 of 3140"
"Mason County",26105,1.9,534,"2014 of 3140"
"Crawford County",26039,1.9,261,"1990 of 3140"
"Antrim County",26009,1.9,437,"1987 of 3140"
"Emmet County",26047,1.9,631,"1972 of 3140"
"Lenawee County",26091,1.9,1916,"1957 of 3140"
"Charlevoix County",26029,2.0,513,"1947 of 3140"
"Newaygo County",26123,2.0,980,"1910 of 3140"
"Iosco County",26069,2.1,531,"1867 of 3140"
"Monroe County",26115,2.2,3328,"1793 of 3140"
"Chippewa County",26033,2.4,914,"1715 of 3140"
"Grand Traverse County",26055,2.5,2257,"1683 of 3140"
"Saginaw County",26145,2.5,4852,"1669 of 3140"
"Genesee County",26049,2.6,10492,"1646 of 3140"
"Lapeer County",26087,2.6,2292,"1620 of 3140"
"Leelanau County",26089,2.7,584,"1563 of 3140"
"Mackinac County",26097,2.7,296,"1549 of 3140"
"St. Clair County",26147,2.8,4399,"1533 of 3140"
"Allegan County",26005,2.9,3317,"1474 of 3140"
"Livingston County",26093,3.0,5622,"1418 of 3140"
"Clinton County",26037,3.0,2345,"1405 of 3140"
"Branch County",26023,3.4,1472,"1299 of 3140"
"Isabella County",26073,3.4,2426,"1275 of 3140"
"St. Joseph County",26149,3.5,2132,"1252 of 3140"
"Calhoun County",26025,3.5,4766,"1246 of 3140"
"Eaton County",26045,3.7,3998,"1210 of 3140"
"Midland County",26111,3.8,3151,"1187 of 3140"
"Houghton County",26061,4.5,1648,"1001 of 3140"
"Van Buren County",26159,4.6,3428,"997 of 3140"
"Kalamazoo County",26077,4.7,12159,"970 of 3140"
"Oceana County",26127,5.6,1472,"810 of 3140"
"Ottawa County",26139,5.7,15983,"788 of 3140"
"Berrien County",26021,5.7,8861,"785 of 3140"
"Kent County",26081,8.0,51104,"503 of 3140"
"Wayne County",26163,8.7,153287,"442 of 3140"
"Ingham County",26065,9.4,26761,"390 of 3140"
"Macomb County",26099,10.9,94415,"290 of 3140"
"Washtenaw County",26161,12.0,43498,"254 of 3140"
"Oakland County",26125,12.4,153454,"245 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:18 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Foreign born, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
