------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=26&areatype=county&cancer=018&stage=211&race=00&sex=0&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '26', 'areatype': 'county', 'cancer': '018', 'stage': '211', 'race': '00', 'sex': '0', 'age': '001', 'type': 'incd', 'file_name': 'incidencerates_056.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=26&areatype=county&cancer=018&stage=211&race=00&sex=0&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Incidence Rate Report for Michigan by County

"Stomach (Late Stage^), 2012-2016"

"All Races (includes Hispanic), Both Sexes, All Ages"

Sorted by Rate

County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Percent of Cases with Late Stage
"Michigan(5)",26000,***,3.4 #  ,3.3, 3.6,413,56.8
"US (SEER+NPCR)(1)",00000,***,3.8 ,3.8, 3.8,13895,58.2
"Wayne County(7)",26163,***,4.8 ,4.4, 5.3,96,58.9
"Macomb County(7)",26099,***,4.6 ,4, 5.2,49,62.9
"Saginaw County(6)",26145,***,4.4 #  ,3.2, 5.8,11,57.6
"Van Buren County(6)",26159,***,4.2 #  ,2.5, 6.6,4,74.1
"Jackson County(6)",26075,***,3.9 #  ,2.7, 5.4,8,55.9
"Kent County(6)",26081,***,3.7 #  ,3.1, 4.5,24,61.0
"Oakland County(7)",26125,***,3.6 ,3.2, 4.1,55,59.1
"Calhoun County(6)",26025,***,3.6 #  ,2.4, 5.2,6,54.7
"Berrien County(6)",26021,***,3.5 #  ,2.5, 5,7,63.8
"Eaton County(6)",26045,***,3.4 #  ,2.2, 5.2,5,59.5
"Marquette County(6)",26103,***,3.3 #  ,1.9, 5.7,3,57.1
"Midland County(6)",26111,***,3.3 #  ,1.9, 5.3,4,75.0
"Genesee County(6)",26049,***,3.1 #  ,2.4, 3.9,16,47.3
"Monroe County(6)",26115,***,2.9 #  ,1.9, 4.4,5,60.5
"Livingston County(6)",26093,***,2.9 #  ,2, 4.2,6,74.4
"Ottawa County(6)",26139,***,2.8 #  ,2, 3.9,8,51.3
"Ingham County(6)",26065,***,2.6 #  ,1.8, 3.7,7,47.4
"Washtenaw County(6)",26161,***,2.6 #  ,1.9, 3.6,9,47.3
"St. Clair County(6)",26147,***,2.5 #  ,1.6, 3.7,5,50.9
"Muskegon County(6)",26121,***,2.5 #  ,1.6, 3.7,5,50.9
"Lenawee County(6)",26091,***,2.5 #  ,1.4, 4.2,3,66.7
