------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=27&areatype=county&topic=inc&demo=00010&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '27', 'areatype': 'county', 'topic': 'inc', 'demo': '00010', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_004.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=27&areatype=county&topic=inc&demo=00010&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Minnesota by County
Income: Median family income
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Dollars),Rank within US
"United States",00000,70850.000000000,"N/A"
"Minnesota",27000,82785.000000000,"10 of 52"
"Mahnomen County",27087,52019.000000000,"2313 of 3141"
"Wadena County",27159,55516.000000000,"2008 of 3141"
"Aitkin County",27001,55774.000000000,"1983 of 3141"
"Beltrami County",27007,57336.000000000,"1830 of 3141"
"Cass County",27021,57937.000000000,"1772 of 3141"
"Clearwater County",27029,57981.000000000,"1765 of 3141"
"Pine County",27115,58642.000000000,"1697 of 3141"
"Todd County",27153,59491.000000000,"1608 of 3141"
"Kanabec County",27065,60618.000000000,"1472 of 3141"
"Itasca County",27061,61216.000000000,"1415 of 3141"
"Cook County",27031,61327.000000000,"1408 of 3141"
"Mille Lacs County",27095,61396.000000000,"1399 of 3141"
"Koochiching County",27071,61463.000000000,"1394 of 3141"
"Pipestone County",27117,61963.000000000,"1348 of 3141"
"Grant County",27051,62028.000000000,"1342 of 3141"
"Freeborn County",27047,62146.000000000,"1334 of 3141"
"Lac qui Parle County",27073,62208.000000000,"1323 of 3141"
"Swift County",27151,62705.000000000,"1273 of 3141"
"Watonwan County",27165,62911.000000000,"1256 of 3141"
"Traverse County",27155,62950.000000000,"1250 of 3141"
"Faribault County",27043,63270.000000000,"1213 of 3141"
"Cottonwood County",27033,63326.000000000,"1206 of 3141"
"Norman County",27107,63969.000000000,"1160 of 3141"
"Nobles County",27105,64000.000000000,"1156 of 3141"
"Hubbard County",27057,64808.000000000,"1085 of 3141"
"Benton County",27009,65295.000000000,"1045 of 3141"
"Crow Wing County",27035,65510.000000000,"1023 of 3141"
"Redwood County",27127,65704.000000000,"1011 of 3141"
"Big Stone County",27011,66081.000000000,"987 of 3141"
"Rock County",27133,66165.000000000,"977 of 3141"
"Morrison County",27097,66250.000000000,"972 of 3141"
"Yellow Medicine County",27173,66320.000000000,"969 of 3141"
"Lake of the Woods County",27077,66774.000000000,"937 of 3141"
"Martin County",27091,66775.000000000,"936 of 3141"
"Wilkin County",27167,66890.000000000,"926 of 3141"
"Lincoln County",27081,67473.000000000,"885 of 3141"
"Becker County",27005,67665.000000000,"867 of 3141"
