------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=27&areatype=county&topic=pop&demo=00028&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '27', 'areatype': 'county', 'topic': 'pop', 'demo': '00028', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_016.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=27&areatype=county&topic=pop&demo=00028&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Minnesota by County
Population: Age 40 and over
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Age 40 And Over),Rank within US
"United States",00000,47.3,151838062,"N/A"
"Minnesota",27000,47.4,2602125,"30 of 52"
"Blue Earth County",27013,38.9,25556,"3026 of 3141"
"Clay County",27027,40.5,25106,"2961 of 3141"
"Stevens County",27149,43.1,4206,"2833 of 3141"
"Beltrami County",27007,43.1,19779,"2831 of 3141"
"Stearns County",27145,43.2,67090,"2824 of 3141"
"Ramsey County",27123,43.4,233344,"2804 of 3141"
"Sherburne County",27141,44.0,40453,"2756 of 3141"
"Scott County",27139,44.1,62322,"2750 of 3141"
"Wright County",27171,44.3,58098,"2727 of 3141"
"Benton County",27009,44.4,17464,"2720 of 3141"
"Lyon County",27083,44.6,11513,"2696 of 3141"
"Winona County",27169,44.9,22906,"2671 of 3141"
"Hennepin County",27053,45.0,551548,"2659 of 3141"
"Nobles County",27105,45.4,9915,"2624 of 3141"
"Nicollet County",27103,45.9,15377,"2566 of 3141"
"Mahnomen County",27087,45.9,2527,"2564 of 3141"
"Carver County",27019,46.0,45431,"2560 of 3141"
"Rice County",27131,46.0,30007,"2559 of 3141"
"Olmsted County",27109,46.3,70180,"2523 of 3141"
"Dakota County",27037,47.0,194983,"2434 of 3141"
"Dodge County",27039,47.5,9727,"2366 of 3141"
"Anoka County",27003,47.7,164410,"2331 of 3141"
"Polk County",27119,48.7,15372,"2156 of 3141"
"Washington County",27163,49.1,123172,"2091 of 3141"
"Mower County",27099,49.2,19360,"2068 of 3141"
"Steele County",27147,49.2,18008,"2064 of 3141"
"Pennington County",27113,49.3,6994,"2051 of 3141"
"Isanti County",27059,49.3,19032,"2041 of 3141"
"Waseca County",27161,49.4,9344,"2022 of 3141"
"Kandiyohi County",27067,49.5,21060,"2018 of 3141"
"Watonwan County",27165,49.9,5460,"1919 of 3141"
"Mille Lacs County",27095,50.1,12845,"1885 of 3141"
"McLeod County",27085,50.4,18051,"1819 of 3141"
"Rock County",27133,51.1,4822,"1641 of 3141"
"Chisago County",27025,51.1,27758,"1638 of 3141"
"Carlton County",27017,51.2,18134,"1621 of 3141"
"St. Louis County",27137,51.3,102724,"1596 of 3141"
"Le Sueur County",27079,51.4,14292,"1573 of 3141"
"Morrison County",27097,51.6,16978,"1515 of 3141"
"Wadena County",27159,51.7,7043,"1506 of 3141"
"Roseau County",27135,51.8,8042,"1487 of 3141"
"Red Lake County",27125,51.9,2085,"1452 of 3141"
"Becker County",27005,52.1,17496,"1386 of 3141"
"Chippewa County",27023,52.2,6288,"1368 of 3141"
"Sibley County",27143,52.3,7779,"1363 of 3141"
"Pipestone County",27117,52.3,4824,"1357 of 3141"
"Meeker County",27093,52.4,12100,"1332 of 3141"
"Fillmore County",27045,52.5,10926,"1306 of 3141"
"Brown County",27015,52.6,13289,"1259 of 3141"
"Yellow Medicine County",27173,52.7,5237,"1237 of 3141"
"Cottonwood County",27033,53.0,6064,"1169 of 3141"
"Goodhue County",27049,53.0,24469,"1166 of 3141"
"Marshall County",27089,53.1,4989,"1149 of 3141"
"Redwood County",27127,53.4,8232,"1100 of 3141"
"Clearwater County",27029,53.4,4709,"1097 of 3141"
"Todd County",27153,53.4,13042,"1091 of 3141"
"Swift County",27151,53.5,5051,"1071 of 3141"
"Douglas County",27041,53.9,19870,"984 of 3141"
"Crow Wing County",27035,54.3,34480,"899 of 3141"
"Renville County",27129,54.4,8057,"868 of 3141"
"Jackson County",27063,54.8,5536,"808 of 3141"
"Martin County",27091,54.8,11015,"797 of 3141"
"Grant County",27051,54.9,3254,"781 of 3141"
