------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/deathrates/index.php?stateFIPS=28&areatype=county&cancer=001&race=01&sex=0&age=001&type=death&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '28', 'areatype': 'county', 'cancer': '001', 'race': '01', 'sex': '0', 'age': '001', 'type': 'death', 'file_name': 'deathrates_023.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/deathrates/index.php?stateFIPS=28&areatype=county&cancer=001&race=01&sex=0&age=001&type=death&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Death Rate Report for Mississippi by County

"All Cancer Sites, 2012-2016"

"White (includes Hispanic), Both Sexes, All Ages"

Sorted by Rate

County, FIPS,Met Healthy People Objective of 161.4?,"Age-Adjusted Death Rate(†) - deaths per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Death Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Mississippi",28000,No,184.6 ,182.1, 187.1,4384,falling,-0.8 ,-1.0, -0.7
"United States",00000,No,161.5 ,161.3, 161.7,501895,falling,-1.4 ,-1.4, -1.4
"Sunflower County",28133,No,256.2 ,214.4, 305.3,28,stable,0.5 ,-0.1, 1.2
"Madison County",28089,No,244.6 ,227.9, 262.2,167,falling,-4.5 ,-5.4, -3.5
"Calhoun County",28013,No,236.5 ,201.8, 276.1,35,stable,0.6 ,-0.4, 1.6
"Washington County",28151,No,235.4 ,205.4, 269.2,49,stable,0.1 ,-0.6, 0.9
"Benton County",28009,No,228.3 ,182.4, 283.8,18,stable,0.3 ,-1.1, 1.8
"Tunica County",28143,No,226.9 ,155.4, 323.4,7,stable,0.6 ,-1.7, 3.0
"Yalobusha County",28161,No,225.7 ,187.4, 270.7,27,stable,-0.1 ,-1.0, 0.8
"Holmes County",28051,No,225 ,169.1, 298.8,12,stable,0.5 ,-0.9, 2.0
"Quitman County",28119,No,221.1 ,155, 312.1,9,stable,-0.9 ,-2.1, 0.3
"Lee County",28081,No,220.3 ,205.5, 236.1,167,falling,-4.3 ,-6.8, -1.7
"Panola County",28107,No,217.5 ,191.9, 246.1,54,stable,-0.6 ,-1.4, 0.1
"Covington County",28031,No,217 ,186, 252.2,37,stable,0.5 ,-0.5, 1.4
"George County",28039,No,215 ,187.6, 245.3,48,stable,-0.7 ,-1.6, 0.2
"Coahoma County",28027,No,212.7 ,171, 263.4,21,stable,0.3 ,-0.8, 1.5
"Harrison County",28047,No,210.7 ,200.9, 220.9,355,falling,-0.6 ,-1.0, -0.2
"Marshall County",28093,No,209.6 ,185.2, 236.7,56,stable,-0.3 ,-0.9, 0.4
