------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=28&areatype=county&topic=mob&demo=00021&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '28', 'areatype': 'county', 'topic': 'mob', 'demo': '00021', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_012.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=28&areatype=county&topic=mob&demo=00021&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Mississippi by County
Mobility: Moved from outside US (in past year)
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Moved From Outside US),Rank within US
"Mississippi",28000,0.2,7134,"2 of 51"
"United States",00000,0.7,2074097,"N/A"
"Benton County",28009,0.0,0,"1 of 3140"
"Calhoun County",28013,0.0,0,"1 of 3140"
"Choctaw County",28019,0.0,0,"1 of 3140"
"Coahoma County",28027,0.0,0,"1 of 3140"
"Greene County",28041,0.0,0,"1 of 3140"
"Humphreys County",28053,0.0,0,"1 of 3140"
"Issaquena County",28055,0.0,0,"1 of 3140"
"Jefferson County",28063,0.0,0,"1 of 3140"
"Jefferson Davis County",28065,0.0,0,"1 of 3140"
"Kemper County",28069,0.0,0,"1 of 3140"
"Neshoba County",28099,0.0,0,"1 of 3140"
"Pearl River County",28109,0.0,0,"1 of 3140"
"Sharkey County",28125,0.0,0,"1 of 3140"
"Tallahatchie County",28135,0.0,0,"1 of 3140"
"Union County",28145,0.0,0,"1 of 3140"
"Walthall County",28147,0.0,0,"1 of 3140"
"Webster County",28155,0.0,0,"1 of 3140"
"Prentiss County",28117,0.0,1,"358 of 3140"
"Jones County",28067,0.0,8,"379 of 3140"
"Quitman County",28119,0.0,1,"385 of 3140"
"Jasper County",28061,0.0,3,"410 of 3140"
"Clay County",28025,0.0,6,"467 of 3140"
"Newton County",28101,0.0,7,"480 of 3140"
"George County",28039,0.0,8,"490 of 3140"
"Lincoln County",28085,0.0,14,"532 of 3140"
"Panola County",28107,0.0,14,"535 of 3140"
"Lawrence County",28077,0.1,7,"609 of 3140"
"Simpson County",28127,0.1,17,"652 of 3140"
"Bolivar County",28011,0.1,21,"667 of 3140"
"Tippah County",28139,0.1,14,"670 of 3140"
"Chickasaw County",28017,0.1,13,"762 of 3140"
"Attala County",28007,0.1,15,"803 of 3140"
"Sunflower County",28133,0.1,23,"838 of 3140"
"Marion County",28091,0.1,22,"845 of 3140"
"Tate County",28137,0.1,25,"856 of 3140"
"Grenada County",28043,0.1,20,"889 of 3140"
"Pike County",28113,0.1,38,"898 of 3140"
"Yalobusha County",28161,0.1,12,"911 of 3140"
"Wayne County",28153,0.1,21,"945 of 3140"
"Monroe County",28095,0.1,37,"947 of 3140"
"Marshall County",28093,0.1,38,"962 of 3140"
"Stone County",28131,0.1,19,"963 of 3140"
"Itawamba County",28057,0.1,26,"1003 of 3140"
"Pontotoc County",28115,0.1,37,"1081 of 3140"
"Wilkinson County",28157,0.1,12,"1172 of 3140"
"Scott County",28123,0.2,43,"1286 of 3140"
"Leake County",28079,0.2,35,"1293 of 3140"
"Smith County",28129,0.2,25,"1304 of 3140"
"Lamar County",28073,0.2,97,"1343 of 3140"
"Amite County",28005,0.2,22,"1434 of 3140"
"Lauderdale County",28075,0.2,140,"1466 of 3140"
"Alcorn County",28003,0.2,68,"1489 of 3140"
"Carroll County",28015,0.2,19,"1506 of 3140"
"Washington County",28151,0.2,90,"1527 of 3140"
"Winston County",28159,0.2,35,"1528 of 3140"
"Hancock County",28045,0.2,88,"1534 of 3140"
"Covington County",28031,0.2,37,"1551 of 3140"
"Copiah County",28029,0.2,62,"1668 of 3140"
"Hinds County",28049,0.2,527,"1673 of 3140"
"Jackson County",28059,0.2,317,"1707 of 3140"
"Madison County",28089,0.2,242,"1763 of 3140"
"Lowndes County",28087,0.2,145,"1802 of 3140"
"Warren County",28149,0.3,122,"1857 of 3140"
"Lee County",28081,0.3,234,"1937 of 3140"
"Rankin County",28121,0.3,416,"1943 of 3140"
"Leflore County",28083,0.3,84,"1951 of 3140"
"DeSoto County",28033,0.3,489,"1977 of 3140"
"Perry County",28111,0.3,36,"2024 of 3140"
"Montgomery County",28097,0.3,31,"2029 of 3140"
"Holmes County",28051,0.3,61,"2142 of 3140"
"Claiborne County",28021,0.4,34,"2266 of 3140"
"Lafayette County",28071,0.4,205,"2301 of 3140"
"Clarke County",28023,0.4,63,"2310 of 3140"
"Tishomingo County",28141,0.4,80,"2347 of 3140"
"Tunica County",28143,0.4,43,"2357 of 3140"
"Noxubee County",28103,0.4,46,"2363 of 3140"
"Forrest County",28035,0.5,366,"2482 of 3140"
"Franklin County",28037,0.5,41,"2570 of 3140"
"Harrison County",28047,0.5,1061,"2574 of 3140"
"Oktibbeha County",28105,0.7,346,"2790 of 3140"
"Yazoo County",28163,0.9,255,"2937 of 3140"
"Adams County",28001,2.1,650,"3102 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:18 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Mobility: Moved from outside US (in past year), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#mobility."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
