------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=28&areatype=county&topic=pop&demo=00003&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '28', 'areatype': 'county', 'topic': 'pop', 'demo': '00003', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_018.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=28&areatype=county&topic=pop&demo=00003&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Mississippi by County
Population: Age 65 and over
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Age 65 And Over),Rank within US
"Mississippi",28000,14.6,437027,"36 of 52"
"United States",00000,14.9,47732389,"N/A"
"Oktibbeha County",28105,10.3,5081,"3053 of 3141"
"Tunica County",28143,10.7,1103,"3022 of 3141"
"Lafayette County",28071,11.2,5896,"2986 of 3141"
"Sunflower County",28133,11.9,3210,"2906 of 3141"
"Madison County",28089,12.1,12370,"2889 of 3141"
"DeSoto County",28033,12.1,20972,"2888 of 3141"
"Lamar County",28073,12.3,7424,"2863 of 3141"
"Greene County",28041,12.5,1732,"2831 of 3141"
"Hinds County",28049,12.6,30758,"2814 of 3141"
"Forrest County",28035,12.7,9661,"2800 of 3141"
"Yazoo County",28163,13.0,3563,"2762 of 3141"
"Leflore County",28083,13.1,3935,"2740 of 3141"
"Harrison County",28047,13.6,27293,"2668 of 3141"
"Coahoma County",28027,13.7,3327,"2657 of 3141"
"Holmes County",28051,13.8,2516,"2644 of 3141"
"Tallahatchie County",28135,13.9,2019,"2621 of 3141"
"Lee County",28081,13.9,11823,"2612 of 3141"
"Rankin County",28121,14.0,20879,"2606 of 3141"
"Stone County",28131,14.0,2524,"2592 of 3141"
"Washington County",28151,14.1,6750,"2586 of 3141"
"Pontotoc County",28115,14.1,4395,"2567 of 3141"
"Bolivar County",28011,14.2,4692,"2561 of 3141"
"George County",28039,14.2,3345,"2547 of 3141"
"Scott County",28123,14.3,4061,"2533 of 3141"
"Jackson County",28059,14.5,20482,"2494 of 3141"
"Lowndes County",28087,14.5,8635,"2492 of 3141"
"Jefferson County",28063,14.5,1084,"2491 of 3141"
"Leake County",28079,14.5,3333,"2490 of 3141"
"Panola County",28107,14.6,4981,"2482 of 3141"
"Humphreys County",28053,15.0,1298,"2386 of 3141"
"Warren County",28149,15.1,7179,"2349 of 3141"
"Tate County",28137,15.2,4299,"2335 of 3141"
"Noxubee County",28103,15.2,1662,"2330 of 3141"
"Neshoba County",28099,15.2,4484,"2317 of 3141"
"Quitman County",28119,15.5,1171,"2240 of 3141"
"Marshall County",28093,15.7,5633,"2202 of 3141"
"Jones County",28067,15.7,10700,"2200 of 3141"
"Lauderdale County",28075,15.7,12264,"2194 of 3141"
"Newton County",28101,15.8,3394,"2160 of 3141"
"Claiborne County",28021,15.8,1442,"2159 of 3141"
"Lincoln County",28085,15.9,5479,"2148 of 3141"
"Chickasaw County",28017,15.9,2746,"2144 of 3141"
"Pike County",28113,15.9,6317,"2138 of 3141"
"Copiah County",28029,15.9,4575,"2127 of 3141"
"Covington County",28031,15.9,3052,"2125 of 3141"
"Wilkinson County",28157,15.9,1448,"2120 of 3141"
"Tippah County",28139,15.9,3506,"2118 of 3141"
"Union County",28145,16.0,4507,"2101 of 3141"
"Wayne County",28153,16.0,3274,"2098 of 3141"
"Simpson County",28127,16.2,4409,"2038 of 3141"
"Sharkey County",28125,16.2,752,"2027 of 3141"
"Itawamba County",28057,16.7,3913,"1872 of 3141"
