------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=28&areatype=county&cancer=066&stage=211&race=00&sex=1&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '28', 'areatype': 'county', 'cancer': '066', 'stage': '211', 'race': '00', 'sex': '1', 'age': '001', 'type': 'incd', 'file_name': 'incidencerates_055.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=28&areatype=county&cancer=066&stage=211&race=00&sex=1&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Incidence Rate Report for Mississippi by County

"Prostate (Late Stage^), 2012-2016"

"All Races (includes Hispanic), Male, All Ages"

Sorted by Rate

County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Percent of Cases with Late Stage
"Mississippi(6)",28000,***,22.3 ,21.2, 23.3,369,17.5
"US (SEER+NPCR)(1)",00000,***,20.1 ,20, 20.2,36257,19.4
"Yazoo County(6)",28163,***,40.3 ,26.3, 58.8,6,29.8
"Scott County(6)",28123,***,34.6 ,22.5, 51.1,5,29.3
"Madison County(6)",28089,***,32.1 ,25.1, 40.5,16,24.0
"Hinds County(6)",28049,***,30.9 ,26.5, 35.9,37,22.5
"Clay County(6)",28025,***,29.7 ,17.6, 47.8,4,18.1
"Wayne County(6)",28153,***,29.4 ,16.7, 48.2,3,19.3
"Copiah County(6)",28029,***,28.2 ,18.2, 42.2,5,24.3
"Tishomingo County(6)",28141,***,28 ,16.1, 45.9,4,23.1
"Leake County(6)",28079,***,27.7 ,15.8, 45.2,3,26.2
"Jasper County(6)",28061,***,27.5 ,16, 45.7,3,19.8
"Harrison County(6)",28047,***,26.8 ,22.4, 31.8,28,23.7
"Rankin County(6)",28121,***,26.1 ,21.2, 31.9,21,24.9
"Pike County(6)",28113,***,26.1 ,17.5, 37.7,6,18.3
"Jackson County(6)",28059,***,25.9 ,21, 31.6,21,22.2
"Forrest County(6)",28035,***,24.4 ,17.6, 33,9,14.4
"Hancock County(6)",28045,***,23.8 ,16.5, 33.6,7,23.3
"Simpson County(6)",28127,***,23.6 ,13.9, 37.7,4,25.3
"Bolivar County(6)",28011,***,23.1 ,13.5, 36.9,4,10.8
"Pontotoc County(6)",28115,***,23 ,13.3, 36.8,4,17.6
"Lee County(6)",28081,***,22.8 ,16.7, 30.3,10,14.7
"Lowndes County(6)",28087,***,22.4 ,15.4, 31.5,7,15.4
"Jones County(6)",28067,***,21.9 ,15.7, 29.7,9,14.4
"Washington County(6)",28151,***,21.6 ,14.2, 31.5,6,17.7
"Lamar County(6)",28073,***,21.4 ,14, 31.1,6,14.4
"Tate County(6)",28137,***,20.6 ,11.7, 34.1,3,18.1
"Monroe County(6)",28095,***,20 ,12.2, 31.2,4,13.7
"Lincoln County(6)",28085,***,20 ,12.6, 30.6,5,18.1
"Lauderdale County(6)",28075,***,19 ,13.7, 25.7,9,17.6
