------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/deathrates/index.php?stateFIPS=29&areatype=county&cancer=001&race=02&sex=0&age=001&type=death&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '29', 'areatype': 'county', 'cancer': '001', 'race': '02', 'sex': '0', 'age': '001', 'type': 'death', 'file_name': 'deathrates_026.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/deathrates/index.php?stateFIPS=29&areatype=county&cancer=001&race=02&sex=0&age=001&type=death&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Death Rate Report for Missouri by County

"All Cancer Sites, 2012-2016"

"Black (includes Hispanic), Both Sexes, All Ages"

Sorted by Rate

County, FIPS,Met Healthy People Objective of 161.4?,"Age-Adjusted Death Rate(†) - deaths per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Death Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Missouri",29000,No,212 ,206.8, 217.3,1331,falling,-1.7 ,-1.9, -1.5
"United States",00000,No,185.6 ,184.9, 186.2,68886,falling,-2.1 ,-2.2, -2.0
"Dunklin County",29069,No,295.1 ,199.9, 417.6,7,stable,0.8 ,-1.4, 3.1
"Cape Girardeau County",29031,No,290.2 ,208.1, 391.1,10,stable,-1.5 ,-3.3, 0.4
"Mississippi County",29133,No,277.7 ,186.2, 395.1,7,stable,-0.8 ,-2.4, 0.8
"Scott County",29201,No,260.1 ,187.8, 349.6,10,stable,-0.9 ,-2.4, 0.7
"Buchanan County",29021,No,259.5 ,181.3, 356.5,8,*,*,*,*
"Randolph County",29175,No,257.7 ,144.5, 419,3,stable,-2.2 ,-4.7, 0.4
"Pemiscot County",29155,No,249.9 ,186, 328.2,11,stable,-0.8 ,-2.1, 0.4
"Callaway County",29027,No,247.7 ,143.2, 392.6,4,*,*,*,*
"Greene County",29077,No,247.7 ,178.9, 330.8,12,falling,-3.7 ,-5.8, -1.5
"St. Louis City",29510,No,223.9 ,213.3, 234.9,350,falling,-1.5 ,-1.8, -1.3
"Jasper County",29097,No,223.2 ,119.2, 370.4,3,*,*,*,*
"Pulaski County",29169,No,223.1 ,126.3, 354.6,4,*,*,*,*
"Boone County",29019,No,223.1 ,176.8, 276.5,20,falling,-1.1 ,-2.1, -0.1
"Cole County",29051,No,213.5 ,140.3, 306.3,8,stable,-1.2 ,-3.3, 1.0
"Jackson County",29095,No,213 ,202.4, 223.9,325,falling,-1.7 ,-1.9, -1.4
"St. Louis County",29189,No,210.5 ,201.7, 219.7,457,falling,-1.6 ,-1.9, -1.3
"Audrain County",29007,No,208.2 ,116.2, 340.1,3,stable,-1.6 ,-4.1, 1.0
"Butler County",29023,No,206.7 ,127.5, 314.7,4,*,*,*,*
"New Madrid County",29143,No,204.2 ,135.2, 295.3,6,stable,-0.7 ,-2.8, 1.4
"Jefferson County",29099,No,187.9 ,100.3, 314.5,3,*,*,*,*
"Clay County",29047,No,161.9 ,112.1, 223.3,9,falling,-3.3 ,-5.7, -0.8
"St. Charles County",29183,Yes,159.6 ,122, 203.8,16,falling,-3.9 ,-5.7, -2.0
"Cass County",29037,Yes,159.5 ,95.8, 246.3,4,*,*,*,*
"Platte County",29165,Yes,110 ,63.6, 175.6,4,*,*,*,*
"Adair County",29001,***,* ,*, *,3 or fewer,*,*,*,*
"Andrew County",29003,***,* ,*, *,3 or fewer,*,*,*,*
"Atchison County",29005,***,* ,*, *,3 or fewer,*,*,*,*
"Barry County",29009,***,* ,*, *,3 or fewer,*,*,*,*
"Barton County",29011,***,* ,*, *,3 or fewer,*,*,*,*
"Bates County",29013,***,* ,*, *,3 or fewer,*,*,*,*
"Benton County",29015,***,* ,*, *,3 or fewer,*,*,*,*
"Bollinger County",29017,***,* ,*, *,3 or fewer,*,*,*,*
"Caldwell County",29025,***,* ,*, *,3 or fewer,*,*,*,*
"Camden County",29029,***,* ,*, *,3 or fewer,*,*,*,*
"Carroll County",29033,***,* ,*, *,3 or fewer,*,*,*,*
"Carter County",29035,***,* ,*, *,3 or fewer,*,*,*,*
