------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=29&areatype=county&topic=pop&demo=00029&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '29', 'areatype': 'county', 'topic': 'pop', 'demo': '00029', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_017.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=29&areatype=county&topic=pop&demo=00029&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Missouri by County
Population: Age 50 and over
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Age 50 And Over),Rank within US
"United States",00000,34.5,110609456,"N/A"
"Missouri",29000,36.0,2184936,"20 of 52"
"Pulaski County",29169,20.8,11066,"3130 of 3141"
"Boone County",29019,27.3,47676,"3030 of 3141"
"Johnson County",29101,28.0,15112,"2988 of 3141"
"Adair County",29001,29.9,7599,"2888 of 3141"
"Nodaway County",29147,30.1,6835,"2873 of 3141"
"St. Louis City",29510,31.6,99413,"2763 of 3141"
"Clay County",29047,32.1,75851,"2711 of 3141"
"Jasper County",29097,32.8,38906,"2637 of 3141"
"Lincoln County",29113,33.4,18282,"2586 of 3141"
"Christian County",29043,33.4,27756,"2579 of 3141"
"Greene County",29077,33.6,96246,"2560 of 3141"
"Jackson County",29095,33.6,231431,"2550 of 3141"
"Platte County",29165,34.0,32963,"2496 of 3141"
"Phelps County",29161,34.1,15296,"2483 of 3141"
"St. Charles County",29183,34.1,131396,"2477 of 3141"
"Webster County",29225,34.3,12865,"2459 of 3141"
"Moniteau County",29135,34.6,5510,"2417 of 3141"
"McDonald County",29119,34.7,7884,"2414 of 3141"
"Cape Girardeau County",29031,34.7,27092,"2402 of 3141"
"Buchanan County",29021,34.8,31162,"2381 of 3141"
"Cole County",29051,35.0,26894,"2346 of 3141"
"Jefferson County",29099,35.4,78755,"2299 of 3141"
"St. Francois County",29187,35.5,23516,"2282 of 3141"
"Pemiscot County",29155,35.6,6166,"2271 of 3141"
"Pettis County",29159,35.8,15153,"2227 of 3141"
"Mississippi County",29133,35.9,4993,"2216 of 3141"
"Callaway County",29027,35.9,16073,"2214 of 3141"
"Randolph County",29175,35.9,8976,"2205 of 3141"
"Cass County",29037,36.2,36895,"2162 of 3141"
"Polk County",29167,36.5,11428,"2123 of 3141"
"Saline County",29195,36.7,8447,"2084 of 3141"
"DeKalb County",29063,36.8,4625,"2063 of 3141"
"Dunklin County",29069,37.0,11441,"2012 of 3141"
"Audrain County",29007,37.0,9541,"2009 of 3141"
"Cooper County",29053,37.1,6532,"1999 of 3141"
"Pike County",29163,37.1,6870,"1992 of 3141"
"Newton County",29145,37.3,21745,"1939 of 3141"
"Washington County",29221,37.4,9328,"1933 of 3141"
"Marion County",29127,37.4,10740,"1918 of 3141"
"Scotland County",29199,37.5,1831,"1893 of 3141"
"Scott County",29201,37.6,14618,"1866 of 3141"
"Laclede County",29105,37.6,13359,"1864 of 3141"
"Lawrence County",29109,37.7,14358,"1859 of 3141"
"Osage County",29151,37.9,5159,"1814 of 3141"
