------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=29&areatype=county&topic=pop&demo=00014&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '29', 'areatype': 'county', 'topic': 'pop', 'demo': '00014', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_022.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=29&areatype=county&topic=pop&demo=00014&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Missouri by County
Population: Foreign born
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Foreign Born),Rank within US
"Missouri",29000,4.0,242835,"42 of 51"
"United States",00000,13.4,43028127,"N/A"
"Shannon County",29203,0.2,17,"3099 of 3140"
"Scotland County",29199,0.2,11,"3097 of 3140"
"Osage County",29151,0.2,32,"3095 of 3140"
"Carter County",29035,0.2,15,"3094 of 3140"
"Reynolds County",29179,0.3,16,"3089 of 3140"
"Washington County",29221,0.3,83,"3061 of 3140"
"Ripley County",29181,0.4,49,"3052 of 3140"
"Shelby County",29205,0.4,22,"3049 of 3140"
"Wayne County",29223,0.4,49,"3048 of 3140"
"Bollinger County",29017,0.4,48,"3041 of 3140"
"Chariton County",29041,0.4,30,"3039 of 3140"
"Clark County",29045,0.5,31,"3014 of 3140"
"Monroe County",29137,0.5,41,"3006 of 3140"
"Holt County",29087,0.5,22,"2999 of 3140"
"Maries County",29125,0.5,45,"2993 of 3140"
"Mississippi County",29133,0.5,76,"2966 of 3140"
"Ste. Genevieve County",29186,0.6,100,"2956 of 3140"
"Ozark County",29153,0.6,53,"2954 of 3140"
"Knox County",29103,0.6,23,"2949 of 3140"
"Schuyler County",29197,0.6,27,"2936 of 3140"
"Gasconade County",29073,0.6,90,"2935 of 3140"
"Atchison County",29005,0.6,33,"2924 of 3140"
"Bates County",29013,0.6,104,"2914 of 3140"
"Benton County",29015,0.6,122,"2904 of 3140"
"New Madrid County",29143,0.6,117,"2902 of 3140"
"Linn County",29115,0.7,82,"2884 of 3140"
"Hickory County",29085,0.7,63,"2879 of 3140"
"Stoddard County",29207,0.7,205,"2868 of 3140"
"Pemiscot County",29155,0.7,120,"2867 of 3140"
"Texas County",29215,0.7,178,"2866 of 3140"
"Crawford County",29055,0.7,171,"2860 of 3140"
"Putnam County",29171,0.7,34,"2859 of 3140"
"Douglas County",29067,0.7,94,"2858 of 3140"
"Polk County",29167,0.7,222,"2853 of 3140"
"Howard County",29089,0.7,72,"2851 of 3140"
"Montgomery County",29139,0.7,83,"2848 of 3140"
"Dallas County",29059,0.7,119,"2842 of 3140"
"Livingston County",29117,0.7,112,"2831 of 3140"
"Lewis County",29111,0.8,76,"2821 of 3140"
"Gentry County",29075,0.8,51,"2814 of 3140"
"Macon County",29121,0.8,118,"2812 of 3140"
"Daviess County",29061,0.8,64,"2809 of 3140"
"Worth County",29227,0.8,16,"2806 of 3140"
"Cooper County",29053,0.8,139,"2803 of 3140"
"Andrew County",29003,0.8,140,"2787 of 3140"
"DeKalb County",29063,0.8,102,"2781 of 3140"
"Morgan County",29141,0.8,164,"2779 of 3140"
"Dade County",29057,0.8,64,"2758 of 3140"
"Laclede County",29105,0.9,302,"2753 of 3140"
"Ray County",29177,0.9,197,"2748 of 3140"
"Madison County",29123,0.9,107,"2738 of 3140"
"St. Clair County",29185,0.9,83,"2733 of 3140"
"Ralls County",29173,0.9,92,"2723 of 3140"
"Carroll County",29033,0.9,81,"2715 of 3140"
"Webster County",29225,0.9,342,"2713 of 3140"
"Iron County",29093,0.9,94,"2711 of 3140"
"Dent County",29065,0.9,143,"2707 of 3140"
"Miller County",29131,1.0,238,"2681 of 3140"
"St. Francois County",29187,1.0,639,"2675 of 3140"
"Cedar County",29039,1.0,137,"2652 of 3140"
"Wright County",29229,1.1,200,"2575 of 3140"
"Marion County",29127,1.2,331,"2534 of 3140"
"Randolph County",29175,1.2,289,"2530 of 3140"
"Caldwell County",29025,1.2,106,"2512 of 3140"
"Clinton County",29049,1.2,256,"2439 of 3140"
"Butler County",29023,1.3,536,"2435 of 3140"
"Lincoln County",29113,1.3,686,"2433 of 3140"
"Vernon County",29217,1.3,261,"2421 of 3140"
"Perry County",29157,1.3,244,"2410 of 3140"
"Henry County",29083,1.3,282,"2396 of 3140"
"Scott County",29201,1.3,510,"2384 of 3140"
"Pike County",29163,1.3,244,"2380 of 3140"
"Howell County",29091,1.3,537,"2367 of 3140"
"Audrain County",29007,1.4,371,"2295 of 3140"
