------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=29&areatype=county&cancer=047&stage=211&race=00&sex=0&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '29', 'areatype': 'county', 'cancer': '047', 'stage': '211', 'race': '00', 'sex': '0', 'age': '001', 'type': 'incd', 'file_name': 'incidencerates_049.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=29&areatype=county&cancer=047&stage=211&race=00&sex=0&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Incidence Rate Report for Missouri by County

"Lung & Bronchus (Late Stage^), 2012-2016"

"All Races (includes Hispanic), Both Sexes, All Ages"

Sorted by Rate

County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Percent of Cases with Late Stage
"Missouri(6)",29000,***,51.8 ,51.1, 52.5,3860,71.3
"US (SEER+NPCR)(1)",00000,***,42.1 ,42, 42.2,156578,71.3
"Madison County(6)",29123,***,85.9 ,67, 108.9,15,73.7
"St. Francois County(6)",29187,***,83.7 ,74.9, 93.3,67,74.9
"Mississippi County(6)",29133,***,81.3 ,63.4, 103,14,78.3
"Benton County(6)",29015,***,80.2 ,67.6, 95.2,32,74.0
"Mercer County(6)",29129,***,78.7 ,46.1, 127.3,4,76.0
"Ripley County(6)",29181,***,77.6 ,61.2, 97.6,16,76.2
"Dunklin County(6)",29069,***,77.4 ,65.7, 90.7,32,67.5
"New Madrid County(6)",29143,***,76 ,61.1, 93.7,19,75.2
"Morgan County(6)",29141,***,73.6 ,60.3, 89.5,24,75.3
"Butler County(6)",29023,***,72.5 ,63.1, 83.1,43,73.1
"Henry County(6)",29083,***,71.8 ,59.3, 86.4,24,75.5
"Crawford County(6)",29055,***,70.3 ,57.8, 85,23,69.0
"Wayne County(6)",29223,***,69.3 ,54.4, 87.9,16,73.1
"Linn County(6)",29115,***,68.8 ,53, 88.7,13,84.4
"Ralls County(6)",29173,***,68.1 ,50.1, 91.3,10,77.3
"Ray County(6)",29177,***,67.6 ,55.2, 82.2,21,74.3
"Iron County(6)",29093,***,67 ,50.1, 88.8,11,66.7
"Stoddard County(6)",29207,***,66.8 ,56.2, 79.1,29,69.4
"Montgomery County(6)",29139,***,66.1 ,50, 86.5,12,71.6
"Scott County(6)",29201,***,66 ,56.3, 77,34,73.4
"Washington County(6)",29221,***,65.9 ,53.8, 80.2,21,71.8
"Jasper County(6)",29097,***,64.8 ,58.8, 71.3,88,76.0
"Chariton County(6)",29041,***,63.3 ,45.2, 87.9,8,80.4
"St. Louis City(6)",29510,***,62.9 ,59, 67,206,75.9
"Carter County(6)",29035,***,62.6 ,40.8, 93.2,6,68.3
"Lincoln County(6)",29113,***,62.1 ,53, 72.3,35,69.2
"Pulaski County(6)",29169,***,61.8 ,50.8, 74.5,23,69.3
"Audrain County(6)",29007,***,61.7 ,50.1, 75.3,20,70.8
"Randolph County(6)",29175,***,61.3 ,49.4, 75.4,19,69.1
"Monroe County(6)",29137,***,61 ,43.6, 84.2,8,73.7
"Clark County(6)",29045,***,60.7 ,40.6, 88.6,6,75.0
"Lewis County(6)",29111,***,60.7 ,43.6, 82.9,8,77.8
"DeKalb County(6)",29063,***,60.4 ,44.3, 81,9,74.6
"Vernon County(6)",29217,***,59.9 ,47.8, 74.5,17,76.3
"Perry County(6)",29157,***,59.6 ,46.7, 75.3,15,78.9
"Caldwell County(6)",29025,***,59.3 ,41.6, 82.9,8,76.0
"Dade County(6)",29057,***,58.8 ,39.9, 84.9,7,79.1
"Dent County(6)",29065,***,58.4 ,45.4, 74.5,14,76.9
"Buchanan County(6)",29021,***,58.3 ,51.9, 65.4,61,70.1
"Jefferson County(6)",29099,***,58.3 ,54, 62.8,147,69.8
"Saline County(6)",29195,***,57.7 ,45.9, 71.8,17,75.4
"Laclede County(6)",29105,***,57.5 ,48.2, 68.3,28,72.3
"Pike County(6)",29163,***,56.8 ,44.1, 72.3,14,72.2
"Pettis County(6)",29159,***,56.4 ,47.4, 66.7,29,76.1
"Harrison County(6)",29081,***,55.8 ,39, 78.6,7,75.5
"Wright County(6)",29229,***,55.8 ,43.8, 70.5,15,80.6
"Carroll County(6)",29033,***,55.6 ,39.4, 77.4,8,72.2
"Daviess County(6)",29061,***,55.3 ,38, 79,7,70.8
"McDonald County(6)",29119,***,54.9 ,42.8, 69.5,15,60.3
"Cass County(6)",29037,***,54.9 ,49.2, 61.1,69,71.9
"Putnam County(6)",29171,***,54.8 ,34, 86.4,4,71.0
"Dallas County(6)",29059,***,54.7 ,42.1, 70.5,13,71.7
"Franklin County(6)",29071,***,54.7 ,49.1, 60.8,71,70.2
"Phelps County(6)",29161,***,54.5 ,45.9, 64.4,29,73.2
"Pemiscot County(6)",29155,***,54.1 ,41.1, 70.1,12,61.9
"Schuyler County(6)",29197,***,54 ,30.8, 89.7,3,94.4
"Miller County(6)",29131,***,53.9 ,43.1, 66.9,18,72.4
"Cedar County(6)",29039,***,53.9 ,40.6, 70.8,12,72.3
"Camden County(6)",29029,***,53.9 ,46.5, 62.3,43,73.4
"Lafayette County(6)",29107,***,53.8 ,44.6, 64.5,25,73.8
"Clinton County(6)",29049,***,53.4 ,41.8, 67.4,15,68.8
"Clay County(6)",29047,***,52.7 ,48.7, 57.1,130,72.6
"Bollinger County(6)",29017,***,52.6 ,38.7, 70.6,10,73.1
