------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=30&areatype=county&topic=pov&demo=00008&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '30', 'areatype': 'county', 'topic': 'pov', 'demo': '00008', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_029.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=30&areatype=county&topic=pov&demo=00008&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Montana by County
Poverty: Persons below poverty
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Below Poverty),Rank within US
"Montana",30000,14.4,144198,"27 of 52"
"United States",00000,14.6,45650345,"N/A"
"Daniels County",30019,4.6,81,"21 of 3141"
"Garfield County",30033,5.1,55,"43 of 3141"
"Fallon County",30025,5.8,164,"80 of 3141"
"Richland County",30083,5.9,669,"84 of 3141"
"Stillwater County",30095,6.5,600,"110 of 3141"
"Valley County",30105,7.4,546,"175 of 3141"
"McCone County",30055,7.7,127,"203 of 3141"
"Broadwater County",30007,7.8,448,"220 of 3141"
"Powder River County",30075,8.2,129,"266 of 3141"
"Teton County",30099,9.8,583,"496 of 3141"
"Custer County",30017,9.8,1124,"502 of 3141"
"Granite County",30039,9.9,312,"525 of 3141"
"Carbon County",30009,9.9,1031,"531 of 3141"
"Jefferson County",30043,9.9,1139,"534 of 3141"
"Prairie County",30079,10.1,130,"548 of 3141"
"Petroleum County",30069,10.1,45,"554 of 3141"
"Yellowstone County",30111,10.1,15432,"558 of 3141"
"Sweet Grass County",30097,10.4,376,"603 of 3141"
"Madison County",30057,10.6,832,"645 of 3141"
"Wibaux County",30109,10.8,116,"667 of 3141"
"Lewis and Clark County",30049,11.4,7409,"803 of 3141"
"Carter County",30011,11.8,152,"878 of 3141"
"Sheridan County",30091,12.2,428,"949 of 3141"
"Dawson County",30021,12.3,1088,"979 of 3141"
"Gallatin County",30031,13.0,12625,"1113 of 3141"
"Cascade County",30013,13.1,10410,"1139 of 3141"
"Park County",30067,13.4,2135,"1224 of 3141"
"Flathead County",30029,13.6,12886,"1247 of 3141"
"Judith Basin County",30045,13.9,273,"1319 of 3141"
"Liberty County",30051,13.9,309,"1321 of 3141"
"Powell County",30077,14.6,761,"1454 of 3141"
"Fergus County",30027,14.7,1640,"1477 of 3141"
"Meagher County",30059,15.8,313,"1704 of 3141"
"Missoula County",30063,15.9,17695,"1721 of 3141"
"Ravalli County",30081,16.0,6562,"1738 of 3141"
"Beaverhead County",30001,16.1,1433,"1758 of 3141"
"Lincoln County",30053,16.4,3120,"1799 of 3141"
"Toole County",30101,16.6,721,"1859 of 3141"
"Treasure County",30103,17.0,134,"1931 of 3141"
"Musselshell County",30065,17.4,812,"2016 of 3141"
"Phillips County",30071,18.0,732,"2143 of 3141"
"Golden Valley County",30037,18.2,136,"2189 of 3141"
"Deer Lodge County",30023,18.8,1605,"2282 of 3141"
"Pondera County",30073,19.0,1136,"2301 of 3141"
"Rosebud County",30087,19.1,1755,"2312 of 3141"
"Silver Bow County",30093,19.2,6442,"2318 of 3141"
"Wheatland County",30107,19.8,411,"2406 of 3141"
"Mineral County",30061,20.1,834,"2446 of 3141"
"Chouteau County",30015,20.3,1163,"2459 of 3141"
"Lake County",30047,20.9,6109,"2534 of 3141"
"Sanders County",30089,21.2,2378,"2561 of 3141"
"Hill County",30041,21.2,3393,"2563 of 3141"
"Big Horn County",30003,26.8,3504,"2958 of 3141"
"Roosevelt County",30085,29.1,3176,"3014 of 3141"
"Blaine County",30005,32.7,2142,"3076 of 3141"
"Glacier County",30035,33.1,4437,"3080 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:18 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Poverty: Persons below poverty, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#poverty."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
