------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=30&areatype=county&topic=work&demo=00012&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '30', 'areatype': 'county', 'topic': 'work', 'demo': '00012', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_031.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=30&areatype=county&topic=work&demo=00012&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Montana by County
Workforce: Unemployed
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Unemployed),Rank within US
"Montana",30000,4.8,25076,"12 of 52"
"United States",00000,6.6,10560305,"N/A"
"Garfield County",30033,0.0,0,"1 of 3141"
"Treasure County",30103,0.0,0,"1 of 3141"
"Sweet Grass County",30097,0.9,15,"31 of 3141"
"Toole County",30101,1.0,22,"36 of 3141"
"Dawson County",30021,1.1,53,"44 of 3141"
"McCone County",30055,1.2,10,"54 of 3141"
"Powell County",30077,1.5,38,"68 of 3141"
"Wibaux County",30109,1.6,9,"84 of 3141"
"Daniels County",30019,1.7,16,"98 of 3141"
"Teton County",30099,1.7,48,"103 of 3141"
"Fallon County",30025,1.7,28,"104 of 3141"
"Custer County",30017,1.7,114,"110 of 3141"
"Liberty County",30051,1.9,22,"134 of 3141"
"Deer Lodge County",30023,2.3,92,"179 of 3141"
"Powder River County",30075,2.4,23,"187 of 3141"
"Prairie County",30079,2.5,16,"211 of 3141"
"Richland County",30083,2.6,158,"225 of 3141"
"Fergus County",30027,2.6,152,"241 of 3141"
"Sheridan County",30091,2.7,52,"249 of 3141"
"Park County",30067,2.8,236,"267 of 3141"
"Carter County",30011,2.9,18,"287 of 3141"
"Judith Basin County",30045,2.9,29,"299 of 3141"
"Lewis and Clark County",30049,3.2,1125,"366 of 3141"
"Wheatland County",30107,3.4,34,"416 of 3141"
"Madison County",30057,3.4,136,"421 of 3141"
"Chouteau County",30015,3.5,91,"459 of 3141"
"Meagher County",30059,3.5,33,"462 of 3141"
"Yellowstone County",30111,3.5,2949,"468 of 3141"
"Stillwater County",30095,3.6,169,"496 of 3141"
"Carbon County",30009,4.0,211,"612 of 3141"
"Flathead County",30029,4.0,1941,"630 of 3141"
"Broadwater County",30007,4.1,112,"653 of 3141"
"Gallatin County",30031,4.3,2531,"721 of 3141"
"Golden Valley County",30037,4.4,16,"755 of 3141"
"Valley County",30105,4.4,178,"801 of 3141"
"Cascade County",30013,4.6,1772,"853 of 3141"
"Beaverhead County",30001,4.6,225,"875 of 3141"
"Petroleum County",30069,5.2,14,"1136 of 3141"
"Musselshell County",30065,5.6,110,"1330 of 3141"
"Jefferson County",30043,5.7,322,"1392 of 3141"
"Pondera County",30073,5.8,162,"1410 of 3141"
"Silver Bow County",30093,5.9,1016,"1472 of 3141"
"Missoula County",30063,6.0,3946,"1552 of 3141"
"Hill County",30041,6.4,485,"1727 of 3141"
"Ravalli County",30081,6.8,1279,"1962 of 3141"
"Granite County",30039,6.9,90,"2027 of 3141"
"Mineral County",30061,7.4,126,"2175 of 3141"
"Sanders County",30089,7.6,334,"2257 of 3141"
"Glacier County",30035,7.6,374,"2279 of 3141"
"Lake County",30047,8.0,1033,"2428 of 3141"
"Rosebud County",30087,8.6,380,"2586 of 3141"
"Phillips County",30071,8.9,168,"2652 of 3141"
"Lincoln County",30053,9.9,719,"2835 of 3141"
"Roosevelt County",30085,10.2,435,"2880 of 3141"
"Big Horn County",30003,15.9,905,"3105 of 3141"
"Blaine County",30005,16.8,504,"3113 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:18 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Workforce: Unemployed, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#workforce."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
