------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=31&areatype=county&cancer=020&stage=211&race=00&sex=0&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '31', 'areatype': 'county', 'cancer': '020', 'stage': '211', 'race': '00', 'sex': '0', 'age': '001', 'type': 'incd', 'file_name': 'incidencerates_044.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=31&areatype=county&cancer=020&stage=211&race=00&sex=0&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Incidence Rate Report for Nebraska by County

"Colon & Rectum (Late Stage^), 2012-2016"

"All Races (includes Hispanic), Both Sexes, All Ages"

Sorted by Rate

County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Percent of Cases with Late Stage
"Nebraska(6)",31000,***,23.8 ,22.9, 24.8,503,54.9
"US (SEER+NPCR)(1)",00000,***,21.5 ,21.5, 21.6,78225,55.5
"Pierce County(6)",31139,***,43.2 ,26.4, 67.8,4,67.7
"Saline County(6)",31151,***,37.2 ,24.8, 53.7,6,65.2
"Burt County(6)",31021,***,37.1 ,23.1, 59,4,71.0
"Merrick County(6)",31121,***,36.8 ,22, 58.7,4,76.9
"Box Butte County(6)",31013,***,35 ,20.8, 55.1,4,60.6
"Platte County(6)",31141,***,32.8 ,25.1, 42.3,13,61.5
"Wayne County(6)",31179,***,32.3 ,18.7, 52.6,4,60.0
"Keith County(6)",31101,***,31.2 ,17.4, 52.6,3,65.4
"Otoe County(6)",31131,***,30.4 ,20.8, 43.4,7,58.9
"Cuming County(6)",31039,***,29.9 ,17.1, 49.2,4,47.5
"Jefferson County(6)",31095,***,29.5 ,16.9, 49.7,4,63.3
"Madison County(6)",31119,***,29.5 ,22.4, 38.3,12,59.2
"Washington County(6)",31177,***,29.4 ,20, 41.8,7,55.7
"Cedar County(6)",31027,***,27.4 ,16, 45.1,4,54.5
"York County(6)",31185,***,26.6 ,16.3, 41.1,5,61.5
"Adams County(6)",31001,***,26.4 ,19.6, 34.8,11,62.1
"Hall County(6)",31079,***,26 ,20.8, 32.1,18,55.2
"Holt County(6)",31089,***,25 ,13.5, 42.7,3,63.0
"Buffalo County(6)",31019,***,24.9 ,18.9, 32.2,12,53.0
"Dawson County(6)",31047,***,24.6 ,16.9, 34.7,7,47.9
"Lancaster County(6)",31109,***,23.4 ,21, 26.1,70,57.4
"Dodge County(6)",31053,***,22.8 ,17, 29.9,11,51.9
"Douglas County(6)",31055,***,22.3 ,20.4, 24.2,117,53.9
"Seward County(6)",31159,***,22.2 ,14, 33.8,5,52.2
"Sarpy County(6)",31153,***,21.5 ,18.3, 25.2,32,52.8
"Dakota County(6)",31043,***,21.2 ,13.2, 32.3,4,52.4
"Lincoln County(6)",31111,***,20.5 ,15, 27.6,10,53.3
"Scotts Bluff County(6)",31157,***,20.2 ,14.8, 27,10,58.8
"Saunders County(6)",31155,***,20.1 ,13.1, 29.9,5,54.0
"Cass County(6)",31025,***,19.3 ,13, 28,6,52.5
"Red Willow County(6)",31145,***,18.5 ,10.5, 31.4,3,64.0
"Gage County(6)",31067,***,17.2 ,11, 25.9,5,38.0
"Antelope County(6)",31003,***,* ,*, *,3 or fewer,*
"Arthur County(6)",31005,***,* ,*, *,3 or fewer,*
"Banner County(6)",31007,***,* ,*, *,3 or fewer,*
"Blaine County(6)",31009,***,* ,*, *,3 or fewer,*
"Boone County(6)",31011,***,* ,*, *,3 or fewer,*
"Boyd County(6)",31015,***,* ,*, *,3 or fewer,*
"Brown County(6)",31017,***,* ,*, *,3 or fewer,*
"Butler County(6)",31023,***,* ,*, *,3 or fewer,*
"Chase County(6)",31029,***,* ,*, *,3 or fewer,*
"Cherry County(6)",31031,***,* ,*, *,3 or fewer,*
"Cheyenne County(6)",31033,***,* ,*, *,3 or fewer,*
"Clay County(6)",31035,***,* ,*, *,3 or fewer,*
"Colfax County(6)",31037,***,* ,*, *,3 or fewer,*
"Custer County(6)",31041,***,* ,*, *,3 or fewer,*
"Dawes County(6)",31045,***,* ,*, *,3 or fewer,*
"Deuel County(6)",31049,***,* ,*, *,3 or fewer,*
