------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=33&areatype=county&topic=pov&demo=00008&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '33', 'areatype': 'county', 'topic': 'pov', 'demo': '00008', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_029.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=33&areatype=county&topic=pov&demo=00008&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for New Hampshire by County
Poverty: Persons below poverty
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Below Poverty),Rank within US
"New Hampshire",33000,8.1,104470,"1 of 52"
"United States",00000,14.6,45650345,"N/A"
"Rockingham County",33015,4.8,14402,"30 of 3141"
"Merrimack County",33013,7.7,10899,"204 of 3141"
"Hillsborough County",33011,8.6,34076,"299 of 3141"
"Belknap County",33001,9.1,5421,"382 of 3141"
"Carroll County",33003,9.2,4313,"390 of 3141"
"Sullivan County",33019,9.4,3953,"417 of 3141"
"Strafford County",33017,9.5,11127,"445 of 3141"
"Cheshire County",33005,10.2,7297,"572 of 3141"
"Grafton County",33009,10.9,8993,"691 of 3141"
"Coos County",33007,13.3,3989,"1191 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:17 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Poverty: Persons below poverty, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#poverty."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
