------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=34&areatype=county&topic=ed&demo=00006&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '34', 'areatype': 'county', 'topic': 'ed', 'demo': '00006', 'race': '00', 'sex': '0', 'age': '081', 'type': 'manyareacensus', 'file_name': 'demographics_003.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=34&areatype=county&topic=ed&demo=00006&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for New Jersey by County
Education: At least bachelors degree
Population Ages 25+
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Education: At Least Bachelors Degree),Rank within US
"United States",00000,30.9,66887603,"N/A"
"New Jersey",34000,38.1,2347836,"6 of 52"
"Cumberland County",34011,14.4,15013,"2437 of 3141"
"Salem County",34033,21.0,9318,"1224 of 3141"
"Atlantic County",34001,26.6,49782,"687 of 3141"
"Passaic County",34031,27.0,90767,"645 of 3141"
"Ocean County",34029,28.4,115279,"567 of 3141"
"Gloucester County",34015,31.0,61556,"424 of 3141"
"Camden County",34007,31.1,108300,"418 of 3141"
"Cape May County",34009,31.3,21887,"407 of 3141"
"Warren County",34041,31.7,23844,"390 of 3141"
"Essex County",34013,34.0,181918,"301 of 3141"
"Union County",34039,34.1,128449,"296 of 3141"
"Sussex County",34037,34.4,34751,"289 of 3141"
"Burlington County",34005,36.8,115295,"224 of 3141"
"Hudson County",34017,39.3,189467,"173 of 3141"
"Mercer County",34021,41.5,103725,"134 of 3141"
"Middlesex County",34023,42.0,240684,"123 of 3141"
"Monmouth County",34025,44.0,191894,"101 of 3141"
"Bergen County",34003,47.9,315920,"64 of 3141"
"Hunterdon County",34019,50.7,44921,"42 of 3141"
"Morris County",34027,52.6,182679,"34 of 3141"
"Somerset County",34035,53.1,122387,"31 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:18 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Education: At least bachelors degree, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#education."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
