------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=35&areatype=county&topic=pop&demo=00024&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '35', 'areatype': 'county', 'topic': 'pop', 'demo': '00024', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_020.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=35&areatype=county&topic=pop&demo=00024&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for New Mexico by County
Population: Asian / Pacific Islander
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (API),Rank within US
"New Mexico",35000,1.5,31381,"42 of 52"
"United States",00000,5.5,17756436,"N/A"
"Guadalupe County",35019,0.0,0,"2927 of 3141"
"Harding County",35021,0.0,0,"2927 of 3141"
"Hidalgo County",35023,0.0,0,"2927 of 3141"
"Mora County",35033,0.0,0,"2927 of 3141"
"Union County",35059,0.0,1,"2907 of 3141"
"Lea County",35025,0.1,67,"2784 of 3141"
"Torrance County",35057,0.2,32,"2567 of 3141"
"De Baca County",35011,0.2,5,"2493 of 3141"
"Grant County",35017,0.3,85,"2392 of 3141"
"Taos County",35055,0.3,106,"2338 of 3141"
"Catron County",35003,0.3,12,"2304 of 3141"
"Colfax County",35007,0.3,43,"2287 of 3141"
"Rio Arriba County",35039,0.4,165,"2100 of 3141"
"Cibola County",35006,0.5,130,"1930 of 3141"
"Eddy County",35015,0.5,279,"1902 of 3141"
"Sierra County",35051,0.5,58,"1848 of 3141"
"Roosevelt County",35041,0.5,100,"1840 of 3141"
"Lincoln County",35027,0.5,103,"1816 of 3141"
"Luna County",35029,0.5,130,"1794 of 3141"
"San Juan County",35045,0.7,845,"1547 of 3141"
"Valencia County",35061,0.8,586,"1336 of 3141"
"Chaves County",35005,0.8,521,"1303 of 3141"
"Quay County",35037,0.9,72,"1236 of 3141"
"Dona Ana County",35013,1.0,2139,"1078 of 3141"
"McKinley County",35031,1.0,745,"1050 of 3141"
"Santa Fe County",35049,1.4,1997,"798 of 3141"
"San Miguel County",35047,1.4,389,"783 of 3141"
"Otero County",35035,1.5,958,"728 of 3141"
"Sandoval County",35043,1.6,2177,"677 of 3141"
"Curry County",35009,1.7,843,"636 of 3141"
"Socorro County",35053,2.2,374,"488 of 3141"
"Bernalillo County",35001,2.6,17345,"406 of 3141"
"Los Alamos County",35028,6.0,1074,"120 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:18 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Asian / Pacific Islander, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
