------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/deathrates/index.php?stateFIPS=36&areatype=county&cancer=001&race=00&sex=2&age=001&type=death&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '36', 'areatype': 'county', 'cancer': '001', 'race': '00', 'sex': '2', 'age': '001', 'type': 'death', 'file_name': 'deathrates_032.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/deathrates/index.php?stateFIPS=36&areatype=county&cancer=001&race=00&sex=2&age=001&type=death&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Death Rate Report for New York by County

"All Cancer Sites, 2012-2016"

"All Races (includes Hispanic), Female, All Ages"

Sorted by Rate

County, FIPS,Met Healthy People Objective of 161.4?,"Age-Adjusted Death Rate(†) - deaths per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Death Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"New York",36000,Yes,132.4 ,131.5, 133.3,17726,falling,-1.6 ,-1.6, -1.5
"United States",00000,Yes,137.7 ,137.4, 137.9,280047,falling,-1.4 ,-1.5, -1.4
"Wayne County",36117,No,168.7 ,154.4, 184.1,108,stable,-0.5 ,-1.0, 0.1
"Hamilton County",36041,No,165 ,115, 239.8,8,stable,-1.2 ,-2.8, 0.4
"Seneca County",36099,No,165 ,141.9, 191.1,40,stable,-0.7 ,-1.7, 0.3
"Jefferson County",36045,No,163.7 ,149.4, 179,100,falling,-0.8 ,-1.3, -0.3
"Schuyler County",36097,No,163.4 ,133.5, 198.9,22,stable,-0.4 ,-1.7, 0.8
"Chenango County",36017,No,161.7 ,143.1, 182.2,59,stable,0.0 ,-0.6, 0.6
"Wyoming County",36121,Yes,161.3 ,139.7, 185.6,42,stable,-0.1 ,-0.8, 0.5
"St. Lawrence County",36089,Yes,160.3 ,147.2, 174.2,117,falling,-0.8 ,-1.5, -0.2
"Orleans County",36073,Yes,159.7 ,139.3, 182.5,46,falling,-1.2 ,-2.0, -0.4
"Rensselaer County",36083,Yes,156.7 ,146.1, 168,170,falling,-1.6 ,-2.1, -1.1
"Sullivan County",36105,Yes,154.5 ,139.2, 171.1,79,falling,-1.5 ,-2.1, -0.8
"Erie County",36029,Yes,154.5 ,150.2, 158.8,1085,falling,-1.0 ,-1.2, -0.8
"Yates County",36123,Yes,153 ,127.9, 182.1,28,falling,-1.1 ,-1.7, -0.5
"Steuben County",36101,Yes,152.9 ,140, 166.8,110,falling,-0.8 ,-1.3, -0.3
"Fulton County",36035,Yes,152.6 ,135.7, 171.2,64,falling,-1.0 ,-1.7, -0.2
"Oswego County",36075,Yes,152.4 ,139.9, 165.8,115,falling,-0.9 ,-1.4, -0.4
"Allegany County",36003,Yes,152.4 ,133.8, 173,51,falling,-1.4 ,-2.1, -0.7
"Warren County",36113,Yes,152 ,137.1, 168.3,82,falling,-0.8 ,-1.3, -0.2
"Washington County",36115,Yes,151.6 ,135.5, 169.4,68,falling,-1.1 ,-1.7, -0.5
"Greene County",36039,Yes,151.6 ,133.7, 171.6,57,falling,-1.2 ,-1.9, -0.5
"Onondaga County",36067,Yes,150.5 ,144.4, 156.8,493,falling,-1.0 ,-1.2, -0.7
"Delaware County",36025,Yes,148 ,130.6, 167.4,58,falling,-1.3 ,-2.0, -0.5
"Chemung County",36015,Yes,147.9 ,134.7, 162.1,99,falling,-1.1 ,-1.7, -0.6
"Essex County",36031,Yes,147.5 ,128.8, 168.9,48,falling,-1.8 ,-2.6, -1.0
"Franklin County",36033,Yes,147.5 ,128.9, 168.2,47,falling,-1.2 ,-1.9, -0.4
"Genesee County",36037,Yes,146.7 ,130.4, 164.8,63,falling,-0.8 ,-1.5, -0.1
"Cattaraugus County",36009,Yes,145.6 ,131.4, 161.1,82,falling,-1.1 ,-1.7, -0.4
"Chautauqua County",36013,Yes,145.5 ,134.8, 156.9,149,falling,-0.7 ,-1.2, -0.3
"Schenectady County",36093,Yes,145.4 ,135.3, 156.2,168,falling,-1.3 ,-1.7, -0.8
"Tompkins County",36109,Yes,145 ,130.9, 160.4,82,falling,-0.8 ,-1.3, -0.4
"Niagara County",36063,Yes,144.7 ,136.2, 153.6,233,falling,-0.9 ,-1.2, -0.5
