------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=36&areatype=county&cancer=071&race=00&sex=0&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '36', 'areatype': 'county', 'cancer': '071', 'race': '00', 'sex': '0', 'age': '001', 'type': 'incd', 'file_name': 'incidencerates_001.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=36&areatype=county&cancer=071&race=00&sex=0&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Incidence Rate Report for New York by County

"Bladder (All Stages^), 2012-2016"

"All Races (includes Hispanic), Both Sexes, All Ages"

Sorted by Rate

County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"New York(7,8)",36000,***,23 ,22.7, 23.2,5370,falling,-0.8 ,-1.2, -0.3
"US (SEER+NPCR)(1,10)",00000,***,20.1 ,20.1, 20.2,73697,falling,-2.1 ,-2.9, -1.2
"Fulton County(7,8)",36035,***,37.7 ,31.6, 44.9,27,stable,0.1 ,-1.9, 2.1
"Niagara County(7,8)",36063,***,34.1 ,31.1, 37.3,100,rising,1.2 ,0.2, 2.3
"Orleans County(7,8)",36073,***,33.2 ,26.6, 41.1,18,stable,0.7 ,-2.1, 3.7
"Saratoga County(7,8)",36091,***,32.6 ,29.6, 35.8,91,stable,-0.1 ,-1.7, 1.5
"Montgomery County(7,8)",36057,***,32.2 ,26.4, 39.2,22,stable,2.2 ,-1.0, 5.5
"St. Lawrence County(7,8)",36089,***,32.1 ,27.9, 36.8,44,stable,0.6 ,-1.2, 2.5
"Schoharie County(7,8)",36095,***,30.7 ,23.9, 39.1,14,stable,0.5 ,-2.4, 3.5
"Chautauqua County(7,8)",36013,***,30.4 ,26.9, 34.3,56,stable,0.5 ,-0.9, 1.8
"Wayne County(7,8)",36117,***,30.4 ,26.1, 35.3,37,stable,0.3 ,-1.7, 2.4
"Genesee County(7,8)",36037,***,30.4 ,25.2, 36.5,24,stable,1.3 ,-1.9, 4.7
"Allegany County(7,8)",36003,***,30.3 ,24.4, 37.4,19,stable,1.1 ,-0.6, 2.8
"Schuyler County(7,8)",36097,***,30.2 ,21.4, 41.8,8,stable,2.6 ,-1.3, 6.5
"Madison County(7,8)",36053,***,30 ,25.2, 35.6,28,stable,0.1 ,-1.1, 1.3
"Greene County(7,8)",36039,***,29.9 ,24.4, 36.4,22,stable,-2.1 ,-5.0, 0.9
"Erie County(7,8)",36029,***,29.3 ,28, 30.8,356,falling,-1.9 ,-3.7, -0.1
"Jefferson County(7,8)",36045,***,29.2 ,24.8, 34.1,32,stable,0.1 ,-1.6, 1.9
"Chemung County(7,8)",36015,***,29.2 ,24.9, 34,35,stable,-1.1 ,-3.0, 0.8
"Rensselaer County(7,8)",36083,***,29 ,25.7, 32.7,57,stable,0.3 ,-1.5, 2.2
"Suffolk County(7,8)",36103,***,28.9 ,27.8, 30,525,stable,-0.4 ,-0.9, 0.1
