------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=36&areatype=county&cancer=053&race=00&sex=0&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '36', 'areatype': 'county', 'cancer': '053', 'race': '00', 'sex': '0', 'age': '001', 'type': 'incd', 'file_name': 'incidencerates_014.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=36&areatype=county&cancer=053&race=00&sex=0&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Incidence Rate Report for New York by County

"Melanoma of the Skin (All Stages^), 2012-2016"

"All Races (includes Hispanic), Both Sexes, All Ages"

Sorted by Rate

County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"New York(7,8)",36000,***,18.1 ,17.8, 18.4,4104,stable,1.0 ,-0.2, 2.2
"US (SEER+NPCR)(1,10)",00000,***,21.8 ,21.7, 21.8,77698,rising,2.2 ,0.3, 4.1
"Yates County(7,8)",36123,***,35.2 ,25.7, 47.2,10,rising,5.6 ,0.9, 10.5
"Orleans County(7,8)",36073,***,33.8 ,26.6, 42.5,16,rising,9.3 ,5.2, 13.5
"Schuyler County(7,8)",36097,***,33.5 ,23.8, 46.3,8,rising,5.3 ,1.0, 9.6
"Ontario County(7,8)",36069,***,30.6 ,26.3, 35.3,42,rising,5.3 ,2.3, 8.3
"Otsego County(7,8)",36077,***,29 ,23.6, 35.3,23,rising,3.4 ,0.4, 6.5
"Niagara County(7,8)",36063,***,28.9 ,25.9, 32.1,78,rising,5.5 ,3.7, 7.3
"Cayuga County(7,8)",36011,***,28.4 ,23.7, 33.8,28,rising,4.5 ,1.8, 7.4
"Chenango County(7,8)",36017,***,28.3 ,22.5, 35.3,18,rising,4.9 ,0.9, 9.1
"Erie County(7,8)",36029,***,28.3 ,26.9, 29.8,317,rising,6.3 ,5.1, 7.6
"Saratoga County(7,8)",36091,***,27.8 ,25, 30.8,76,rising,5.4 ,3.9, 6.9
"Livingston County(7,8)",36051,***,27.5 ,22.2, 33.7,21,rising,6.7 ,4.4, 9.1
"Warren County(7,8)",36113,***,27.4 ,22.5, 33,24,stable,0.7 ,-1.8, 3.2
"Broome County(7,8)",36007,***,27.2 ,24.2, 30.5,66,rising,4.4 ,3.1, 5.8
"Schoharie County(7,8)",36095,***,26.8 ,19.9, 35.4,11,stable,4.1 ,-0.8, 9.3
"Suffolk County(7,8)",36103,***,26.5 ,25.5, 27.7,475,stable,0.3 ,-2.4, 3.1
"Chautauqua County(7,8)",36013,***,26.5 ,22.9, 30.4,44,rising,3.2 ,1.2, 5.1
"Monroe County(7,8)",36055,***,26.3 ,24.8, 28,226,stable,2.1 ,-2.1, 6.6
"Lewis County(7,8)",36049,***,26.3 ,18.8, 35.9,9,stable,4.0 ,-0.3, 8.6
"Tioga County(7,8)",36107,***,26.2 ,20.6, 32.9,16,stable,3.5 ,-1.3, 8.6
