------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=36&areatype=county&cancer=001&race=06&sex=0&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '36', 'areatype': 'county', 'cancer': '001', 'race': '06', 'sex': '0', 'age': '001', 'type': 'incd', 'file_name': 'incidencerates_025.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=36&areatype=county&cancer=001&race=06&sex=0&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Incidence Rate Report for New York by County

"All Cancer Sites (All Stages^), 2012-2016"

"White Hispanic, Both Sexes, All Ages"

Sorted by Rate

County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"New York(7,8)",36000,***,392.8 ,389, 396.5,8946,falling,-2.5 ,-3.1, -1.9
"US (SEER+NPCR) &sect; (1,10)",00000,***,345.6 ,344.7, 346.5,116172,falling,-1.7 ,-2.8, -0.6
"Chautauqua County(7,8)",36013,***,817.7 ,675.8, 977.7,32,stable,2.1 ,-0.2, 4.3
"Jefferson County(7,8)",36045,***,808.6 ,526.1, 1169.1,9,stable,2.1 ,-4.3, 8.9
"Genesee County(7)",36037,***,645.6 ,371.9, 1021.7,4,*,*,*,*
"Oswego County(7,8)",36075,***,616 ,398.4, 896.7,6,stable,5.2 ,-1.3, 12.2
"Steuben County(7,8)",36101,***,612.8 ,388.3, 910.7,5,rising,7.3 ,1.3, 13.6
"Chenango County(7)",36017,***,576 ,342.5, 898.7,4,*,*,*,*
"Monroe County(7,8)",36055,***,553.2 ,513.6, 594.9,163,stable,0.7 ,-0.8, 2.1
"Niagara County(7,8)",36063,***,528.6 ,402.2, 678.5,14,stable,0.6 ,-4.0, 5.4
"Greene County(7,8)",36039,***,528.4 ,361.9, 739.8,7,stable,-1.0 ,-5.8, 4.1
"Richmond County(7,8)",36085,***,500.1 ,470.7, 530.7,249,stable,-0.3 ,-1.1, 0.5
"Chemung County(7)",36015,***,497.7 ,309.2, 747.8,5,*,*,*,*
"Wayne County(7,8)",36117,***,484 ,345.8, 654.3,9,stable,1.1 ,-3.2, 5.6
"Schenectady County(7,8)",36093,***,480.6 ,381.3, 595.8,19,stable,-1.1 ,-4.2, 2.1
"Columbia County(7,8)",36021,***,478.6 ,330.6, 666.2,8,stable,0.5 ,-4.0, 5.2
"Montgomery County(7,8)",36057,***,476.5 ,373.9, 596.7,17,stable,-2.4 ,-5.9, 1.2
"Putnam County(7,8)",36079,***,451.6 ,382, 529.2,37,stable,-0.7 ,-3.6, 2.4
"Suffolk County(7,8)",36103,***,431.7 ,415.7, 448,668,falling,-1.4 ,-1.9, -1.0
"Nassau County(7,8)",36059,***,426.2 ,409.9, 443,585,falling,-0.8 ,-1.3, -0.4
"Rockland County(7,8)",36087,***,426.1 ,392, 462,131,stable,-0.8 ,-2.6, 1.0
"Bronx County(7,8)",36005,***,419 ,410.4, 427.6,1890,falling,-2.9 ,-3.8, -2.1
"Ulster County(7,8)",36111,***,410.4 ,354.2, 472.5,42,stable,-1.2 ,-3.3, 1.0
"Warren County(7)",36113,***,409.2 ,247.1, 632.2,4,*,*,*,*
"Oneida County(7,8)",36065,***,408 ,333.4, 493.2,24,stable,0.0 ,-3.0, 3.0
"Otsego County(7)",36077,***,407 ,239.6, 637,4,*,*,*,*
