------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=36&areatype=county&cancer=080&stage=211&race=00&sex=0&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '36', 'areatype': 'county', 'cancer': '080', 'stage': '211', 'race': '00', 'sex': '0', 'age': '001', 'type': 'incd', 'file_name': 'incidencerates_057.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=36&areatype=county&cancer=080&stage=211&race=00&sex=0&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Incidence Rate Report for New York by County

"Thyroid (Late Stage^), 2012-2016"

"All Races (includes Hispanic), Both Sexes, All Ages"

Sorted by Rate

County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Percent of Cases with Late Stage
"New York(3)",36000,***,6.5 ,6.3, 6.7,1352,32.3
"US (SEER+NPCR)(1)",00000,***,4.4 ,4.4, 4.4,14481,29.9
"Putnam County(7)",36079,***,10.9 ,8.1, 14.5,11,38.1
"Richmond County(7)",36085,***,10.5 ,9.2, 11.9,52,29.2
"Greene County(7)",36039,***,8.8 ,5.4, 13.5,5,36.5
"Nassau County(7)",36059,***,8.5 ,7.9, 9.3,122,35.3
"Suffolk County(7)",36103,***,8.5 ,7.9, 9.2,135,35.4
"Warren County(7)",36113,***,8 ,5.1, 12,5,30.0
"Queens County(7)",36081,***,7.5 ,7.1, 8,189,37.1
"Kings County(7)",36047,***,7.3 ,6.8, 7.8,196,33.4
"Westchester County(7)",36119,***,7.2 ,6.4, 8,73,32.9
"Orange County(7)",36071,***,6.9 ,5.7, 8.2,24,27.9
"Albany County(7)",36001,***,6.8 ,5.5, 8.2,22,36.2
"New York County(7)",36061,***,6.7 ,6.2, 7.3,123,34.8
"Dutchess County(7)",36027,***,6.6 ,5.4, 8,21,35.1
"Saratoga County(7)",36091,***,6.4 ,5, 8.1,15,28.5
"Rockland County(7)",36087,***,6 ,4.8, 7.4,20,28.1
"Ulster County(7)",36111,***,5.8 ,4.4, 7.6,12,38.5
"Monroe County(7)",36055,***,5.8 ,5.1, 6.7,46,37.7
"Washington County(7)",36115,***,5.7 ,3.4, 9.1,4,30.2
"Columbia County(7)",36021,***,5.6 ,3.3, 9.1,4,32.8
"Erie County(7)",36029,***,5.3 ,4.7, 6,52,27.7
"Herkimer County(7)",36043,***,5.3 ,3.1, 8.5,4,32.1
"Oneida County(7)",36065,***,5.1 ,3.9, 6.6,13,29.1
"Chautauqua County(7)",36013,***,5.1 ,3.4, 7.2,7,27.3
"Steuben County(7)",36101,***,4.9 ,3.2, 7.3,5,37.5
"Schenectady County(7)",36093,***,4.8 ,3.4, 6.7,8,28.3
"Cattaraugus County(7)",36009,***,4.8 ,2.8, 7.7,4,28.4
"Sullivan County(7)",36105,***,4.7 ,2.8, 7.4,4,28.6
"Onondaga County(7)",36067,***,4.6 ,3.7, 5.5,22,25.3
"Clinton County(7)",36019,***,4.4 ,2.6, 7.1,4,23.7
"Niagara County(7)",36063,***,4.4 ,3.2, 5.9,11,27.9
"Wayne County(7)",36117,***,4.3 ,2.7, 6.6,5,39.0
"Broome County(7)",36007,***,4.3 ,3, 5.9,8,19.7
"Chemung County(7)",36015,***,4.3 ,2.5, 6.9,3,22.7
"Rensselaer County(7)",36083,***,4.2 ,2.9, 5.8,7,29.5
"Bronx County(7)",36005,***,4.1 ,3.6, 4.6,58,24.6
"Oswego County(7)",36075,***,3.9 ,2.4, 5.8,5,24.0
"Ontario County(7)",36069,***,3.8 ,2.3, 5.9,4,30.6
"St. Lawrence County(7)",36089,***,3.4 ,2, 5.4,4,28.4
"Allegany County(7)",36003,***,* ,*, *,3 or fewer,*
"Cayuga County(7)",36011,***,* ,*, *,3 or fewer,*
"Chenango County(7)",36017,***,* ,*, *,3 or fewer,*
"Cortland County(7)",36023,***,* ,*, *,3 or fewer,*
"Delaware County(7)",36025,***,* ,*, *,3 or fewer,*
"Essex County(7)",36031,***,* ,*, *,3 or fewer,*
