------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/deathrates/index.php?stateFIPS=37&areatype=county&cancer=035&race=00&sex=0&age=001&type=death&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '37', 'areatype': 'county', 'cancer': '035', 'race': '00', 'sex': '0', 'age': '001', 'type': 'death', 'file_name': 'deathrates_011.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/deathrates/index.php?stateFIPS=37&areatype=county&cancer=035&race=00&sex=0&age=001&type=death&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Death Rate Report for North Carolina by County

"Liver & Bile Duct, 2012-2016"

"All Races (includes Hispanic), Both Sexes, All Ages"

Sorted by Rate

County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Death Rate(†) - deaths per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Death Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"North Carolina",37000,***,6.5 ,6.3, 6.7,779,rising,3.3 ,3.0, 3.6
"United States",00000,***,6.5 ,6.5, 6.6,24806,rising,1.3 ,0.6, 1.9
"Martin County",37117,***,11.8 ,7.1, 19,4,*,*,*,*
"Person County",37145,***,10.9 ,7.2, 16.1,6,*,*,*,*
"Vance County",37181,***,10.4 ,7.1, 14.8,7,*,*,*,*
"Northampton County",37131,***,9.8 ,5.8, 16.5,4,*,*,*,*
"Richmond County",37153,***,9.8 ,6.5, 14.4,6,rising,3.6 ,1.4, 5.9
"Anson County",37007,***,9.4 ,5.3, 15.6,3,*,*,*,*
"Rockingham County",37157,***,9.3 ,7.1, 12.2,12,*,*,*,*
"Nash County",37127,***,9.1 ,6.8, 12,11,rising,5.0 ,3.2, 6.9
"Gaston County",37071,***,9 ,7.4, 10.8,24,rising,4.3 ,2.8, 5.7
"Craven County",37049,***,8.6 ,6.5, 11.2,12,*,*,*,*
"Scotland County",37165,***,8.4 ,5, 13.4,4,*,*,*,*
"Davie County",37059,***,8.2 ,5.4, 12.4,5,*,*,*,*
"Alexander County",37003,***,8.1 ,5, 12.8,4,*,*,*,*
"Stokes County",37169,***,8.1 ,5.3, 12.1,5,*,*,*,*
"Cleveland County",37045,***,8 ,5.9, 10.6,10,*,*,*,*
"Wilson County",37195,***,7.9 ,5.7, 10.8,9,*,*,*,*
"Caldwell County",37027,***,7.6 ,5.4, 10.4,9,*,*,*,*
"Davidson County",37057,***,7.6 ,6, 9.5,16,rising,4.3 ,2.5, 6.2
"Burke County",37023,***,7.5 ,5.4, 10.2,9,*,*,*,*
"Alamance County",37001,***,7.5 ,5.9, 9.4,15,rising,4.2 ,1.8, 6.6
"Buncombe County",37021,***,7.4 ,6.2, 8.9,26,rising,3.4 ,2.0, 4.8
"Pitt County",37147,***,7.4 ,5.6, 9.5,13,rising,3.6 ,1.7, 5.6
"Cumberland County",37051,***,7.4 ,6, 8.9,23,rising,3.3 ,1.7, 5.0
"Harnett County",37085,***,7.4 ,5.3, 9.9,9,rising,2.3 ,0.3, 4.4
"Moore County",37125,***,7.2 ,5.4, 9.5,11,*,*,*,*
"Surry County",37171,***,7.1 ,5, 10.1,7,*,*,*,*
"Durham County",37063,***,7.1 ,5.8, 8.7,21,rising,3.0 ,1.7, 4.3
"Beaufort County",37013,***,7.1 ,4.6, 10.7,5,*,*,*,*
"Bladen County",37017,***,7.1 ,4, 11.9,3,*,*,*,*
"Granville County",37077,***,7 ,4.6, 10.5,5,*,*,*,*
"New Hanover County",37129,***,6.9 ,5.6, 8.5,19,rising,3.5 ,1.4, 5.8
"Mecklenburg County",37119,***,6.9 ,6.1, 7.7,65,rising,2.9 ,2.0, 3.8
"Sampson County",37163,***,6.8 ,4.5, 9.9,6,*,*,*,*
"Stanly County",37167,***,6.7 ,4.4, 10,5,rising,2.5 ,0.3, 4.8
"Lincoln County",37109,***,6.7 ,4.7, 9.5,7,*,*,*,*
"Franklin County",37069,***,6.7 ,4.4, 9.8,6,*,*,*,*
"Lenoir County",37107,***,6.7 ,4.4, 9.9,6,stable,2.0 ,-0.7, 4.8
"Cherokee County",37039,***,6.6 ,3.6, 11.8,3,*,*,*,*
"Jackson County",37099,***,6.6 ,3.7, 11.1,3,*,*,*,*
"Halifax County",37083,***,6.6 ,4.3, 9.9,5,*,*,*,*
"Guilford County",37081,***,6.6 ,5.7, 7.6,39,rising,3.5 ,2.4, 4.6
"Wayne County",37191,***,6.5 ,4.9, 8.6,10,*,*,*,*
"Onslow County",37133,***,6.4 ,4.6, 8.7,8,*,*,*,*
"Forsyth County",37067,***,6.4 ,5.4, 7.6,29,rising,3.7 ,2.5, 5.0
"Columbus County",37047,***,6.4 ,4.1, 9.5,5,*,*,*,*
"Randolph County",37151,***,6.2 ,4.7, 8.2,11,rising,4.0 ,2.4, 5.5
"Catawba County",37035,***,6.1 ,4.7, 7.9,12,stable,1.8 ,-3.4, 7.2
"Cabarrus County",37025,***,6.1 ,4.7, 7.9,13,rising,2.3 ,0.4, 4.2
"Yadkin County",37197,***,6 ,3.4, 10,3,*,*,*,*
"Henderson County",37089,***,5.9 ,4.3, 8,10,*,*,*,*
"Rowan County",37159,***,5.9 ,4.4, 7.8,10,rising,3.7 ,1.5, 6.0
"Duplin County",37061,***,5.9 ,3.7, 9,5,*,*,*,*
"Brunswick County",37019,***,5.8 ,4.3, 7.8,11,stable,-0.5 ,-3.0, 2.1
"Iredell County",37097,***,5.7 ,4.4, 7.4,12,rising,2.6 ,0.3, 5.0
"Rutherford County",37161,***,5.7 ,3.8, 8.4,6,stable,2.7 ,0.0, 5.6
"Wake County",37183,***,5.7 ,5, 6.5,50,rising,3.6 ,2.5, 4.8
"Robeson County",37155,***,5.7 ,4.1, 7.7,9,rising,3.4 ,1.0, 5.8
"Lee County",37105,***,5.6 ,3.4, 8.9,4,*,*,*,*
"Haywood County",37087,***,5.4 ,3.6, 8.1,6,*,*,*,*
"McDowell County",37111,***,5.4 ,3.2, 8.7,4,*,*,*,*
"Pender County",37141,***,5.3 ,3.2, 8.4,4,*,*,*,*
"Edgecombe County",37065,***,5.2 ,3.1, 8.2,4,*,*,*,*
