------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=37&areatype=county&topic=inc&demo=00010&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '37', 'areatype': 'county', 'topic': 'inc', 'demo': '00010', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_004.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=37&areatype=county&topic=inc&demo=00010&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for North Carolina by County
Income: Median family income
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Dollars),Rank within US
"North Carolina",37000,62195.000000000,"40 of 52"
"United States",00000,70850.000000000,"N/A"
"Tyrrell County",37177,40439.000000000,"3024 of 3141"
"Robeson County",37155,40536.000000000,"3022 of 3141"
"Richmond County",37153,40794.000000000,"3009 of 3141"
"Northampton County",37131,41132.000000000,"2995 of 3141"
"Scotland County",37165,41396.000000000,"2982 of 3141"
"Bertie County",37015,42392.000000000,"2943 of 3141"
"Edgecombe County",37065,42405.000000000,"2941 of 3141"
"Halifax County",37083,42579.000000000,"2938 of 3141"
"Hertford County",37091,43418.000000000,"2906 of 3141"
"Duplin County",37061,43675.000000000,"2895 of 3141"
"Martin County",37117,43801.000000000,"2892 of 3141"
"Hyde County",37095,44038.000000000,"2880 of 3141"
"Swain County",37173,44885.000000000,"2841 of 3141"
"Alleghany County",37005,45078.000000000,"2835 of 3141"
"Vance County",37181,45302.000000000,"2821 of 3141"
"Avery County",37011,45807.000000000,"2791 of 3141"
"Bladen County",37017,45809.000000000,"2790 of 3141"
"McDowell County",37111,46201.000000000,"2762 of 3141"
"Anson County",37007,46261.000000000,"2755 of 3141"
"Sampson County",37163,46384.000000000,"2745 of 3141"
"Graham County",37075,46551.000000000,"2735 of 3141"
"Columbus County",37047,46723.000000000,"2725 of 3141"
"Clay County",37043,47136.000000000,"2701 of 3141"
"Jones County",37103,47197.000000000,"2695 of 3141"
"Rutherford County",37161,47796.000000000,"2658 of 3141"
"Washington County",37187,47851.000000000,"2656 of 3141"
"Warren County",37185,48125.000000000,"2640 of 3141"
"Cherokee County",37039,48138.000000000,"2638 of 3141"
"Lenoir County",37107,48262.000000000,"2633 of 3141"
"Chowan County",37041,49248.000000000,"2568 of 3141"
"Wilkes County",37193,49310.000000000,"2565 of 3141"
"Cleveland County",37045,49448.000000000,"2552 of 3141"
"Ashe County",37009,49846.000000000,"2521 of 3141"
"Perquimans County",37143,50223.000000000,"2492 of 3141"
"Surry County",37171,50245.000000000,"2490 of 3141"
"Yancey County",37199,50285.000000000,"2484 of 3141"
"Montgomery County",37123,50787.000000000,"2427 of 3141"
"Caswell County",37033,50848.000000000,"2422 of 3141"
"Yadkin County",37197,50864.000000000,"2421 of 3141"
"Greene County",37079,50922.000000000,"2416 of 3141"
"Burke County",37023,50962.000000000,"2411 of 3141"
"Macon County",37113,51105.000000000,"2400 of 3141"
"Caldwell County",37027,51132.000000000,"2398 of 3141"
"Hoke County",37093,51560.000000000,"2359 of 3141"
"Rockingham County",37157,52090.000000000,"2303 of 3141"
"Wayne County",37191,52507.000000000,"2259 of 3141"
"Wilson County",37195,52533.000000000,"2255 of 3141"
"Madison County",37115,52548.000000000,"2254 of 3141"
"Alexander County",37003,52770.000000000,"2227 of 3141"
"Cumberland County",37051,52903.000000000,"2218 of 3141"
"Mitchell County",37121,53071.000000000,"2203 of 3141"
"Randolph County",37151,53203.000000000,"2198 of 3141"
"Transylvania County",37175,53407.000000000,"2185 of 3141"
"Onslow County",37133,53611.000000000,"2166 of 3141"
"Stokes County",37169,54149.000000000,"2125 of 3141"
"Beaufort County",37013,54925.000000000,"2063 of 3141"
"Franklin County",37069,55985.000000000,"1963 of 3141"
"Davidson County",37057,56855.000000000,"1880 of 3141"
"Haywood County",37087,56859.000000000,"1878 of 3141"
"Pamlico County",37137,56919.000000000,"1876 of 3141"
"Alamance County",37001,56979.000000000,"1868 of 3141"
"Polk County",37149,57113.000000000,"1856 of 3141"
"Jackson County",37099,57134.000000000,"1854 of 3141"
"Rowan County",37159,57152.000000000,"1852 of 3141"
"Stanly County",37167,57153.000000000,"1851 of 3141"
"Gaston County",37071,57309.000000000,"1834 of 3141"
"Craven County",37049,57991.000000000,"1762 of 3141"
"Person County",37145,58161.000000000,"1745 of 3141"
"Lee County",37105,58523.000000000,"1711 of 3141"
"Nash County",37127,58840.000000000,"1683 of 3141"
"Harnett County",37085,59322.000000000,"1632 of 3141"
"Catawba County",37035,60123.000000000,"1536 of 3141"
"Lincoln County",37109,60965.000000000,"1441 of 3141"
"Pitt County",37147,60974.000000000,"1437 of 3141"
"Granville County",37077,61537.000000000,"1387 of 3141"
"Henderson County",37089,62338.000000000,"1310 of 3141"
"Pasquotank County",37139,62381.000000000,"1304 of 3141"
"Forsyth County",37067,62424.000000000,"1301 of 3141"
"Brunswick County",37019,62728.000000000,"1271 of 3141"
"Guilford County",37081,62796.000000000,"1265 of 3141"
"Buncombe County",37021,63477.000000000,"1196 of 3141"
