------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=37&areatype=county&topic=mob&demo=00021&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '37', 'areatype': 'county', 'topic': 'mob', 'demo': '00021', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_012.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=37&areatype=county&topic=mob&demo=00021&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for North Carolina by County
Mobility: Moved from outside US (in past year)
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Moved From Outside US),Rank within US
"North Carolina",37000,0.5,51686,"26 of 51"
"United States",00000,0.7,2074097,"N/A"
"Caswell County",37033,0.0,0,"1 of 3140"
"Chowan County",37041,0.0,0,"1 of 3140"
"Clay County",37043,0.0,0,"1 of 3140"
"Hyde County",37095,0.0,0,"1 of 3140"
"Tyrrell County",37177,0.0,0,"1 of 3140"
"Gates County",37073,0.0,1,"369 of 3140"
"Avery County",37011,0.0,3,"403 of 3140"
"Richmond County",37153,0.0,8,"407 of 3140"
"Perquimans County",37143,0.0,3,"427 of 3140"
"Haywood County",37087,0.0,17,"455 of 3140"
"Alexander County",37003,0.0,12,"478 of 3140"
"Martin County",37117,0.0,9,"518 of 3140"
"Mitchell County",37121,0.0,7,"566 of 3140"
"Halifax County",37083,0.1,26,"583 of 3140"
"Madison County",37115,0.1,12,"613 of 3140"
"Rutherford County",37161,0.1,40,"636 of 3140"
"Cherokee County",37039,0.1,17,"646 of 3140"
"Yancey County",37199,0.1,11,"651 of 3140"
"Alleghany County",37005,0.1,7,"670 of 3140"
"Randolph County",37151,0.1,100,"717 of 3140"
"Davidson County",37057,0.1,115,"718 of 3140"
"Jones County",37103,0.1,7,"730 of 3140"
"Cleveland County",37045,0.1,74,"772 of 3140"
"Northampton County",37131,0.1,16,"783 of 3140"
"Warren County",37185,0.1,16,"793 of 3140"
"Yadkin County",37197,0.1,33,"852 of 3140"
"Rowan County",37159,0.1,140,"933 of 3140"
"Stokes County",37169,0.1,50,"981 of 3140"
"Henderson County",37089,0.1,122,"985 of 3140"
"Stanly County",37167,0.1,70,"1040 of 3140"
"Chatham County",37037,0.1,80,"1059 of 3140"
"Columbus County",37047,0.1,67,"1073 of 3140"
"Gaston County",37071,0.1,255,"1078 of 3140"
"Pasquotank County",37139,0.1,50,"1134 of 3140"
"Pamlico County",37137,0.1,17,"1173 of 3140"
"Wilson County",37195,0.1,117,"1234 of 3140"
"Wilkes County",37193,0.1,99,"1237 of 3140"
"Hertford County",37091,0.1,36,"1261 of 3140"
"Robeson County",37155,0.2,208,"1305 of 3140"
"Lincoln County",37109,0.2,129,"1339 of 3140"
"Anson County",37007,0.2,41,"1344 of 3140"
"Pitt County",37147,0.2,285,"1353 of 3140"
"Camden County",37029,0.2,17,"1371 of 3140"
"Cabarrus County",37025,0.2,331,"1396 of 3140"
"Washington County",37187,0.2,21,"1418 of 3140"
"Macon County",37113,0.2,59,"1420 of 3140"
"Edgecombe County",37065,0.2,97,"1469 of 3140"
"Caldwell County",37027,0.2,150,"1495 of 3140"
"Brunswick County",37019,0.2,233,"1533 of 3140"
"Montgomery County",37123,0.2,53,"1550 of 3140"
"Catawba County",37035,0.2,314,"1592 of 3140"
"Davie County",37059,0.2,86,"1611 of 3140"
"Graham County",37075,0.2,19,"1680 of 3140"
"Polk County",37149,0.2,46,"1701 of 3140"
"Granville County",37077,0.2,135,"1732 of 3140"
"Beaufort County",37013,0.2,109,"1735 of 3140"
"Rockingham County",37157,0.2,218,"1770 of 3140"
"Surry County",37171,0.2,178,"1811 of 3140"
"Johnston County",37101,0.3,469,"1837 of 3140"
"Transylvania County",37175,0.3,85,"1846 of 3140"
"Lenoir County",37107,0.3,153,"1888 of 3140"
"Person County",37145,0.3,104,"1896 of 3140"
"Franklin County",37069,0.3,170,"1898 of 3140"
"Currituck County",37053,0.3,72,"1983 of 3140"
"Buncombe County",37021,0.3,749,"2013 of 3140"
"Union County",37179,0.3,662,"2021 of 3140"
"Duplin County",37061,0.3,181,"2049 of 3140"
"Bladen County",37017,0.3,106,"2066 of 3140"
"Swain County",37173,0.3,45,"2088 of 3140"
"McDowell County",37111,0.3,144,"2097 of 3140"
"Pender County",37141,0.3,194,"2149 of 3140"
"Greene County",37079,0.4,74,"2199 of 3140"
"Watauga County",37189,0.4,190,"2204 of 3140"
"Nash County",37127,0.4,352,"2263 of 3140"
"Sampson County",37163,0.4,239,"2267 of 3140"
"Burke County",37023,0.4,347,"2302 of 3140"
"Forsyth County",37067,0.4,1472,"2324 of 3140"
"Harnett County",37085,0.4,522,"2339 of 3140"
"Vance County",37181,0.4,183,"2353 of 3140"
"Scotland County",37165,0.4,154,"2396 of 3140"
"Guilford County",37081,0.5,2334,"2423 of 3140"
"Ashe County",37009,0.5,122,"2428 of 3140"
"Iredell County",37097,0.5,773,"2436 of 3140"
"Bertie County",37015,0.5,102,"2533 of 3140"
"Alamance County",37001,0.5,810,"2541 of 3140"
"Dare County",37055,0.5,182,"2543 of 3140"
"New Hanover County",37129,0.6,1202,"2605 of 3140"
"Jackson County",37099,0.6,233,"2618 of 3140"
"Moore County",37125,0.6,603,"2717 of 3140"
"Lee County",37105,0.7,404,"2761 of 3140"
"Carteret County",37031,0.7,489,"2801 of 3140"
"Wayne County",37191,0.7,916,"2823 of 3140"
"Wake County",37183,0.8,8299,"2870 of 3140"
"Mecklenburg County",37119,0.9,8693,"2896 of 3140"
"Craven County",37049,1.0,970,"2945 of 3140"
"Cumberland County",37051,1.3,4241,"3030 of 3140"
"Hoke County",37093,1.3,667,"3031 of 3140"
"Durham County",37063,1.3,3974,"3044 of 3140"
"Orange County",37135,1.6,2285,"3072 of 3140"
"Onslow County",37133,1.8,3354,"3082 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:19 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Mobility: Moved from outside US (in past year), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#mobility."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
