------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=37&areatype=county&topic=pop&demo=00029&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '37', 'areatype': 'county', 'topic': 'pop', 'demo': '00029', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_017.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=37&areatype=county&topic=pop&demo=00029&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for North Carolina by County
Population: Age 50 and over
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Age 50 And Over),Rank within US
"United States",00000,34.5,110609456,"N/A"
"North Carolina",37000,34.6,3480230,"32 of 52"
"Onslow County",37133,20.3,39124,"3133 of 3141"
"Hoke County",37093,25.3,13288,"3097 of 3141"
"Cumberland County",37051,27.1,90049,"3044 of 3141"
"Mecklenburg County",37119,27.7,286156,"3005 of 3141"
"Harnett County",37085,28.2,36319,"2978 of 3141"
"Wake County",37183,28.5,291837,"2966 of 3141"
"Pitt County",37147,28.6,50501,"2965 of 3141"
"Durham County",37063,29.3,88266,"2924 of 3141"
"Union County",37179,30.4,67615,"2847 of 3141"
"Orange County",37135,31.0,43895,"2811 of 3141"
"Cabarrus County",37025,31.2,61345,"2795 of 3141"
"Johnston County",37101,31.5,58626,"2772 of 3141"
"Watauga County",37189,32.0,17080,"2730 of 3141"
"Robeson County",37155,32.6,43683,"2666 of 3141"
"Guilford County",37081,33.3,172466,"2587 of 3141"
"Wayne County",37191,34.6,43102,"2419 of 3141"
"Forsyth County",37067,34.6,127636,"2415 of 3141"
"Lee County",37105,34.9,20849,"2377 of 3141"
"New Hanover County",37129,35.4,77931,"2288 of 3141"
"Craven County",37049,35.5,36662,"2285 of 3141"
