------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/deathrates/index.php?stateFIPS=39&areatype=county&cancer=066&race=00&sex=1&age=001&type=death&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '39', 'areatype': 'county', 'cancer': '066', 'race': '00', 'sex': '1', 'age': '001', 'type': 'death', 'file_name': 'deathrates_018.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/deathrates/index.php?stateFIPS=39&areatype=county&cancer=066&race=00&sex=1&age=001&type=death&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Death Rate Report for Ohio by County

"Prostate, 2012-2016"

"All Races (includes Hispanic), Male, All Ages"

Sorted by Rate

County, FIPS,Met Healthy People Objective of 21.8?,"Age-Adjusted Death Rate(†) - deaths per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Death Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Ohio",39000,Yes,19 ,18.5, 19.5,1095,stable,-0.7 ,-4.9, 3.7
"United States",00000,Yes,19.2 ,19.1, 19.3,28497,stable,-0.8 ,-2.1, 0.5
"Holmes County",39075,No,28.1 ,18.1, 41.4,5,stable,-0.3 ,-2.7, 2.0
"Huron County",39077,No,26.6 ,18.8, 36.5,8,stable,-1.6 ,-3.8, 0.6
"Hocking County",39073,No,24.6 ,14.5, 39.2,4,stable,-2.0 ,-4.4, 0.4
"Williams County",39171,No,24.4 ,15.8, 36.1,5,falling,-2.2 ,-4.1, -0.3
"Clinton County",39027,No,23.7 ,15, 35.6,5,falling,-3.3 ,-5.3, -1.3
"Cuyahoga County",39035,No,23.5 ,21.9, 25.3,160,falling,-2.5 ,-3.0, -2.1
"Shelby County",39149,No,23.3 ,15.2, 34,5,stable,-1.7 ,-4.0, 0.7
"Defiance County",39039,No,23.1 ,14.8, 34.6,5,stable,-1.7 ,-4.2, 0.8
"Highland County",39071,No,22.9 ,14.9, 33.9,5,falling,-2.3 ,-4.4, -0.2
"Fulton County",39051,No,22.6 ,14.7, 33.5,5,falling,-3.1 ,-5.2, -1.0
"Geauga County",39055,No,22.5 ,17.1, 29.3,12,falling,-2.9 ,-4.4, -1.3
"Hamilton County",39061,No,22.4 ,20.3, 24.8,82,falling,-2.9 ,-3.6, -2.3
"Morrow County",39117,No,22.4 ,12.9, 35.9,3,*,*,*,*
"Jackson County",39079,No,22.2 ,12.3, 36.5,3,stable,-0.8 ,-3.4, 1.8
"Preble County",39135,No,21.8 ,13.6, 33.2,4,*,*,*,*
"Licking County",39089,Yes,21.6 ,17, 26.9,16,falling,-2.2 ,-3.3, -1.0
"Lucas County",39095,Yes,21.6 ,18.7, 24.7,43,falling,-2.7 ,-3.3, -2.1
"Knox County",39083,Yes,21.2 ,14.6, 29.8,7,falling,-3.3 ,-5.2, -1.3
"Richland County",39139,Yes,20.9 ,16.5, 26.3,15,falling,-3.4 ,-4.6, -2.1
"Marion County",39101,Yes,20.5 ,14.1, 28.6,7,falling,-3.1 ,-5.1, -1.0
"Allen County",39003,Yes,20.4 ,15.4, 26.6,11,falling,-3.7 ,-5.1, -2.4
"Darke County",39037,Yes,20.3 ,13.8, 28.9,6,falling,-2.8 ,-4.6, -1.0
"Montgomery County",39113,Yes,20.2 ,17.9, 22.7,57,falling,-3.5 ,-4.2, -2.8
"Franklin County",39049,Yes,20.1 ,18.2, 22.2,87,falling,-3.2 ,-3.7, -2.7
"Van Wert County",39161,Yes,20 ,11.4, 32.9,3,*,*,*,*
"Lorain County",39093,Yes,19.6 ,16.6, 23,31,falling,-3.9 ,-5.0, -2.7
"Ashtabula County",39007,Yes,19.3 ,14.4, 25.3,11,falling,-3.5 ,-5.1, -1.9
"Butler County",39017,Yes,19 ,16, 22.4,30,falling,-2.8 ,-3.7, -2.0
"Mercer County",39107,Yes,18.8 ,11.8, 28.7,5,*,*,*,*
"Trumbull County",39155,Yes,18.8 ,15.6, 22.6,24,falling,-2.7 ,-3.8, -1.7
"Medina County",39103,Yes,18.7 ,14.8, 23.5,16,falling,-2.2 ,-3.9, -0.5
"Ross County",39141,Yes,18.4 ,12.4, 26.2,6,falling,-2.1 ,-3.9, -0.2
"Hancock County",39063,Yes,18.2 ,12.7, 25.4,7,falling,-3.6 ,-5.5, -1.6
"Belmont County",39013,Yes,18.1 ,12.7, 25.2,7,falling,-3.4 ,-5.1, -1.6
"Summit County",39153,Yes,18 ,15.8, 20.4,51,falling,-3.6 ,-4.4, -2.8
"Miami County",39109,Yes,18 ,13.2, 23.9,10,falling,-4.6 ,-5.8, -3.4
"Greene County",39057,Yes,17.9 ,14, 22.6,15,falling,-3.0 ,-4.3, -1.6
"Erie County",39043,Yes,17.7 ,12.9, 24,9,falling,-1.5 ,-2.9, -0.2
"Guernsey County",39059,Yes,17.5 ,10.3, 28,4,falling,-2.9 ,-5.3, -0.5
"Stark County",39151,Yes,17.5 ,15.1, 20.2,38,falling,-3.5 ,-4.2, -2.8
"Columbiana County",39029,Yes,17.5 ,13.2, 22.9,11,falling,-2.7 ,-4.2, -1.3
"Wayne County",39169,Yes,17.4 ,13, 22.9,10,falling,-4.5 ,-6.1, -2.9
