------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=39&areatype=county&topic=mob&demo=00021&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '39', 'areatype': 'county', 'topic': 'mob', 'demo': '00021', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_012.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=39&areatype=county&topic=mob&demo=00021&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Ohio by County
Mobility: Moved from outside US (in past year)
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Moved From Outside US),Rank within US
"Ohio",39000,0.4,46086,"14 of 51"
"United States",00000,0.7,2074097,"N/A"
"Adams County",39001,0.0,0,"1 of 3140"
"Guernsey County",39059,0.0,0,"1 of 3140"
"Vinton County",39163,0.0,0,"1 of 3140"
"Noble County",39121,0.0,1,"363 of 3140"
"Hocking County",39073,0.0,7,"438 of 3140"
"Ottawa County",39123,0.0,11,"445 of 3140"
"Carroll County",39019,0.0,11,"522 of 3140"
"Putnam County",39137,0.0,14,"537 of 3140"
"Marion County",39101,0.0,29,"554 of 3140"
"Jefferson County",39081,0.0,32,"573 of 3140"
"Ross County",39141,0.0,37,"576 of 3140"
"Columbiana County",39029,0.1,64,"643 of 3140"
"Sandusky County",39143,0.1,38,"670 of 3140"
"Williams County",39171,0.1,24,"683 of 3140"
"Auglaize County",39011,0.1,31,"705 of 3140"
"Meigs County",39105,0.1,17,"745 of 3140"
"Henry County",39069,0.1,21,"773 of 3140"
"Highland County",39071,0.1,34,"790 of 3140"
"Wyandot County",39175,0.1,18,"810 of 3140"
"Logan County",39091,0.1,37,"815 of 3140"
"Gallia County",39053,0.1,25,"822 of 3140"
"Erie County",39043,0.1,68,"867 of 3140"
"Belmont County",39013,0.1,64,"882 of 3140"
"Preble County",39135,0.1,39,"894 of 3140"
"Fulton County",39051,0.1,44,"951 of 3140"
"Trumbull County",39155,0.1,218,"978 of 3140"
"Clinton County",39027,0.1,48,"1040 of 3140"
"Holmes County",39075,0.1,50,"1047 of 3140"
"Lawrence County",39087,0.1,71,"1055 of 3140"
"Morrow County",39117,0.1,41,"1058 of 3140"
"Defiance County",39039,0.1,45,"1065 of 3140"
"Clermont County",39025,0.1,238,"1070 of 3140"
"Scioto County",39145,0.1,93,"1091 of 3140"
"Brown County",39015,0.1,53,"1092 of 3140"
"Huron County",39077,0.1,71,"1093 of 3140"
"Morgan County",39115,0.1,18,"1095 of 3140"
"Perry County",39127,0.1,45,"1121 of 3140"
"Medina County",39103,0.1,232,"1162 of 3140"
"Shelby County",39149,0.1,64,"1162 of 3140"
"Monroe County",39111,0.1,19,"1177 of 3140"
"Van Wert County",39161,0.1,39,"1196 of 3140"
"Madison County",39097,0.2,73,"1391 of 3140"
"Coshocton County",39031,0.2,62,"1403 of 3140"
"Darke County",39037,0.2,90,"1434 of 3140"
"Champaign County",39021,0.2,68,"1437 of 3140"
"Fairfield County",39045,0.2,266,"1449 of 3140"
"Richland County",39139,0.2,216,"1459 of 3140"
"Licking County",39089,0.2,306,"1468 of 3140"
"Wayne County",39169,0.2,224,"1551 of 3140"
"Stark County",39151,0.2,740,"1572 of 3140"
"Tuscarawas County",39157,0.2,183,"1580 of 3140"
"Geauga County",39055,0.2,195,"1621 of 3140"
"Knox County",39083,0.2,127,"1622 of 3140"
"Pickaway County",39129,0.2,120,"1632 of 3140"
"Jackson County",39079,0.2,70,"1659 of 3140"
"Hardin County",39065,0.2,68,"1667 of 3140"
"Harrison County",39067,0.2,35,"1720 of 3140"
"Pike County",39131,0.2,67,"1766 of 3140"
"Crawford County",39033,0.2,101,"1781 of 3140"
"Allen County",39003,0.3,267,"1850 of 3140"
"Mahoning County",39099,0.3,629,"1912 of 3140"
"Lake County",39085,0.3,634,"1931 of 3140"
"Union County",39159,0.3,151,"1937 of 3140"
"Washington County",39167,0.3,170,"1956 of 3140"
"Lucas County",39095,0.3,1270,"2002 of 3140"
"Clark County",39023,0.3,410,"2034 of 3140"
"Muskingum County",39119,0.3,266,"2061 of 3140"
"Ashtabula County",39007,0.3,306,"2063 of 3140"
"Miami County",39109,0.3,356,"2171 of 3140"
"Paulding County",39125,0.3,65,"2173 of 3140"
"Lorain County",39093,0.4,1068,"2196 of 3140"
"Mercer County",39107,0.4,146,"2225 of 3140"
"Summit County",39153,0.4,1994,"2253 of 3140"
