------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=39&areatype=county&topic=pop&demo=00028&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '39', 'areatype': 'county', 'topic': 'pop', 'demo': '00028', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_016.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=39&areatype=county&topic=pop&demo=00028&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Ohio by County
Population: Age 40 and over
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Age 40 And Over),Rank within US
"United States",00000,47.3,151838062,"N/A"
"Ohio",39000,49.2,5714257,"15 of 52"
"Athens County",39009,38.1,24997,"3047 of 3141"
"Holmes County",39075,39.3,17198,"3011 of 3141"
"Franklin County",39049,41.4,518479,"2921 of 3141"
"Wood County",39173,43.8,56776,"2767 of 3141"
"Hardin County",39065,45.6,14386,"2607 of 3141"
"Butler County",39017,46.0,173009,"2550 of 3141"
"Hamilton County",39061,46.6,376974,"2485 of 3141"
"Union County",39159,47.4,25905,"2392 of 3141"
"Portage County",39133,47.4,76815,"2386 of 3141"
"Delaware County",39041,47.6,91806,"2350 of 3141"
"Lucas County",39095,47.7,206788,"2321 of 3141"
"Greene County",39057,48.0,79103,"2269 of 3141"
"Allen County",39003,48.2,50188,"2235 of 3141"
"Wayne County",39169,48.6,56391,"2162 of 3141"
"Hancock County",39063,48.8,36820,"2147 of 3141"
"Knox County",39083,48.8,29755,"2130 of 3141"
"Warren County",39165,48.9,109471,"2115 of 3141"
"Huron County",39077,48.9,28619,"2113 of 3141"
"Fairfield County",39045,49.0,74266,"2102 of 3141"
"Pickaway County",39129,49.1,28014,"2089 of 3141"
"Montgomery County",39113,49.2,261789,"2060 of 3141"
"Shelby County",39149,49.2,24081,"2054 of 3141"
"Seneca County",39147,49.5,27473,"2019 of 3141"
"Putnam County",39137,49.6,16873,"1997 of 3141"
"Scioto County",39145,49.7,38215,"1970 of 3141"
"Mercer County",39107,49.7,20251,"1965 of 3141"
"Clinton County",39027,49.8,20841,"1954 of 3141"
"Licking County",39089,49.9,85087,"1940 of 3141"
"Perry County",39127,49.9,17940,"1936 of 3141"
"Clermont County",39025,49.9,100925,"1922 of 3141"
"Defiance County",39039,49.9,19136,"1913 of 3141"
"Fulton County",39051,50.2,21237,"1865 of 3141"
"Muskingum County",39119,50.2,43154,"1862 of 3141"
"Jackson County",39079,50.3,16406,"1848 of 3141"
"Ashland County",39005,50.4,26840,"1829 of 3141"
"Cuyahoga County",39035,50.4,634095,"1810 of 3141"
"Highland County",39071,50.5,21719,"1797 of 3141"
"Ross County",39141,50.7,39065,"1754 of 3141"
"Madison County",39097,50.7,22163,"1748 of 3141"
"Marion County",39101,50.9,33344,"1687 of 3141"
"Tuscarawas County",39157,51.0,47210,"1663 of 3141"
"Summit County",39153,51.0,276271,"1659 of 3141"
"Logan County",39091,51.1,23149,"1650 of 3141"
"Gallia County",39053,51.1,15429,"1648 of 3141"
"Auglaize County",39011,51.1,23402,"1639 of 3141"
"Henry County",39069,51.1,14042,"1637 of 3141"
"Clark County",39023,51.2,69422,"1615 of 3141"
"Fayette County",39047,51.3,14714,"1585 of 3141"
"Coshocton County",39031,51.4,18806,"1578 of 3141"
"Richland County",39139,51.5,62531,"1559 of 3141"
