------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=39&areatype=county&cancer=001&race=05&sex=0&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '39', 'areatype': 'county', 'cancer': '001', 'race': '05', 'sex': '0', 'age': '001', 'type': 'incd', 'file_name': 'incidencerates_028.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=39&areatype=county&cancer=001&race=05&sex=0&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Incidence Rate Report for Ohio by County

"All Cancer Sites (All Stages^), 2012-2016"

"Hispanic (any race), Both Sexes, All Ages"

Sorted by Rate

County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Ohio(6,10)",39000,***,261.2 ,251.1, 271.5,589,stable,1.2 ,-6.7, 9.6
"US (SEER+NPCR) &sect; (1,10)",00000,***,346.5 ,345.6, 347.4,127249,falling,-1.2 ,-2.2, -0.2
"Lawrence County(6,10)",39087,***,1241 ,768.6, 1879.2,5,*,*,*,*
"Henry County(6,10)",39069,***,503.5 ,330.2, 728.9,6,stable,19.7 ,-37.5, 129.2
"Defiance County(6,10)",39039,***,431.5 ,316.5, 571.9,10,stable,0.4 ,-25.6, 35.4
"Fulton County(6,10)",39051,***,413.8 ,286.9, 572.7,8,stable,25.3 ,-24.1, 107.0
"Putnam County(6,10)",39137,***,395.3 ,255.8, 580.2,5,stable,14.4 ,-15.8, 55.3
"Lorain County(6,10)",39093,***,390.9 ,352, 432.6,80,stable,5.8 ,-3.5, 16.0
"Lucas County(6,10)",39095,***,388.1 ,344.2, 435.6,64,stable,-5.5 ,-22.4, 15.0
"Huron County(6,10)",39077,***,380.7 ,260.9, 533.4,8,falling,-18.4 ,-23.4, -13.1
"Portage County(6,10)",39133,***,378.7 ,228.4, 580.9,5,stable,-1.4 ,-47.3, 84.4
"Allen County(6,10)",39003,***,303 ,186.4, 459.6,5,stable,-19.5 ,-37.6, 3.7
"Sandusky County(6,10)",39143,***,300.7 ,230.3, 385.1,13,stable,12.3 ,-18.0, 53.7
"Ottawa County(6,10)",39123,***,290.1 ,176.6, 445.9,5,falling,-23.5 ,-41.4, -0.2
"Seneca County(6,10)",39147,***,286.6 ,172.8, 440.1,4,stable,0.8 ,-43.5, 79.9
"Cuyahoga County(6,10)",39035,***,275.3 ,252.5, 299.4,122,stable,0.8 ,-19.4, 26.0
"Licking County(6,10)",39089,***,266.3 ,144.4, 438.2,3,*,*,*,*
"Delaware County(6,10)",39041,***,257.9 ,138.2, 424.7,4,stable,3.1 ,-63.7, 192.9
"Hancock County(6,10)",39063,***,257.1 ,161.6, 383.3,6,stable,6.7 ,-38.9, 86.1
"Ashtabula County(6,10)",39007,***,256.4 ,156.8, 389.3,5,stable,12.5 ,-36.3, 98.5
"Erie County(6,10)",39043,***,246.6 ,142.3, 390.1,4,*,*,*,*
"Warren County(6,10)",39165,***,235 ,143.2, 356.8,5,falling,-37.1 ,-57.0, -8.0
"Franklin County(6,10)",39049,***,221 ,191.2, 253.7,62,stable,2.9 ,-2.4, 8.5
"Trumbull County(6,10)",39155,***,220.8 ,139.1, 330.2,5,*,*,*,*
"Wood County(6,10)",39173,***,220.8 ,152.4, 306.5,8,stable,-14.9 ,-41.2, 23.4
"Clermont County(6,10)",39025,***,219.3 ,135.6, 332.7,5,stable,-23.8 ,-44.1, 3.8
"Montgomery County(6,10)",39113,***,201.3 ,156.2, 254.3,15,stable,5.2 ,-13.5, 27.9
"Mahoning County(6,10)",39099,***,193.5 ,153.4, 240.2,17,stable,-3.9 ,-26.7, 26.0
"Summit County(6,10)",39153,***,185 ,133.7, 247.5,10,stable,0.0 ,-17.8, 21.6
"Hamilton County(6,10)",39061,***,175.1 ,138.4, 217.8,21,stable,-9.5 ,-31.4, 19.5
"Greene County(6,10)",39057,***,174 ,104.6, 268.3,4,stable,-5.3 ,-32.7, 33.2
"Medina County(6,10)",39103,***,173 ,93.9, 289.5,3,stable,-29.4 ,-52.8, 5.7
"Lake County(6,10)",39085,***,163 ,107.4, 234.6,7,stable,-0.6 ,-43.4, 74.5
"Butler County(6,10)",39017,***,143.4 ,99.9, 197.8,11,stable,-5.4 ,-25.8, 20.6
"Stark County(6,10)",39151,***,103.1 ,65.6, 153.3,5,stable,2.4 ,-46.3, 95.6
"Adams County(6,10)",39001,***,* ,*, *,3 or fewer,*,*,*,*
"Ashland County(6,10)",39005,***,* ,*, *,3 or fewer,*,*,*,*
"Athens County(6,10)",39009,***,* ,*, *,3 or fewer,*,*,*,*
"Auglaize County(6,10)",39011,***,* ,*, *,3 or fewer,*,*,*,*
"Belmont County(6,10)",39013,***,* ,*, *,3 or fewer,*,*,*,*
"Brown County(6,10)",39015,***,* ,*, *,3 or fewer,*,*,*,*
"Carroll County(6,10)",39019,***,* ,*, *,3 or fewer,*,*,*,*
"Champaign County(6,10)",39021,***,* ,*, *,3 or fewer,*,*,*,*
"Clark County(6,10)",39023,***,* ,*, *,3 or fewer,*,*,*,*
"Clinton County(6,10)",39027,***,* ,*, *,3 or fewer,*,*,*,*
"Columbiana County(6,10)",39029,***,* ,*, *,3 or fewer,*,*,*,*
"Coshocton County(6,10)",39031,***,* ,*, *,3 or fewer,*,*,*,*
"Crawford County(6,10)",39033,***,* ,*, *,3 or fewer,*,*,*,*
"Darke County(6,10)",39037,***,* ,*, *,3 or fewer,*,*,*,*
"Fairfield County(6,10)",39045,***,* ,*, *,3 or fewer,*,*,*,*
"Fayette County(6,10)",39047,***,* ,*, *,3 or fewer,*,*,*,*
"Gallia County(6,10)",39053,***,* ,*, *,3 or fewer,*,*,*,*
"Geauga County(6,10)",39055,***,* ,*, *,3 or fewer,*,*,*,*
"Guernsey County(6,10)",39059,***,* ,*, *,3 or fewer,*,*,*,*
"Hardin County(6,10)",39065,***,* ,*, *,3 or fewer,*,*,*,*
"Harrison County(6,10)",39067,***,* ,*, *,3 or fewer,*,*,*,*
"Highland County(6,10)",39071,***,* ,*, *,3 or fewer,*,*,*,*
"Hocking County(6,10)",39073,***,* ,*, *,3 or fewer,*,*,*,*
