------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=40&areatype=county&topic=pop&demo=00025&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '40', 'areatype': 'county', 'topic': 'pop', 'demo': '00025', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_025.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=40&areatype=county&topic=pop&demo=00025&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Oklahoma by County
Population: White
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (White),Rank within US
"Oklahoma",40000,72.6,2828569,"34 of 52"
"United States",00000,73.0,234370202,"N/A"
"Adair County",40001,42.9,9490,"3014 of 3141"
"Cherokee County",40021,51.4,24864,"2940 of 3141"
"Muskogee County",40101,59.1,41045,"2834 of 3141"
"Texas County",40139,61.3,13132,"2797 of 3141"
"Choctaw County",40023,63.2,9465,"2750 of 3141"
"Caddo County",40015,63.2,18603,"2749 of 3141"
"Comanche County",40031,63.4,77983,"2744 of 3141"
"Okfuskee County",40107,64.2,7812,"2720 of 3141"
"McCurtain County",40089,64.6,21327,"2711 of 3141"
"Sequoyah County",40135,64.8,26803,"2705 of 3141"
"Osage County",40113,65.1,30845,"2697 of 3141"
"Delaware County",40041,65.4,27394,"2693 of 3141"
"Okmulgee County",40111,65.5,25614,"2690 of 3141"
"Craig County",40035,66.0,9611,"2681 of 3141"
"Harmon County",40057,66.2,1826,"2676 of 3141"
"Tillman County",40141,67.4,5119,"2646 of 3141"
"Latimer County",40077,67.5,7168,"2644 of 3141"
"Mayes County",40097,67.5,27623,"2643 of 3141"
"Hughes County",40063,67.8,9163,"2633 of 3141"
"Seminole County",40133,67.9,17148,"2628 of 3141"
"Ottawa County",40115,68.3,21655,"2614 of 3141"
"Nowata County",40105,68.3,7132,"2613 of 3141"
"Oklahoma County",40109,68.7,531904,"2597 of 3141"
"Jackson County",40065,69.3,17710,"2582 of 3141"
"Coal County",40029,69.9,3959,"2562 of 3141"
"Pontotoc County",40123,70.0,26813,"2555 of 3141"
"McIntosh County",40091,70.1,13922,"2553 of 3141"
"Tulsa County",40143,70.2,447002,"2548 of 3141"
"Marshall County",40095,70.2,11387,"2547 of 3141"
"Johnston County",40069,71.5,7894,"2520 of 3141"
"Pittsburg County",40121,72.2,32263,"2503 of 3141"
"Atoka County",40005,73.0,10149,"2486 of 3141"
"Haskell County",40061,73.4,9357,"2468 of 3141"
"Carter County",40019,74.2,35899,"2442 of 3141"
"Pushmataha County",40127,74.4,8285,"2435 of 3141"
"Bryan County",40013,74.6,33619,"2431 of 3141"
"Rogers County",40131,74.9,67464,"2417 of 3141"
"Wagoner County",40145,75.6,58119,"2392 of 3141"
"Le Flore County",40079,75.8,37795,"2390 of 3141"
"Pottawatomie County",40125,76.1,54468,"2382 of 3141"
"Murray County",40099,76.9,10614,"2350 of 3141"
"Alfalfa County",40003,77.5,4557,"2332 of 3141"
"Greer County",40055,78.0,4693,"2311 of 3141"
"Washington County",40147,78.2,40538,"2297 of 3141"
"Cleveland County",40027,78.4,214870,"2284 of 3141"
"Kiowa County",40075,78.6,7172,"2277 of 3141"
"Kay County",40071,78.8,35606,"2266 of 3141"
"Blaine County",40011,79.0,7643,"2258 of 3141"
"Pawnee County",40117,79.2,13024,"2248 of 3141"
"Creek County",40037,79.7,56528,"2231 of 3141"
"Cotton County",40033,80.4,4822,"2197 of 3141"
"Payne County",40119,81.1,65396,"2169 of 3141"
"Custer County",40039,81.2,23690,"2160 of 3141"
"Canadian County",40017,81.5,108367,"2143 of 3141"
"Garfield County",40047,82.0,51170,"2129 of 3141"
"Logan County",40083,82.6,37437,"2096 of 3141"
"Garvin County",40049,83.0,23031,"2069 of 3141"
"Beckham County",40009,83.3,19126,"2049 of 3141"
"Kingfisher County",40073,83.3,12915,"2048 of 3141"
"Beaver County",40007,83.6,4552,"2036 of 3141"
"Jefferson County",40067,83.7,5247,"2033 of 3141"
"Love County",40085,83.8,8247,"2030 of 3141"
"Stephens County",40137,84.0,37197,"2022 of 3141"
"McClain County",40087,84.2,31939,"2008 of 3141"
"Noble County",40103,84.5,9652,"1994 of 3141"
"Lincoln County",40081,85.4,29690,"1954 of 3141"
"Grady County",40051,85.7,46583,"1938 of 3141"
"Woods County",40151,88.4,8069,"1709 of 3141"
"Woodward County",40153,89.1,18837,"1636 of 3141"
"Major County",40093,89.4,6909,"1612 of 3141"
"Dewey County",40043,89.5,4388,"1604 of 3141"
"Grant County",40053,89.7,3999,"1582 of 3141"
"Roger Mills County",40129,90.1,3366,"1547 of 3141"
"Washita County",40149,90.6,10466,"1501 of 3141"
"Cimarron County",40025,91.4,2031,"1400 of 3141"
"Ellis County",40045,92.1,3778,"1306 of 3141"
"Harper County",40059,93.4,3589,"1116 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:21 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: White, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
