------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=40&areatype=county&topic=pov&demo=00007&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '40', 'areatype': 'county', 'topic': 'pov', 'demo': '00007', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_028.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=40&areatype=county&topic=pov&demo=00007&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Oklahoma by County
Poverty: Families below poverty
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),Families (Below Poverty),Rank within US
"United States",00000,10.5,8253388,"N/A"
"Oklahoma",40000,11.8,115130,"38 of 52"
"Canadian County",40017,5.5,1793,"326 of 3141"
"Kingfisher County",40073,6.9,272,"593 of 3141"
"Noble County",40103,7.0,233,"625 of 3141"
"McClain County",40087,7.0,729,"633 of 3141"
"Rogers County",40131,7.1,1826,"674 of 3141"
"Beckham County",40009,7.4,394,"742 of 3141"
"Cleveland County",40027,7.5,5084,"763 of 3141"
"Woods County",40151,7.6,158,"783 of 3141"
"Alfalfa County",40003,7.7,106,"833 of 3141"
"Wagoner County",40145,7.9,1670,"857 of 3141"
"Grant County",40053,8.0,100,"888 of 3141"
"Woodward County",40153,8.3,437,"969 of 3141"
"Beaver County",40007,8.3,130,"978 of 3141"
"Love County",40085,8.8,201,"1115 of 3141"
"Major County",40093,9.0,192,"1142 of 3141"
"Grady County",40051,9.3,1357,"1210 of 3141"
"Logan County",40083,9.4,1068,"1232 of 3141"
"Blaine County",40011,9.9,248,"1388 of 3141"
"Lincoln County",40081,10.1,915,"1431 of 3141"
"Garfield County",40047,10.1,1642,"1447 of 3141"
"Ellis County",40045,10.3,109,"1488 of 3141"
"Marshall County",40095,10.7,462,"1577 of 3141"
"Washington County",40147,10.7,1488,"1581 of 3141"
"Harper County",40059,10.7,97,"1591 of 3141"
"Murray County",40099,10.9,390,"1627 of 3141"
"Harmon County",40057,11.1,88,"1682 of 3141"
"Washita County",40149,11.2,357,"1710 of 3141"
"Custer County",40039,11.2,798,"1711 of 3141"
"Osage County",40113,11.3,1431,"1727 of 3141"
"Stephens County",40137,11.3,1307,"1732 of 3141"
"Garvin County",40049,11.4,807,"1773 of 3141"
"Pittsburg County",40121,11.8,1382,"1839 of 3141"
"Carter County",40019,11.8,1423,"1843 of 3141"
"Cotton County",40033,11.8,191,"1852 of 3141"
"Tulsa County",40143,11.8,18749,"1855 of 3141"
"Pontotoc County",40123,11.9,1121,"1856 of 3141"
"Pawnee County",40117,11.9,535,"1866 of 3141"
"Creek County",40037,11.9,2240,"1873 of 3141"
"Texas County",40139,12.0,560,"1895 of 3141"
"Pottawatomie County",40125,12.1,2161,"1902 of 3141"
"Comanche County",40031,12.1,3368,"1908 of 3141"
"Bryan County",40013,12.3,1352,"1962 of 3141"
"Oklahoma County",40109,12.5,23132,"1999 of 3141"
"Cimarron County",40025,12.6,82,"2021 of 3141"
"Greer County",40055,12.6,165,"2025 of 3141"
"Craig County",40035,12.8,469,"2058 of 3141"
"Kay County",40071,12.8,1434,"2060 of 3141"
"Hughes County",40063,13.7,400,"2229 of 3141"
"Dewey County",40043,13.7,163,"2231 of 3141"
"Roger Mills County",40129,13.8,121,"2252 of 3141"
"Haskell County",40061,14.0,485,"2304 of 3141"
"McIntosh County",40091,14.2,796,"2322 of 3141"
"Payne County",40119,14.4,2379,"2356 of 3141"
"Johnston County",40069,14.4,407,"2357 of 3141"
"Cherokee County",40021,14.5,1523,"2369 of 3141"
"Delaware County",40041,14.5,1621,"2371 of 3141"
"Jackson County",40065,14.8,971,"2410 of 3141"
"Latimer County",40077,14.8,414,"2414 of 3141"
"Mayes County",40097,14.9,1659,"2417 of 3141"
"Pushmataha County",40127,14.9,439,"2439 of 3141"
"Nowata County",40105,15.2,433,"2478 of 3141"
"Coal County",40029,15.7,235,"2547 of 3141"
"Atoka County",40005,16.5,601,"2627 of 3141"
"Caddo County",40015,16.5,1148,"2629 of 3141"
"Okmulgee County",40111,16.5,1574,"2630 of 3141"
"Seminole County",40133,16.5,1032,"2632 of 3141"
"Ottawa County",40115,16.9,1377,"2674 of 3141"
"Muskogee County",40101,17.1,3006,"2700 of 3141"
"Jefferson County",40067,17.2,270,"2708 of 3141"
"Tillman County",40141,17.5,357,"2730 of 3141"
"Le Flore County",40079,17.5,2275,"2735 of 3141"
"McCurtain County",40089,18.4,1653,"2797 of 3141"
"Okfuskee County",40107,19.1,528,"2847 of 3141"
"Kiowa County",40075,19.2,472,"2854 of 3141"
"Sequoyah County",40135,20.2,2277,"2904 of 3141"
"Adair County",40001,23.9,1353,"3026 of 3141"
"Choctaw County",40023,24.0,908,"3029 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:21 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Poverty: Families below poverty, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#poverty."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
