------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=41&areatype=county&cancer=071&race=00&sex=0&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '41', 'areatype': 'county', 'cancer': '071', 'race': '00', 'sex': '0', 'age': '001', 'type': 'incd', 'file_name': 'incidencerates_001.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=41&areatype=county&cancer=071&race=00&sex=0&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Incidence Rate Report for Oregon by County

"Bladder (All Stages^), 2012-2016"

"All Races (includes Hispanic), Both Sexes, All Ages"

Sorted by Rate

County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Oregon(6,10)",41000,***,21.3 ,20.7, 21.9,1042,falling,-2.9 ,-4.7, -1.1
"US (SEER+NPCR)(1,10)",00000,***,20.1 ,20.1, 20.2,73697,falling,-2.1 ,-2.9, -1.2
"Union County(6,10)",41061,***,31 ,22.8, 41.4,10,stable,-11.5 ,-45.5, 43.5
"Coos County(6,10)",41011,***,27.8 ,23.4, 32.9,30,stable,-6.4 ,-21.9, 12.1
"Crook County(6,10)",41013,***,26.2 ,19, 35.9,9,stable,6.7 ,-33.6, 71.4
"Linn County(6,10)",41043,***,25.1 ,21.7, 28.9,41,stable,-5.6 ,-16.1, 6.1
"Lincoln County(6,10)",41041,***,24.8 ,20.3, 30.4,22,stable,10.0 ,-7.7, 31.2
"Josephine County(6,10)",41033,***,24.8 ,21.2, 28.9,37,stable,4.9 ,-6.3, 17.4
"Jefferson County(6,10)",41031,***,23.3 ,15.8, 33.4,6,stable,-3.3 ,-44.6, 68.6
"Klamath County(6,10)",41035,***,22.7 ,18.5, 27.6,22,stable,5.8 ,-21.5, 42.6
"Tillamook County(6,10)",41057,***,22.6 ,16.4, 30.9,10,stable,-2.5 ,-18.0, 16.0
"Wasco County(6,10)",41065,***,22.3 ,15.9, 30.7,8,stable,0.7 ,-29.6, 43.9
