------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/deathrates/index.php?stateFIPS=42&areatype=county&cancer=071&race=00&sex=0&age=001&type=death&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '42', 'areatype': 'county', 'cancer': '071', 'race': '00', 'sex': '0', 'age': '001', 'type': 'death', 'file_name': 'deathrates_001.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/deathrates/index.php?stateFIPS=42&areatype=county&cancer=071&race=00&sex=0&age=001&type=death&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Death Rate Report for Pennsylvania by County

"Bladder, 2012-2016"

"All Races (includes Hispanic), Both Sexes, All Ages"

Sorted by Rate

County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Death Rate(†) - deaths per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Death Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Pennsylvania",42000,***,4.8 ,4.7, 4.9,840,stable,0.1 ,-0.1, 0.2
"United States",00000,***,4.4 ,4.3, 4.4,15935,stable,0.0 ,-0.1, 0.0
"Venango County",42121,***,7.4 ,5, 10.7,6,stable,-0.4 ,-2.7, 1.9
"Mifflin County",42087,***,7 ,4.5, 10.6,5,stable,-0.4 ,-2.5, 1.7
"Jefferson County",42065,***,6.9 ,4.4, 10.6,5,stable,1.3 ,-0.7, 3.4
"Clinton County",42035,***,6.8 ,4.1, 10.9,4,*,*,*,*
"Snyder County",42109,***,6.4 ,3.7, 10.5,3,*,*,*,*
"Clarion County",42031,***,6.4 ,3.7, 10.5,3,*,*,*,*
"Schuylkill County",42107,***,6.3 ,4.9, 8.1,14,stable,0.9 ,-0.6, 2.3
"Lycoming County",42081,***,6 ,4.4, 8,10,stable,1.3 ,-0.4, 3.0
"Westmoreland County",42129,***,5.7 ,4.9, 6.7,35,stable,0.2 ,-0.9, 1.3
"Erie County",42049,***,5.7 ,4.6, 6.9,21,stable,0.8 ,-0.5, 2.1
"Wayne County",42127,***,5.6 ,3.6, 8.7,5,*,*,*,*
"Washington County",42125,***,5.5 ,4.4, 6.8,17,stable,0.8 ,-0.7, 2.2
"Susquehanna County",42115,***,5.5 ,3.2, 9.1,3,*,*,*,*
"Warren County",42123,***,5.4 ,3.2, 8.8,4,*,*,*,*
"Allegheny County",42003,***,5.3 ,4.8, 5.8,96,stable,0.5 ,0.0, 1.0
"Lawrence County",42073,***,5.2 ,3.7, 7.3,8,stable,1.0 ,-1.0, 3.0
"Bradford County",42015,***,5.2 ,3.3, 7.9,5,stable,-0.3 ,-2.8, 2.2
"Luzerne County",42079,***,5.2 ,4.3, 6.2,24,rising,1.6 ,0.5, 2.6
"Philadelphia County",42101,***,5 ,4.5, 5.5,82,stable,-0.4 ,-0.9, 0.1
"Beaver County",42007,***,5 ,3.9, 6.4,14,stable,1.0 ,-0.3, 2.2
"Monroe County",42089,***,4.9 ,3.6, 6.5,10,stable,-1.0 ,-2.8, 0.7
"Lehigh County",42077,***,4.8 ,4, 5.8,23,stable,-0.3 ,-1.4, 0.7
"Armstrong County",42005,***,4.8 ,3.1, 7.3,5,stable,-1.0 ,-2.8, 0.8
"Northampton County",42095,***,4.8 ,3.9, 5.9,22,stable,0.1 ,-1.1, 1.3
"Delaware County",42045,***,4.8 ,4.1, 5.6,35,stable,-0.1 ,-0.9, 0.7
"York County",42133,***,4.7 ,4, 5.7,26,stable,0.2 ,-0.9, 1.2
"Somerset County",42111,***,4.7 ,3.2, 7,6,stable,-0.7 ,-3.1, 1.7
"Adams County",42001,***,4.6 ,3.2, 6.6,7,stable,0.0 ,-1.7, 1.8
"Northumberland County",42097,***,4.6 ,3.2, 6.5,7,stable,-0.5 ,-2.1, 1.1
"Lackawanna County",42069,***,4.6 ,3.6, 5.8,15,stable,0.8 ,-0.3, 2.0
"Chester County",42029,***,4.6 ,3.8, 5.4,27,stable,-0.4 ,-1.5, 0.8
"Dauphin County",42043,***,4.6 ,3.6, 5.7,15,stable,-0.4 ,-1.7, 0.9
"Butler County",42019,***,4.5 ,3.4, 5.9,12,stable,-0.9 ,-2.2, 0.3
