------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=42&areatype=county&topic=lang&demo=00015&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '42', 'areatype': 'county', 'topic': 'lang', 'demo': '00015', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_007.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=42&areatype=county&topic=lang&demo=00015&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Pennsylvania by County
Non-English Language: Language isolation
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),Households (language Isolation),Rank within US
"Pennsylvania",42000,2.4,120960,"28 of 51"
"United States",00000,4.5,5305440,"N/A"
"Fulton County",42057,0.1,3,"331 of 3140"
"Greene County",42059,0.1,11,"373 of 3140"
"Bradford County",42015,0.1,24,"397 of 3140"
"Elk County",42047,0.1,17,"448 of 3140"
"Wyoming County",42131,0.2,17,"511 of 3140"
"Armstrong County",42005,0.2,56,"587 of 3140"
"Venango County",42121,0.2,47,"612 of 3140"
"Bedford County",42009,0.3,50,"700 of 3140"
"Columbia County",42037,0.3,69,"707 of 3140"
"Potter County",42105,0.3,17,"708 of 3140"
"McKean County",42083,0.3,45,"710 of 3140"
"Huntingdon County",42061,0.3,45,"716 of 3140"
"Cameron County",42023,0.3,6,"731 of 3140"
"Fayette County",42051,0.3,149,"739 of 3140"
"Clearfield County",42033,0.3,87,"744 of 3140"
"Susquehanna County",42115,0.3,51,"767 of 3140"
"Cambria County",42021,0.3,168,"771 of 3140"
"Jefferson County",42065,0.3,58,"805 of 3140"
"Westmoreland County",42129,0.3,485,"816 of 3140"
"Wayne County",42127,0.3,63,"831 of 3140"
"Washington County",42125,0.3,280,"843 of 3140"
"Beaver County",42007,0.4,255,"906 of 3140"
"Butler County",42019,0.4,275,"907 of 3140"
"Blair County",42013,0.4,204,"961 of 3140"
"Clarion County",42031,0.4,69,"1035 of 3140"
"Tioga County",42117,0.4,72,"1058 of 3140"
"Perry County",42099,0.5,88,"1114 of 3140"
"Lycoming County",42081,0.5,226,"1116 of 3140"
"Warren County",42123,0.5,84,"1116 of 3140"
"Somerset County",42111,0.5,151,"1137 of 3140"
"Indiana County",42063,0.5,177,"1157 of 3140"
"Sullivan County",42113,0.6,15,"1228 of 3140"
"Lawrence County",42073,0.6,227,"1304 of 3140"
"Crawford County",42039,0.6,223,"1327 of 3140"
"Schuylkill County",42107,0.7,387,"1359 of 3140"
"Northumberland County",42097,0.7,259,"1362 of 3140"
"Montour County",42093,0.7,49,"1363 of 3140"
"Mercer County",42085,0.7,315,"1398 of 3140"
"Forest County",42053,0.8,12,"1547 of 3140"
"Clinton County",42035,0.8,122,"1569 of 3140"
"Carbon County",42025,0.9,229,"1611 of 3140"
"Union County",42119,1.0,142,"1689 of 3140"
"Franklin County",42055,1.3,773,"1949 of 3140"
"Juniata County",42067,1.4,128,"1999 of 3140"
"Adams County",42001,1.5,569,"2060 of 3140"
"Allegheny County",42003,1.5,7964,"2071 of 3140"
"Pike County",42103,1.5,327,"2098 of 3140"
"Mifflin County",42087,1.5,292,"2113 of 3140"
"Snyder County",42109,1.6,240,"2183 of 3140"
"Erie County",42049,1.7,1886,"2216 of 3140"
"York County",42133,1.8,3023,"2243 of 3140"
"Cumberland County",42041,1.8,1758,"2250 of 3140"
"Monroe County",42089,1.9,1110,"2301 of 3140"
"Chester County",42029,2.1,4014,"2369 of 3140"
"Luzerne County",42079,2.2,2810,"2396 of 3140"
"Centre County",42027,2.2,1294,"2418 of 3140"
"Bucks County",42017,2.3,5497,"2451 of 3140"
"Montgomery County",42091,2.4,7391,"2464 of 3140"
"Lebanon County",42075,2.5,1318,"2514 of 3140"
"Northampton County",42095,2.6,3007,"2549 of 3140"
"Dauphin County",42043,2.7,2965,"2553 of 3140"
"Lackawanna County",42069,2.7,2314,"2561 of 3140"
"Delaware County",42045,2.7,5522,"2562 of 3140"
"Lancaster County",42071,3.1,6216,"2656 of 3140"
"Berks County",42011,4.5,6934,"2826 of 3140"
"Lehigh County",42077,5.0,6929,"2871 of 3140"
"Philadelphia County",42101,7.0,41350,"2969 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:01 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Non-English Language: Language isolation, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#non-english."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
A "limited English speaking household" is one in which no member 14 years old and over (1) speaks only English or (2) speaks a non-English language and speaks English "very well."
Data for United States does not include Puerto Rico.
